Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Max_Value,Total_Contract_Months,Remaining_Contract_Months,SumOfTransactionAmt
2021,144048,"New Ferric Chloride Store Tanks @ Baxter Water Plant, Phila PA",20131127,,PW,STONE HILL CONTRACTING CO INC,WATER,"$3,915,000.00",,,549816.79
2022,144083,"Clear Well Basin Replacement Site Preparation at Baxter WTP, Phila PA",20140116,,PW,A P CONSTRUCTION COMPANY,WATER,"$5,582,850.00",,,1613015
2023,144050,"Water Main Relay in Lock Street from Main Street to Venice Island & Reconstruc of Lock Street Bridge over the Manayunk Canal, Phila PA",20131126,,PW,BUCKLEY & COMPANY INCORPORATED,WATER,"$2,545,200.00",,,740135.65
2025,144084,"Improvements of the Raw Water Basin at Queen Lane WTP, Phila PA",20140116,,PW,A P CONSTRUCTION COMPANY,WATER,"$426,250.00",,,210894.3
22113LTS,140107,PLAYPOWER LT FARMINGTON INC             Bid # 22113LTS,20130423,20150423,,PLAYPOWER LT FARMINGTON INC             ,SS&E,"$1,200,000.00",36,,"$263,183.71"
2310,134007,"Reconstruction of Sewer & Relay of Water Mains at Various Locations. Phila, PA",20120914,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,979,520.00",,,590220.56
2333,144039,"Reconstruct of Sewers & Relay of Water Mains at Various, Phila PA",20131212,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,097,340.00",,,183762.8
2351,124137,"Reconstruction of Sewer/Relay Water Main in Greene St and Tulpehocken St, Phila PA",20120808,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,582,600.00",,,145363.3
2374,134100,Reconstruct Sewers and Relay áWater Mains in 22nd St á& 27th St (South St to Bainbridge St) and Reconstruct Sewers in Kater St (21st to 22nd and 22nd to Grays Ferry Ave) Phila. PA,20130626,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,291,600.00",,,376160.2
2380,134078,NELLO CONSTRUCTION COMPANY INCORPORATED Bid# 2380,20130419,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,347,800.00",,,101773.58
2381,134096,"Reconst. of Sewers & Relay of Water Mains at Various Locations, Phila PA",20130626,,PW,RAMOS AND ASSOCIATES INCORPORATED,WATER,"$3,160,530.00",,,1393683.3
2387,134101,"Water Main Relay in North 32nd St (Spring Garden st to Powelton Ave) & (Powelton Ave to Summer St) Powelton Ave (33rd st to 32nd) & Lancaster Ave to 35th St), Phila. PA",20130626,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$869,000.00",,,441258.89
2391,134125,"Lining of the Tacony Creek Intercepting Sewer with Resin Impregnated Liner, Phase II in Drainage R/W, Phila PA",20130723,,PW,SPINIELLO COMPANIES,WATER,"$2,564,420.00",,,134365.53
2392,134043,"Reconstruct Sewer, Relay Water Main, & Sewer Linings in Various City Sts, Phila PA",20130111,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,911,890.00",,,841424.14
2395,144086,"Relay of Water Mains in Various Locations,",20140401,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,068,330.00",,,960667.65
2399,134130,"Reconstruction of Sewer in Susquehanna Ave, 15th St & Boston Street. Relay of Water Main in Diamond St &  Carlisle St. Phila. PA",20130807,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$3,105,040.00",,,674690.68
2503,144092,"Reconstruction of Sewers and Relay of Water Mains in Var Locations, Phila PA",20140422,,PW,J P C GROUP INC,WATER,"$2,551,500.00",,,404526.89
2509ELB,124123,Reconstruction of Sewers and Trenchless Sewer Rehabilitation Lining of the Sewer in Various Locations.  (Emergency Letter Bid),20120515,,PW,A P CONSTRUCTION COMPANY,WATER,"$108,000.00",,,108986
2528,134004,Reconstruction of Sewer & Relay of Water Mains at Various Locations. Phila PA,20120914,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,748,570.00",,,7044.54
2532,A34003,SERAVALLI INCORPORATED Bid# 2532,20130827,,PW,SERAVALLI INCORPORATED,WATER,"$775,000.00",,,28950
2533,134047,"Reconstruct of Sewers & Relay Water Main in Glen St, Reconstruct Sewers in Sussex Ln, Chesterfield St, and Wessex Lane, Phila PA",20121130,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,061,200.00",,,172064.29
2535,134033,"Construction of Green Infrastructure in Blue Bell Triangle (Cobbs Creek Parkway, Island Ave & Woodland Ave) Phila. PA  (Federally Funded)",20121123,,PW,J P C GROUP INC,WATER,"$297,000.00",,,21848.56
2536,134031,"Green Infrastruct Projects at Various Locations, Phila PA (Fed Funded)",20121109,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,059,450.00",,,91538.2
2540,144037,"Relay of Water Mains at Various Locations, Phila PA",20131015,,PW,SERAVALLI INCORPORATED,WATER,"$1,452,152.00",,,1141451.89
2541,A34077,SERAVALLI INCORPORATED Bid# 2541,20140606,,PW,SERAVALLI INCORPORATED,WATER,"$750,000.00",,,736404.89
2545,134134,Reconstruction of Sewer/Relay of Water Main and/or Trenchless Sewer Rehabilitation Lining of Sewer at Various Locations. Phila. PA,20130807,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,844,840.00",,,33183.37
2549,134061,"Construct of Green Infrastructure at Various Locations, Phila PA (Fed Funded)",20130129,,PW,RAMOS AND ASSOCIATES INCORPORATED,WATER,"$638,960.00",,,2025
2551,134046,"Annual Service Contract for Street Paving/Restore Excavation & Water Main Breaks, Phila PA",20130118,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,041,950.00",,,152067.89
2560,144060,"Relay of Water Mains in Various Locations,",20131211,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,006,890.00",,,342607.53
2568ELB,134055,"Sewer Lining Project, Market St from 12th St to 7th St., Phila PA (Emergency Letter Bid)",20130118,,PW,A & W MAINTENANCE INC,WATER,"$1,976,170.00",,,84634.2
2571,134129,"Relay of Water Mains in Clapier St from Wissahickon Ave to Morris, Morris from Seymour St to Abbottsford Ave. Phila, PA",20130819,,PW,SERAVALLI INCORPORATED,WATER,"$1,377,600.00",,,68001.23
2573,134099,"Reconst. of Sewers & Relay of Water Mains at Various Locations, Phila PA",20130606,,PW,J P C GROUP INC,WATER,"$467,380.00",,,53378.83
2576,134133,"Cathodic Protection of Underground Piping in Torresdale Filtered Water Pumping Station, Phila PA",20130814,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$250,300.00",,,57848.5
2580,144046,"Northern Liberties Flood Relief Program Phases II & IV Laurel St Regulating Chamber D-45 and Laurel St from Canal St to Front St and Germantown Ave from Front St to Allen St Phila, Pa",20131224,,PW,A P CONSTRUCTION COMPANY,WATER,"$20,339,684.00",,,3982064.12
2581,144059,"""""""Relay of Water Mains and Abandonment of of 20"""""""" Water Main Var Locations,""""""",20140305,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$960,650.00",,,260051.33
2592,144058,"Reconstruction of Sewers and Relay of Water Mains in Var Locations,",20140207,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$2,037,040.00",,,230827.81
2593,144094,"Construction of Green Infrastructure in Various Locations, Phila PA",20140314,,PW,A P CONSTRUCTION COMPANY,WATER,"$2,698,250.00",,,451788.88
2594,144093,"Construction of Green Infrastructure in Various Locations,",20140224,,PW,SERAVALLI INCORPORATED,WATER,"$2,360,400.00",,,653905.8
2702,144112,"Water Main Relay in Various Locations,",20140630,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$690,650.00",,,365570.94
2707ELB,144102,"""""""Sewer Reconstruction and Water Main Relay in """"""""G"""""""" Street from Allegheny Ave to Ontario St. (Emergency Letter Bid)""""""",20140317,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,306,200.00",,,193978.38
2713ELB,144146,Gorgas Lane Bridge Repairs (Emergency Letter Bid),20140808,,PW,SERAVALLI INCORPORATED,WATER,"$377,300.00",,,293265
2813,124133,"Replace Sludge Pump Grinder & Sump Pump @ Southeast Water Pollution Control Plant Phila, PA",20120723,,PW,NUCERO ELECTRICAL CONSTRUCTION COMPANY,WATER,"$623,700.00",,,14100
2835,124067,"Replacement of Medium & Low Voltage Switchgears at SWWPCP Phila, PA",20120113,,PW,E J ELECTRIC INCORPORATED,WATER,"$2,211,300.00",,,460078.89
2840,134037,"Improvements to Belmont Raw Water Basin at Belmont WTP, Belmont Ave & Ford Rd, Philadelphia, PA",20121123,,PW,J P C GROUP INC,WATER,"$19,476,000.00",,,2037031.54
2847,134121,"""""""FrankFord High Level Sewer Manhole Rehabilitation at Wheatsheaf Lane, Pike Street and """"""""O"""""""" Street, Phila Pa""""""",20130726,,PW,A P CONSTRUCTION COMPANY,WATER,"$972,400.00",,,461909
2856,134071,HORIZON BROTHERS PAINTING CORP Bid# 2856,20130306,,PW,HORIZON BROTHERS PAINTING CORP,WATER,"$2,920,000.00",,,244881.69
2868,144061,Process Air Valve System Improve (MECH) @ NorthEast Water Plant,20131203,,PW,FIVE STAR INC,WATER,"$832,700.00",,,94700.7
2874,114139,"Manayunk Sewer Basin Construction & Venice Island Recreation Center Reconstruction Projects, Phila PA",20110722,,PW,DANIEL J KEATING COMPANY,WATER,"$39,970,400.00",,,2298640.4
2887,134067,ANTHONY BIDDLE CONTRACTORS INC Bid# 2887,20130304,,PW,ANTHONY BIDDLE CONTRACTORS INC,WATER,"$2,602,300.00",,,885717.3
3695,144051,"NE Incinerator Building Reconditioning Phase III, Phila PA",20140110,,PW,THOMAS P CARNEY INC,STREETS,"$2,243,240.49",,,373275
3699ECMS,B14092,MECO CONSTRUCTION INC Bid# 3699ECMS,20130930,,PW,MECO CONSTRUCTION INC,STREETS,"$588,042.99",,,91864.64
3709ECMS,B14026,MECO CONSTRUCTION INC Bid# 3709ECMS,20140804,,PW,MECO CONSTRUCTION INC,COMMERCE,"$145,000.00",,,171745.54
3715EC,144076,Fox Chase Streetscape Phase 3. (Fed Funded) ECMS 77467,20140605,,PW,BRIGHTLINE CONSTRUCTION INC,STREETS,"$534,782.61",,,1029565.22
3716ECMS,114122,"Roxborough Streetscape, Ridge Ave (ADA Ramps) (Federally Funded)",20110803,,PW,SERAVALLI INCORPORATED,STREETS,"$46,267.00",,,9750
3719ECMS,124084,"Shawmnt Av MontgoLnTIGER(Phila. Bid #3719ECMS)Design actv. limited to:Retaining Walls, Rec Path TCP",20120217,,PW,TONY DEPAUL AND SON,STREETS,"$1,466,806.10",,,28708.12
3722ECMS,124087,"Tidal Schuylkill Greenway Phila, PA",20120508,,PW,"CROSSING CONSTRUCTION COMPANY, INC.",COMMERCE,"$16,878,040.30",,,4249897.72
3725ECMS,134002,Delaware Ave Greenway (Tiger 9) ADA Ramps (Federally Funded),20121017,,PW,SCOTT BUILDING CORP,STREETS,"$300,000.00",,,51597.45
3735,144024,Upgrade ADA Ramps and Related Work Citywide. Phila. PA,20130920,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,STREETS,"$15,346,808.00",,,9871382.76
3736,124131,"Signal Synchronization/Modernization, Phila PA,",20120720,,PW,CARR & DUFF INCORPORATED,STREETS,"$557,825.83",,,75650.61
3742,B34056,ARMOUR & SONS ELECTRIC INC Bid# 3742,20140609,,PW,ARMOUR & SONS ELECTRIC INC,STREETS,"$80,000.00",,,37937.68
3742ECMS,134056,ARMOUR & SONS ELECTRIC INC Bid# 3742ECMS,20130319,,PW,ARMOUR & SONS ELECTRIC INC,STREETS,"$4,174,085.30",,,332461.22
3743,B34074,ZONE STRIPING INC Bid# 3743,20130904,,PW,ZONE STRIPING INC,STREETS,"$600,000.00",,,148103.65
3744,A34065,ZONE STRIPING INC Bid# 3744,20130904,,PW,ZONE STRIPING INC,STREETS,"$800,000.00",,,191300.32
3747ECMS,134089,"Stenton & Godfrey Ave Signals, ECMS (Fed Funded)",20130604,,PW,CARUSONE CONSTRUCTION INC,WATER,"$6,896,000.00",,,4414618.76
3748ECMS,144080,North Delaware Avenue Extension (MPMS #46956)  (Federally Funded),20140404,,PW,BUCKLEY & COMPANY INCORPORATED,STREETS,"$11,522,246.96",,,6234624.82
3752,144017,"Area 6 Paving Improvements, Phila PA",20130919,,PW,GESSLER CONSTRUCTION COMPANY,STREETS,"$377,000.00",,,15825
3753,144027,Furnish/Place Tack Coat @ various Phila City Locations. (CityWide),20130930,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,STREETS,"$300,000.00",,,131742.86
3754ECMS,144031,"Gateway Torresdale.  Eng Est: $2M - $4,999,999. Bidders are required to Follow instructs and submit Quests on PA Dot website Spec Avail 06/07/13  (www.dot14.state.pa.us/ECMS).",20131126,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,STREETS,"$1,905,023.62",,,29691
3760ECMS,134136,"Bustleton Avenue North Signals, Phila P A (Federal Funded)",20131003,,PW,SERAVALLI INCORPORATED,STREETS,"$6,441,256.00",,,1697566.11
3761ECMS,144045,Bustleton Ave South (TIGER) Design activities limited to ADA ramps (95452),20131126,,PW,WAMPOLE MILLER INC,WATER,"$6,325,649.37",,,1399616.02
3762ECMS,144043,Woodland Avenue Signals (Tiger) MPMS #95450,20131126,,PW,KUCHARCHIK CONSTRUCTION INC,WATER,"$6,479,374.40",,,1560518.3
3765ECMS,144044,"Avenue of the Arts, North Broad St, Phila, PA  ADA Ramps",20131126,,PW,TONY DEPAUL AND SON,COMMERCE,"$8,678,983.00",,,963206.82
3766,144115,"ARLE Citywide Intersection Modification,",20140630,,PW,RAMOS AND ASSOCIATES INCORPORATED,STREETS,"$1,220,000.00",,,549274.83
3769,144116,"2014 Milling in the 4th & 5th Highway Districts, Phila PA",20140728,,PW,TONY DEPAUL AND SON,STREETS,"$824,586.00",,,764895.72
3772,144108,"2nd and Roosevelt Blvd Signal Installation,",20140501,,PW,SERAVALLI INCORPORATED,STREETS,"$600,000.00",,,574230.25
3774,144109,"Casting and Manhole Adjustments for Milling & Water Prep, EST $2.3M-$2.7M, In lieu of PreBid, email questions to Steve.Mottershead@phila.gov by 5:00pm 02/25/14, Specs Avail 02/11/14",20140610,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,WATER,"$2,687,048.00",,,1581280.22
4025GCON,134054,"PANNULLA CONSTRUCTION CO., INC. Bid# 4025GCON",20130314,,PW,"PANNULLA CONSTRUCTION CO., INC.",RECREATION,"$271,977.00",,,48463.7
4025MECH,134053,FIVE STAR INC Bid# 4025MECH,20130306,,PW,FIVE STAR INC,RECREATION,"$103,940.00",,,35390.75
4062GCON,144098,"Small Mammal House Roofing Improvements,",20140403,,PW,"PANNULLA CONSTRUCTION CO., INC.",FAIRMOUNT PARK COMMISSION,"$363,375.00",,,78839.1
4064GCON,N34082,"PANNULLA CONSTRUCTION CO., INC. Bid# 4064GCON",20131202,,PW,"PANNULLA CONSTRUCTION CO., INC.",PUBLIC PROPERTY,"$102,528.94",,,215533.77
4065ELB,144100,Bay Window Replacement at Woodstock Women's Shelter (Emergency Letter Bid),20140317,,PW,MURPHY QUIGLEY COMPANY,OFFICE OF SUPPORTIVE HOUSING,"$875,160.00",,,125765.55
4080ELEC,L24018,MULHERN ELECTRIC COMPANY Bid# 4080ELEC,20130909,,PW,MULHERN ELECTRIC COMPANY,FAIRMOUNT PARK COMMISSION,"$26,456.30",,,86810.68
4081ELEC,A14089,JACK COHEN & COMPANY INCORPORATED Bid# 4081ELEC,20120501,,PW,JACK COHEN & COMPANY INCORPORATED,FIRE,"$1,549.96",,,3079.86
4082ELEC,114124,"Electrical Systems Improvements, Installation of New Emergency Lighting and Fire Alarm at Engines 36, 56, 58, 71 & Ladder 15. Phila PA   (Partial Certification)",20110719,,PW,MULHERN ELECTRIC COMPANY,FIRE,$574.70,,,8240.63
4125ELBE,134109,Infrastructure Upgrade for EHR Implementation - HAB (Emergency Letter Bid) Partial Certification,20130529,,PW,JACK COHEN & COMPANY INCORPORATED,HEALTH,"$3,898.80",,,54531.41
4178ELEC,A14135,HYDE ELECTRIC CORPORATION Bid# 4178ELEC,20120309,,PW,HYDE ELECTRIC CORPORATION,POLICE,"$3,673.95",,,41630.69
4178MECH,B14141,EDWARD J MELONEY INCORPORATED Bid# 4178MECH,20120309,,PW,EDWARD J MELONEY INCORPORATED,POLICE,"$4,793.00",,,42495.35
4190GCON,124032,"Reconstruct Tennis & Basketball Courts at Various Locations Phila, PA",20111110,,PW,GESSLER CONSTRUCTION COMPANY,RECREATION,"$95,228.00",,,122037.44
4196GCON,D34024,MILESTONE CONSTRUCTION MANAGEMENT INC Bid# 4196GCON,20140425,,PW,MILESTONE CONSTRUCTION MANAGEMENT INC,RECREATION,"$33,750.00",,,29959.68
4196MECH,134017,"Addition/Renovate Bldg & Site Improve Penrose Playground, 1101 W. Susquehanna Avenue, Phila PA  (Partially State Funded)",20121228,,PW,ALLSTATES MECHANICAL LTD.,RECREATION,"$104,040.00",,,4581.55
4196PLUM,134018,"Site Improvements (Existing Building Renovation & Addition) @ Penrose  Playground, 1101 W. Susquehanna Ave., Phila., PA  (Partially State Funded)",20121130,,PW,"JOHN J. BEE, INC.",RECREATION,$820.67,,,10091.35
4201ELEC,134039,"Fire Protection Systems Upgrade @ Various Recreation Sites. Phila, PA",20121210,,PW,JACK COHEN & COMPANY INCORPORATED,RECREATION,"$148,625.00",,,7431.25
4209ELEC,144072,"Fire Protection Systems for Various Sites--Group 6, Phila PA",20140210,,PW,FIDELITY BURGLAR & FIRE ALARM CO INC,RECREATION,"$48,975.00",,,252852.16
4218GCON,134088,"Heating System Replacement, Units F&G, Phila Detention Ctr. Phila PA (Partial Certification)",20130807,,PW,MILESTONE CONSTRUCTION MANAGEMENT INC,PRISONS,"$490,844.14",,,142284.15
4218MECH,134087,"Heating System Replacement, Units F&G, Phila Detention Ctr., Phila PA (Partial Certification)",20130726,,PW,SURETY MECHANICAL SERVICES,PRISONS,"$2,362,808.94",,,822254.95
4243ELEC,144075,"Furnish and Install Security Cameras at 48th & Woodland, Jardel Rec Ctr, Olney Rec Ctr, Morris Estate, Northern Liberties & Vogt Rec Ctrs. Phila PA",20140318,,PW,FIDELITY BURGLAR & FIRE ALARM CO INC,RECREATION,"$299,812.50",,,115410.6
4244ELEC,144077,Furnish & Install Security Cameras @ Various Rec Centers (Group 2) Phila PA,20140314,,PW,FIDELITY BURGLAR & FIRE ALARM CO INC,RECREATION,"$329,793.75",,,119379.42
4268GC,V24118,BUILDING RESTORATION INC Bid# 4268GC,20140609,,PW,BUILDING RESTORATION INC,RECREATION,"$10,000.00",,,6211.92
4268GCON,I24118,BUILDING RESTORATION INC Bid# 4268GCON,20130322,,PW,BUILDING RESTORATION INC,RECREATION,"$74,989.64",,,159758.69
4281EL,144130,Fire Damage Renovations (Emergency Letter Bid),20140616,,PW,SYCAMORE MECHANICAL CONTRACTORS LLC,FIRE,"$246,000.00",,,316868.4
4290GC,A14094,BUSTLETON SERVICES INCORPORATED Bid# 4290GC,20140509,,PW,BUSTLETON SERVICES INCORPORATED,RECREATION,"$10,895.31",,,10895.31
4306EL,C24151,CARR & DUFF INCORPORATED Bid# 4306EL,20140610,,PW,CARR & DUFF INCORPORATED,RECREATION,"$43,500.27",,,34629.43
4306GCON,124143,"Sturgis Playground - New Building and Site Improvements, Phila PA",20130226,,PW,SMITH BUILDERS INC,RECREATION,"$204,360.00",,,69411.36
4306MECH,124141,"New Building & Site Improvements @ Sturgis Playground  200-220 W. 65th Street, Phila PA (Partial Certification)",20130226,,PW,ALLSTATES MECHANICAL LTD.,RECREATION,"$386,580.00",,,25917.45
4306PLUM,124142,KASER MECHANICAL Bid# 4306PLUM,20130306,,PW,KASER MECHANICAL,RECREATION,"$29,314.40",,,10743.61
4315GCON,A24094,BRIGHTLINE CONSTRUCTION INC Bid# 4315GCON,20130515,,PW,BRIGHTLINE CONSTRUCTION INC,RECREATION,"$47,089.91",,,61766.4
4356EL,144125,Major Renovations for the new Phila Police Training Center; EST $2M-$5M; Mandatory PreBid 02/04/14 at 10am at 2838 Woodhaven Rd; Specs Avail 01/21/14,20140612,,PW,EAGLE I ELECTRIC,POLICE,"$2,395,376.81",,,217246.32
4356GC,144119,"Major renovations for the new Phila Police Training Center, EST >$5,000,000; Mandatory PreBid 02/04/14 @ 10am at 2838 Woodhaven Rd; ;Specs Avail 01/21/14",20140617,,PW,HUNTER ROBERTS CONSTRUCTION GROUP,POLICE,"$6,375,599.19",,,629226.9
4356PL,144120,Major Renovations for the new Phila Police Training Center; EST $500K-$1M; Mandatory PreBid 02/04/14 at 10am at 2838 Woodhaven Rd; Specs 01/21/14,20140606,,PW,DOLAN MECHANICAL,POLICE,"$688,908.00",,,108732.6
4377ELEC,144066,"Fire Protections Systems - African American Museum, Phila PA",20131203,,PW,HYDE ELECTRIC CORPORATION,RECREATION,"$128,116.94",,,85520.68
4380GCON,144074,"Panati PG Site Improvements, (Partially Fed Funded)",20140305,,PW,ROCKPORT CONSTRUCTION COMPANY INC,WATER,"$924,954.34",,,728653.7
4384ELEC,134030,"Provide Outdoor Lighting @ Mander Playground  2140 N. 33rd St., Phila PA (Partial Certification)",20130124,,PW,HYDE ELECTRIC CORPORATION,RECREATION,"$307,500.00",,,33531.28
4387ELB,144070,Gymnasium Roof and Floor Replacement (Emergency Letter Bid),20140110,,PW,MUNN ROOFING CORP,RECREATION,"$414,000.00",,,56100
4400GC,A34057,DONATO SPAVENTA & SONS INCORPORATED Bid# 4400GC,20140729,,PW,DONATO SPAVENTA & SONS INCORPORATED,RECREATION,"$38,457.33",,,50570.65
4400GCON,134057,"Site Improv. at Mill Creek & West Mill Creek Playgrounds, Phila PA",20130215,,PW,DONATO SPAVENTA & SONS INCORPORATED,RECREATION,"$877,149.00",,,36223.72
4411ELEC,124006,"Upgrade Fire Protection Systems @ Various Recreations Sites in Phila, PA (Partial Certification)",20111006,,PW,JACK COHEN & COMPANY INCORPORATED,RECREATION,"$8,327.95",,,23499.6
4425GC,AE4042,ASSOCIATED SPECIALTY CONTRACTING Bid# 4425GC,20140609,,PW,ASSOCIATED SPECIALTY CONTRACTING,FIRE,"$4,950.48",,,3546.95
4501GCOR,A14100,LITTLE BUILDERS Bid# 4501GCOR,20120626,,PW,LITTLE BUILDERS,FIRE,"$349,150.00",,,21492.97
4522ELEC,124149,"Rehabilitation of City Hall Elevators, Phase 2, Phila PA (Partial Certification)",20121123,,PW,HYDE ELECTRIC CORPORATION,PUBLIC PROPERTY,"$308,590.00",,,36463.93
4522GCON,124110,"Rehabilitation of City Hall Elevators, Phase 2 Phila, PA",20120914,,PW,ANTHONY BIDDLE CONTRACTORS INC,PUBLIC PROPERTY,"$246,960.00",,,10494
4522MECH,124111,"Rehabilitation of City Hall Elevators, Phase 2, Phila PA",20120516,,PW,SANTAPAUL CORP,PUBLIC PROPERTY,"$194,671.60",,,22938.72
4527ELEC,124057,Site & Lighting Improvements @ Junod Playground 12770 Dunks Ferry Rd Phila PA (Partial Certification),20120106,,PW,SCHLEIG ELECTRIC INCORPORATED,RECREATION,"$10,283.59",,,16416.03
