Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Max_Value,Total_Contract_Months,Remaining_Contract_Months,SumOfTransactionAmt
4447ELBR,124163,"Roof Improvements @ Holmesburg Branch Library 7810 Frankford Ave., Phila. PA (Emergency Letter Bid)",20120801,,PW,MCMULLEN ROOFING INC,FREE LIBRARY,"$6,059.72",,,21002
4495GCON,B24112,A P CONSTRUCTION COMPANY Bid# 4495GCON,20130529,,PW,A P CONSTRUCTION COMPANY,RECREATION,"$49,164.00",,,16663
4501GCOR,D11410,LITTLE BUILDERS Bid# 4501GCOR,20130529,20130528,PW,LITTLE BUILDERS,FIRE,"$45,701.15",,,506.63
4501MECH,A14058,GENERAL ASPHALT PAVING CO OF PHILADELPHI Bid# 4501MECH,20130418,,PW,GENERAL ASPHALT PAVING CO OF PHILADELPHI,FIRE,"$11,553.39",,,78647.59
4522ELEC,124149,"Rehabilitation of City Hall Elevators, Phase 2, Phila PA (Partial Certification)",20121123,,PW,HYDE ELECTRIC CORPORATION,PUBLIC PROPERTY,"$308,590.00",,,30910.61
4522ELEV,124113,"Rehabilitation of City Hall Elevators, Phase 2, Phila PA (Partial Certification)",20120622,,PW,OTIS ELEVATOR CO,PUBLIC PROPERTY,"$1,625,900.00",,,234062.64
4522GCON,124110,"Rehabilitation of City Hall Elevators, Phase 2 Phila, PA",20120914,,PW,ANTHONY BIDDLE CONTRACTORS INC,PUBLIC PROPERTY,"$246,960.00",,,61902
4522MECH,124111,"Rehabilitation of City Hall Elevators, Phase 2, Phila PA",20120516,,PW,SANTAPAUL CORP,PUBLIC PROPERTY,"$11,466.00",,,50039.08
4533ASBT,AN4061,ASSOCIATED SPECIALTY CONTRACTING Bid# 4533ASBT,20130529,,PW,ASSOCIATED SPECIALTY CONTRACTING,PUBLIC PROPERTY,"$25,000.00",,,1862.41
4537ELEC,A14045,JACK COHEN & COMPANY INCORPORATED Bid# 4537ELEC,20121228,,PW,JACK COHEN & COMPANY INCORPORATED,POLICE,"$57,630.00",,,15692.28
4567ELBG,B14104,GESSLER CONSTRUCTION COMPANY Bid# 4567ELBG,20130503,,PW,GESSLER CONSTRUCTION COMPANY,RECREATION,$329.00,,,33651
4623ELEC,B24075,MULHERN ELECTRIC COMPANY Bid# 4623ELEC,20121101,,PW,MULHERN ELECTRIC COMPANY,POLICE,"$298,900.00",,,192181.27
4623GCON,D24072,HUNTER ROBERTS CONSTRUCTION GROUP Bid# 4623GCON,20130607,,PW,HUNTER ROBERTS CONSTRUCTION GROUP,POLICE,"$1,600,000.00",,,269287.83
4623MECH,C24073,DOLAN MECHANICAL Bid# 4623MECH,20130118,,PW,DOLAN MECHANICAL,POLICE,"$150,000.00",,,109836.97
4623PLUM,D24068,DOLAN MECHANICAL Bid# 4623PLUM,20130607,,PW,DOLAN MECHANICAL,POLICE,"$50,000.00",,,39061.12
4658GCON,A34029,J P C GROUP INC Bid# 4658GCON,20130520,,PW,J P C GROUP INC,RECREATION,"$19,555.00",,,15983.95
4696GCON,124066,BRIGHTLINE CONSTRUCTION INC Bid# 4696GCON,20130305,,PW,BRIGHTLINE CONSTRUCTION INC,MANAGING DIRECTOR,"$776,000.70",,,1409735.07
4697MECH,I14025,GENERAL ASPHALT PAVING CO OF PHILADELPHI Bid# 4697MECH,20120509,,PW,GENERAL ASPHALT PAVING CO OF PHILADELPHI,POLICE,"$8,874.00",,,20343.52
