original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor
1320648,1320648,City Treasurer,ANDRE C DASENT P C,Legal Services,Bond Counsel - PGW &Water,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,ANDRE C DASENT P C
1320338,132033801,City Treasurer,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor,2013-08-01T00:00:00Z,2014-07-31T00:00:00Z,212.0,0.0,0.0,"Acacia Financial Group, Inc."
1120293,112029302,City Treasurer,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,Bond Counsel GO and OTB,2012-10-08T00:00:00Z,2013-10-07T00:00:00Z,0.0,0.0,0.0,"Grant & Lebowitz, LLC."
1320647,1320647,City Treasurer,Ballard Spahr LLP,Legal Services,Bond Counsel - PGW &Water,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,30000.0,0.0,Ballard Spahr LLP
1020483,102048303,City Treasurer,"BlackRock Capital Management, Inc.",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"BlackRock Financial Management, Inc."
1320646,1320646,City Treasurer,Blank Rome LLP,Legal Services,Bond Counsel - PGW,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,Blank Rome LLP
1120292,112029202,City Treasurer,Cozen O'Connor,Legal Services,Bond Counsel - GO and OTB,2012-10-08T00:00:00Z,2013-10-07T00:00:00Z,0.0,0.0,0.0,Cozen O'Connor
1220136,122013602,City Treasurer,Dilworth Paxson LLP,Legal Services,Legan Counsel,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,0.0,0.0,Dilworth Paxson LLP
1120384,112038402,City Treasurer,ECONSULT CORPORATION,General Consultant Services,Authorized Depositories,2012-12-15T00:00:00Z,2013-12-14T00:00:00Z,0.0,41000.0,41000.0,ECONSULT CORPORATION
1020581,102058103,City Treasurer,First Southwest Company,General Consultant Services,Financial Advisor-Airport,2013-03-08T00:00:00Z,2014-03-07T00:00:00Z,66.0,20000.0,0.0,First Southwest Company
1020582,102058203,City Treasurer,"Frasca & Associates, LLC",General Consultant Services,Financial Advisor Airport,2013-03-08T00:00:00Z,2014-03-07T00:00:00Z,66.0,20000.0,0.0,"Frasca & Associates, LLC"
1020585,102058503,City Treasurer,Gonzalez Saggio & Harlan LLP,Legal Services,Bond Counsel-Airport,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,31.0,0.0,0.0,Gonzalez Saggio & Harlan LLP
1220137,122013702,City Treasurer,Gonzalez Saggio & Harlan LLP,Legal Services,Legal Services - TRAN,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,0.0,0.0,Gonzalez Saggio & Harlan LLP
1320645,1320645,City Treasurer,"Greenberg Traurig, LLP",Legal Services,Bond Counsel - Water,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"Greenberg Traurig, LLP"
1020470,102047003,City Treasurer,Hughes Capital Management Inc,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,Hughes Capital Management Inc
MPXX14000114,MPXX14000114,City Treasurer,"ImageMaster, LLC",Miscellaneous Order,Printer,2013-07-12T10:37:25Z,2014-06-30T00:00:00Z,181.0,1.0,0.0,"ImageMaster, LLC"
1320649,1320649,City Treasurer,Law Offices of Denise Joy Smyler,Legal Services,Bond Counsel - Water,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,Law Offices of Denise Joy Smyler
1020478,102047803,City Treasurer,"Logan Circle Partners, L.P.",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"Logan Circle Partners, L.P."
MPXX14000122,MPXX14000122,City Treasurer,"McElwes and Quinn, LLC",Miscellaneous Order,Printer,2013-07-17T11:21:43Z,2014-06-30T00:00:00Z,181.0,1.0,0.0,"McElwes and Quinn, LLC"
1020471,102047103,City Treasurer,"PFM Asset Management, LLC",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"PFM Asset Management, LLC"
1220495,122049501,City Treasurer,"PFM Asset Management, LLC",General Consultant Services,Banking Srvs Consultant,2012-02-01T00:00:00Z,2013-11-06T00:00:00Z,0.0,94000.0,60000.0,"PFM Asset Management, LLC"
1320366,132036601,City Treasurer,"PFM Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,77000.0,32000.0,"PFM Asset Management, LLC"
1020479,102047903,City Treasurer,PNC Capital Advisors,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,PNC Capital Advisors
1020445,102044503,City Treasurer,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor - PGW,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"Phoenix Capital Partners, LLP"
1220175,122017502,City Treasurer,"Phoenix Capital Partners, LLP",General Consultant Services,Fiinancial Advisor,2013-07-12T00:00:00Z,2014-07-11T00:00:00Z,192.0,0.0,0.0,"Phoenix Capital Partners, LLP"
1020444,102044403,City Treasurer,Public Financial Management Inc,General Consultant Services,Financial Advisor - PGW,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,Public Financial Management Inc
1020480,102048003,City Treasurer,"RBC Global Asset Management (U.S.), Inc",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"RBC Global Asset Management (U.S.), Inc"
1320595,1320595,City Treasurer,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Management Software,2013-06-30T00:00:00Z,2014-06-29T00:00:00Z,180.0,180500.0,171625.0,"SS&C Technologies, Inc."
1020584,102058404,City Treasurer,Saul Ewing LLP,Legal Services,Legal Counsel,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,31.0,20000.0,0.0,Saul Ewing LLP
1320627,1320627,City Treasurer,"Swap Financial Group, LLC",General Consultant Services,Swap Advisor,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,60000.0,30000.0,"Swap Financial Group, LLC"
1020473,102047303,City Treasurer,"TD Bank, NA",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"TD Bank, NA"
1020469,102046903,City Treasurer,The Swarthmore Group,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,The Swarthmore Group
1020482,102048203,City Treasurer,"Wells Capital Management, Inc",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"Wells Capital Management, Inc"
1020472,102047203,City Treasurer,Western Asset Management,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,Western Asset Management
1420272,1420272,Commerce,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",General Consultant Services,REAL ESTATE APPRAISAL,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,100000.0,0.0,"ABS Aviation Consultancy, Inc dba Airport Business Solutions"
1120268,112026803,Commerce,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL THREE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,250000.0,0.0,"AECOM Technical Services, Inc."
1320161,132016101,Commerce,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,450000.0,0.0,"AECOM Technical Services, Inc."
1320162,132016201,Commerce,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,2600000.0,706114.34,"AECOM Technical Services, Inc."
MPXX14000022,MPXX14000022,Commerce,ARW Events,Miscellaneous Order,Entertainment Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,30000.0,19585.0,ARW Events
1020449,102044903,Commerce,"AVK Consulting, Inc.",General Consultant Services,RENEWAL THREE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,195000.0,145120.36,Roger H. Bates
1320582,1320582,Commerce,"AVK Consulting, Inc.",General Consultant Services,AIRPORT SPACE PLANNING,2012-12-01T00:00:00Z,2013-11-30T00:00:00Z,0.0,100000.0,70612.41,"AVK Consulting, Inc."
1320582,132058201,Commerce,"AVK Consulting, Inc.",General Consultant Services,RENEWAL ONE,2013-12-01T00:00:00Z,2014-11-30T00:00:00Z,334.0,100000.0,6035.25,"AVK Consulting, Inc."
MPXX14000251,MPXX14000251,Commerce,All State Career,Miscellaneous Order,Commercial Driver Cert,2013-10-10T10:49:10Z,2014-06-30T00:00:00Z,181.0,25000.0,0.0,All State Career
1320171,132017101,Commerce,Allegheny West Foundation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,92000.0,0.0,Allegheny West Foundation
1320207,132020701,Commerce,American Association of Airport Executives,General Consultant Services,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,0.0,0.0,American Association of Airport Executives
1320498,132049801,Commerce,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,273.0,1550000.0,109397.03,"Atkins North America, Inc."
1120431,112043102,Commerce,"Audio Visual Communications, Inc.",General Consultant Services,RENEWAL TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,100000.0,55054.45,"Audio Visual Communications, Inc."
1420234,1420234,Commerce,"Avenue of the Arts, Inc.",General Consultant Services,Avenue of the Arts,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,80000.0,20000.0,"Avenue of the Arts, Inc."
1220407,122040701,Commerce,Buell Kratzer Powell,Architect and Engineer Svcs,RENEWAL ONE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,150000.0,0.0,Buell Kratzer Powell
1320625,1320625,Commerce,"Burns Engineering, Inc.",Architect and Engineer Svcs,ON-CALL M&E ENGINEERING,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,1000000.0,264981.04,"Burns Engineering, Inc."
1320426,132042601,Commerce,"CLEAN RENTAL SVC., INC.",General Consultant Services,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,273.0,550000.0,188732.63,"CLEAN RENTAL SVC., INC."
1320209,132020901,Commerce,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,1000000.0,135923.05,"Carter Hayes Associates,  Inc"
1220183,122018302,Commerce,Center City District Inc,General Consultant Services,Dilworth Plaza Imps,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,0.0,0.0,Center City District Inc
1220487,122048701,Commerce,Center City District Inc,General Consultant Services,Callowhill Reading Viaduc,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,Center City District Inc
1220412,122041201,Commerce,Converse Winkler Architecture,Architect and Engineer Svcs,RENEWAL ONE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,400000.0,74385.56,Converse Winkler Architecture
0320600,032060009,Commerce,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 9,2012-12-01T00:00:00Z,2013-11-30T00:00:00Z,0.0,2137736.0,171018.0,Daroff Design Inc. + DDI Architects PC
0320600,032060010,Commerce,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 10-TIME ONLY,2013-12-01T00:00:00Z,2014-11-30T00:00:00Z,334.0,0.0,0.0,Daroff Design Inc. + DDI Architects PC
1320191,1320191,Commerce,David Brush Consulting,General Consultant Services,AIRPORT OWNER REP SVC,2012-07-01T00:00:00Z,2016-06-30T00:00:00Z,912.0,975000.0,273388.76,David Brush Consulting
1320672,1320672,Commerce,Delaware River Waterfront Corporation,General Consultant Services,Delaware Waterront Imp,2012-07-02T00:00:00Z,2014-07-01T00:00:00Z,182.0,1680000.0,1680000.0,Delaware River Waterfront Corporation
1220467,122046701,Commerce,Ellen Harvey Studio LLC,Performing Artists-Public Art,RENEWAL ONE,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,31.0,0.0,0.0,Ellen Harvey Studio LLC
1320180,132018001,Commerce,Elliott Lewis Corp.,General Consultant Services,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,1.065931776E7,2437244.61,Elliott Lewis Corp.
MPXX14000176,MPXX14000176,Commerce,"Ellison Group, The",Miscellaneous Order,STARS & LEADS Prof. Devel,2013-08-16T11:44:13Z,2014-06-30T00:00:00Z,181.0,30000.0,6600.0,"Ellison Group, The"
MPXX14000023,MPXX14000023,Commerce,Eventive Productions,Miscellaneous Order,Entertainment Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,30000.0,26100.0,Eventive Productions
1320316,132031601,Commerce,"Faith Group, LLC",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,500000.0,164766.43,"Faith Group, LLC"
1120564,112056402,Commerce,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,RENEWAL TWO,2013-06-01T00:00:00Z,2014-05-31T00:00:00Z,151.0,1.04368E7,3427544.16,"First Transit, Inc  (subsidiary of FirstGroup)"
1320184,132018401,Commerce,Frankford Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,75000.0,10776.17,Frankford Community Development Corporation
1320597,132059701,Commerce,Frankford Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,40000.0,4804.11,Frankford Community Development Corporation
1320656,1320656,Commerce,Fund For Philadelphia Inc,General Consultant Services,Neighbor Funding Stream,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,Fund For Philadelphia Inc
1120392,112039203,Commerce,"GRA,  Inc.",General Consultant Services,RENEWAL TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,200000.0,25498.98,"GRA,  Inc."
1220573,1220573,Commerce,Global Program Partners,General Consultant Services,PROGRAM MNGMNT (PMO) SVC,2012-05-25T00:00:00Z,2016-05-24T00:00:00Z,875.0,2.5E7,1.534322111E7,Global Program Partners
MPXX14000051,MPXX14000051,Commerce,Grapevine Exhibits,Miscellaneous Order,Event/Trade Show Plan,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,30000.0,2760.0,Grapevine Exhibits
1020634,102063403,Commerce,Gresham Smith & Partners (GS&P),Architect and Engineer Svcs,RENEWAL THREE,2013-06-01T00:00:00Z,2014-05-31T00:00:00Z,151.0,0.0,0.0,Gresham Smith & Partners (GS&P)
1020468,102046804,Commerce,"HNTB Pennsylvania, Inc.",General Consultant Services,RENEWAL THREE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,705000.0,247254.77,"HNTB Pennsylvania, Inc."
1320208,132020801,Commerce,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,1000000.0,0.0,"HNTB Pennsylvania, Inc."
1320624,1320624,Commerce,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,ON-CALL M&E ENGINEERING,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,1000000.0,0.0,"HNTB Pennsylvania, Inc."
1320085,132008502,Commerce,"Hill International, Inc.",General Consultant Services,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,2990000.0,1129610.35,"Hill International, Inc."
1320185,132018501,Commerce,Hispanic Assoc of Contractors & Enterprises Inc,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,120000.0,0.0,Hispanic Assoc of Contractors & Enterprises Inc
MPXX14000270,MPXX14000270,Commerce,"Human Resources Alternatives, LLC",Miscellaneous Order,HR Consulting,2013-11-06T12:31:28Z,2014-06-30T00:00:00Z,181.0,30000.0,0.0,"Human Resources Alternatives, LLC"
MPXX14000088,MPXX14000088,Commerce,IMX Medical Management Services,Miscellaneous Order,Pre-hiring Physical Test,2013-07-08T16:40:16Z,2014-06-30T00:00:00Z,181.0,15000.0,4850.0,IMX Medical Management Services
1120420,112042002,Commerce,InterVISTAS Consulting LLC,General Consultant Services,RENEWAL TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,200000.0,0.0,InterVISTAS Consulting LLC
1220172,122017202,Commerce,International Visitors Council,General Consultant Services,Sisiter Cities,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,162000.0,121500.0,International Visitors Council
1320496,132049601,Commerce,"Johnson, Mirmiran & Thompson",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,273.0,500000.0,0.0,"Johnson, Mirmiran & Thompson"
MPXX14000047,MPXX14000047,Commerce,Karen Friedman Enterprises,Miscellaneous Order,Media Training,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,25000.0,0.0,Karen Friedman Enterprises
1020460,102046002,Commerce,"Kelly/Maiello, Inc.",Architect and Engineer Svcs,RENEWAL AMENDMENT TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,784270.0,75570.0,"Kelly/Maiello, Inc."
1320457,132045701,Commerce,Ken Weeden & Associates,General Consultant Services,RENEWAL ONE,2013-09-01T00:00:00Z,2014-08-31T00:00:00Z,243.0,75000.0,12123.84,Ken Weeden & Associates
1020467,102046704,Commerce,LeighFisher Inc.,General Consultant Services,RENEWAL THREE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,350000.0,125071.65,"Jacobs Consultancy, Inc."
MPXX14000254,MPXX14000254,Commerce,Marilyn Marles dba Marles Group,Miscellaneous Order,HR Consultant,2013-10-10T11:35:44Z,2014-06-30T00:00:00Z,181.0,30000.0,0.0,Marilyn Marles dba Marles Group
MPXX14000242,MPXX14000242,Commerce,"Mayer, Hoffman, McCann PC",Miscellaneous Order,Review & Survey Services,2013-10-02T16:34:27Z,2014-06-30T00:00:00Z,181.0,25000.0,0.0,"Mayer, Hoffman, McCann PC"
MPXX14000039,MPXX14000039,Commerce,"Med-Tex Services, Inc.",Miscellaneous Order,Occupational Safety,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,25000.0,300.0,"Med-Tex Services, Inc."
1320179,132017901,Commerce,"Michael Baker Jr., Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,2745000.0,694371.54,"Michael Baker Jr., Inc."
1220297,122029702,Commerce,"Milligan & Company, LLC",Accounting and Auditing Svcs,RENEWAL TWO,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,70000.0,0.0,"Milligan & Company, LLC"
MPXX14000241,MPXX14000241,Commerce,Mount Airy U.S.A.,Miscellaneous Order,NIght Market,2013-07-11T00:00:00Z,2014-06-30T00:00:00Z,181.0,15000.0,0.0,Mount Airy U.S.A.
1220375,122037501,Commerce,NORESCO LLC,General Consultant Services,RENEWAL ONE,2013-03-01T00:00:00Z,2014-02-28T00:00:00Z,59.0,0.0,895000.0,NORESCO LLC
MPXX14000168,MPXX14000168,Commerce,National Fire Protection Agency,Miscellaneous Order,NFPA 70E Safe Work Cond.,2013-08-09T13:49:13Z,2014-06-30T00:00:00Z,181.0,25000.0,23995.0,National Fire Protection Agency
MPXX14000045,MPXX14000045,Commerce,News Watch,Miscellaneous Order,Radio & TV Broadcast Ser,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,15000.0,0.0,News Watch
MPXX14000024,MPXX14000024,Commerce,Norma Michaels Entertainment,Miscellaneous Order,Entertainment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,30000.0,11715.0,Norma Michaels Entertainment
1220582,122058201,Commerce,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time Extension/Scope Mod,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,31.0,0.0,0.0,Ogontz Avenue Revitalization Corporation
1320629,1320629,Commerce,Ogontz Avenue Revitalization Corporation,General Consultant Services,W Oak lane Facade Program,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,31.0,250000.0,47037.1,Ogontz Avenue Revitalization Corporation
1320686,1320686,Commerce,Ogontz Avenue Revitalization Corporation,General Consultant Services,W. Oak Lane Streetscape,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,31.0,1250000.0,80972.57,Ogontz Avenue Revitalization Corporation
1220139,122013902,Commerce,Parkway Garage Inc.,General Consultant Services,RENEWAL ONE,2012-11-01T00:00:00Z,2013-10-31T00:00:00Z,0.0,4892203.0,0.0,Parkway Corporation
1220139,122013903,Commerce,Parkway Garage Inc.,General Consultant Services,RENEWAL TWO,2013-11-01T00:00:00Z,2014-10-31T00:00:00Z,304.0,5695195.0,1578083.49,Parkway Corporation
1320497,132049702,Commerce,"Parsons Brinckerhoff, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,273.0,500000.0,0.0,"Parsons Brinckerhoff, Inc."
1320166,132016601,Commerce,People's Emergency Center Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,105000.0,0.0,People's Emergency Center Community Development Corporation
MPXX14000240,MPXX14000240,Commerce,Phila Chinatown Dev Corp,Miscellaneous Order,Night Market,2013-10-02T14:33:04Z,2014-06-30T00:00:00Z,181.0,15000.0,0.0,Phila Chinatown Dev Corp
MPXX14000016,MPXX14000016,Commerce,"Philadelphia Animal Hospital, P.C.",Miscellaneous Order,Veterinarian Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,25000.0,15255.0,"Philadelphia Animal Hospital, P.C."
1220499,122049901,Commerce,Philadelphia Industrial Development Corporation,General Consultant Services,Geotechnical Services,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,31.0,250000.0,250000.0,Philadelphia Industrial Development Corporation
1220514,122051401,Commerce,Philadelphia Industrial Development Corporation,Housing & Economic Development,HUD 108 Loan Pool 8,2012-12-01T00:00:00Z,2013-11-30T00:00:00Z,0.0,0.0,0.0,Philadelphia Industrial Development Corporation
1320607,1320607,Commerce,Philadelphia Industrial Development Corporation,General Consultant Services,Food Distribution Center,2012-11-01T00:00:00Z,2013-10-31T00:00:00Z,0.0,2500000.0,0.0,Philadelphia Industrial Development Corporation
1320607,132060701,Commerce,Philadelphia Industrial Development Corporation,General Consultant Services,Food Distribution Ctr Dem,2013-11-01T00:00:00Z,2014-10-31T00:00:00Z,304.0,0.0,0.0,Philadelphia Industrial Development Corporation
MPXX14000004,MPXX14000004,Commerce,"Professional Health Services, Inc",Miscellaneous Order,Occupational Health Svc.,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,30000.0,7000.0,"Professional Health Services, Inc"
1020169,102016904,Commerce,"Professional Systems Engineering, LLC",Architect and Engineer Svcs,AMENDMENT FOUR-TIME EXT.,2013-07-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,0.0,0.0,"Professional Systems Engineering, LLC"
MPXX14000112,MPXX14000112,Commerce,"Real Asset Management, Inc.",Miscellaneous Order,HOSTED FIXED ASSET MGMT,2013-07-12T08:32:38Z,2014-06-30T00:00:00Z,181.0,30000.0,0.0,"Real Asset Management, Inc."
MPXX14000269,MPXX14000269,Commerce,"SCB Services, LLC",Miscellaneous Order,HR Consulting,2013-11-06T11:27:07Z,2014-06-30T00:00:00Z,181.0,30000.0,0.0,"SCB Services, LLC"
MPXX14000274,MPXX14000274,Commerce,"SRC Aviation, LLC",Miscellaneous Order,Safety Risk Mgt Facilitat,2013-11-13T15:38:46Z,2014-06-30T00:00:00Z,181.0,30000.0,0.0,"SRC Aviation, LLC"
1120426,112042602,Commerce,Schuylkill River Development Corporation,General Consultant Services,Schuykill Banks Dev,2013-01-19T00:00:00Z,2014-01-18T00:00:00Z,18.0,0.0,0.0,Schuylkill River Development Corporation
