original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX15000160,MPXX15000160,CITY TREASURER Z,"McElwes and Quinn, LLC",Miscellaneous Order,Printer,8/1/2014,6/30/2015,273,1, -   ,"McElwes and Quinn, LLC",102,EXEMPT,For Profit
1320654,132065401,CITY TREASURER Z,Nixon Peabody LLP,Legal Services,Bond Counsel - PGW,1/1/2014,12/31/2014,92, -   , -   ,Nixon Peabody LLP,1,ADVERTISED,For Profit
1320366,132036602,CITY TREASURER Z,"PFM Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,7/1/2014,6/30/2015,273,"77,000.00", -   ,"PFM Asset Management, LLC",1,ADVERTISED,For Profit
1220175,122017502,CITY TREASURER Z,"Phoenix Capital Partners, LLP",General Consultant Services,Fiinancial Advisor,7/12/2013,7/11/2014,0, -   , -   ,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit
1220175,122017503,CITY TREASURER Z,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor - Water,7/12/2014,7/11/2015,284, -   , -   ,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit
1420485,1420485,CITY TREASURER Z,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor-PGW,1/1/2014,12/31/2014,92, -   , -   ,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit
1220174,122017403,CITY TREASURER Z,Public Financial Management Inc,General Consultant Services,Financial Advisor - Water,7/12/2013,7/11/2014,0,"150,000.00","125,000.00",Public Financial Management Inc,1,ADVERTISED,For Profit
1220174,122017404,CITY TREASURER Z,Public Financial Management Inc,General Consultant Services,Municipal FA - Water,7/12/2014,7/11/2015,284,"150,000.00", -   ,Public Financial Management Inc,1,ADVERTISED,For Profit
1320337,132033701,CITY TREASURER Z,Public Financial Management Inc,General Consultant Services,Financial Advisor,8/1/2013,7/31/2014,0, -   , -   ,Public Financial Management Inc,1,ADVERTISED,For Profit
1320337,132033702,CITY TREASURER Z,Public Financial Management Inc,General Consultant Services,Financial Advisor,8/1/2014,7/31/2015,304, -   , -   ,Public Financial Management Inc,1,ADVERTISED,For Profit
1420484,1420484,CITY TREASURER Z,Public Financial Management Inc,General Consultant Services,Financial Advisor-PGW,1/1/2014,12/31/2014,92, -   , -   ,Public Financial Management Inc,1,ADVERTISED,For Profit
1320595,132059501,CITY TREASURER Z,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Management Software,6/30/2014,6/29/2015,272,"35,500.00","26,625.00","SS&C Technologies, Inc.",1,ADVERTISED,For Profit
1020584,102058406,CITY TREASURER Z,Saul Ewing LLP,Legal Services,Bond Counsel - Airport,5/1/2014,7/31/2014,0, -   , -   ,Saul Ewing LLP,1,ADVERTISED,For Profit
1320627,132062701,CITY TREASURER Z,"Swap Financial Group, LLC",General Consultant Services,Swap Advisor,1/1/2014,12/31/2014,92,"60,000.00","30,000.00","Swap Financial Group, LLC",1,ADVERTISED,For Profit
1420272,142027201,COMMERCE,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",General Consultant Services,RENEWAL ONE,7/1/2014,6/30/2015,273, -   , -   ,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",1,ADVERTISED,For Profit
1320161,132016102,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO - TIME ONLY,7/1/2014,6/30/2015,273, -   , -   ,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
1320162,132016202,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO,7/1/2014,6/30/2015,273,"500,000.00","125,276.36","AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
1420316,142031601,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,AMEND. ONE-INCREASE FUNDS,10/1/2013,9/30/2014,0,"200,000.00","92,347.11","AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
1320582,132058201,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL ONE,12/1/2013,11/30/2014,61,"100,000.00","38,802.81","AVK Consulting, Inc.",1,ADVERTISED,For Profit
1520009,1520009,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,GENERAL AIRPORT CONSULTIN,7/1/2014,6/30/2015,273,"350,000.00","70,842.36","AVK Consulting, Inc.",1,ADVERTISED,For Profit
1320207,132020702,COMMERCE,American Association of Airport Executives,General Consultant Services,RENEWAL TWO,7/1/2014,6/30/2015,273, -   , -   ,American Association of Airport Executives,1,ADVERTISED,For Profit
1320498,132049801,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL ONE,10/1/2013,9/30/2014,0,"1,550,000.00","1,042,879.03","Atkins North America, Inc.",1,ADVERTISED,For Profit
1120431,112043103,COMMERCE,"Audio Visual Communications, Inc.",General Consultant Services,RENEWAL THREE,1/1/2014,12/31/2014,92,"100,000.00","28,906.50","Audio Visual Communications, Inc.",1,ADVERTISED,For Profit
1520042,1520042,COMMERCE,"Avenue of the Arts, Inc.",General Consultant Services,Ave of the Arts,7/1/2014,6/30/2015,273,"80,000.00","40,000.00","Avenue of the Arts, Inc.",8,EXEMPT,Non Profit
1220407,122040702,COMMERCE,Buell Kratzer Powell,Architect and Engineer Svcs,RENEWAL TWO,1/1/2014,12/31/2014,92,"150,000.00", -   ,Buell Kratzer Powell,1,ADVERTISED,For Profit
1320625,132062501,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL ONE,1/1/2014,12/31/2014,92,"1,000,000.00","515,230.91","Burns Engineering, Inc.",1,ADVERTISED,For Profit
1420314,1420314,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,SECURITY/SPECIAL SYS ENG,10/1/2013,9/30/2014,0,"500,000.00","136,784.75","Burns Engineering, Inc.",1,ADVERTISED,For Profit
1320426,132042601,COMMERCE,"CLEAN RENTAL SVC., INC.",General Consultant Services,RENEWAL ONE,10/1/2013,9/30/2014,0,"550,000.00","442,958.28","CLEAN RENTAL SVC., INC.",1,ADVERTISED,For Profit
1320209,132020902,COMMERCE,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,RENEWAL TWO,7/1/2014,6/30/2015,273,"1,000,000.00", -   ,"Carter Hayes Associates,  Inc",1,ADVERTISED,For Profit
1220412,122041202,COMMERCE,Converse Winkler Architecture,Architect and Engineer Svcs,RENEWAL TWO,1/1/2014,12/31/2014,92,"400,000.00","214,698.04",Converse Winkler Architecture,1,ADVERTISED,For Profit
320600,32060010,COMMERCE,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 10-TIME ONLY,12/1/2013,11/30/2014,61, -   , -   ,Daroff Design Inc. + DDI Architects PC,,Prior to 2-1-2006,For Profit
1320191,1320191,COMMERCE,David Brush Consulting,General Consultant Services,AIRPORT OWNER REP SVC,7/1/2012,6/30/2016,639,"975,000.00","320,846.76",David Brush Consulting,1,ADVERTISED,For Profit
1320672,132067201,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Delaware Waterfront imp,7/2/2012,7/1/2014,0,"6,130,000.00","6,130,000.00",Delaware River Waterfront Corporation,8,EXEMPT,Non Profit
1120513,112051304,COMMERCE,"EConsult Solutions, Inc",General Consultant Services,Annual Disparity Study,8/1/2013,7/31/2014,0,"95,000.00","59,750.00",ECONSULT CORPORATION,1,ADVERTISED,For Profit
1320180,132018002,COMMERCE,Elliott Lewis Corp.,General Consultant Services,RENEWAL TWO,7/1/2014,6/30/2015,273,"13,159,733.24", -   ,Elliott Lewis Corp.,1,ADVERTISED,For Profit
1420317,1420317,COMMERCE,Elliott Lewis Corp.,Computer and Information Svcs,AIRPORT CISM SERVICES,10/1/2013,9/30/2014,0,"4,400,000.00","3,325,838.20",Elliott Lewis Corp.,1,ADVERTISED,For Profit
MPXX15000068,MPXX15000068,COMMERCE,Eventive Productions,Miscellaneous Order,Entertainment Services,7/1/2014,6/30/2015,273,"30,000.00","16,650.00",Eventive Productions,102,EXEMPT,For Profit
1320316,132031602,COMMERCE,"Faith Group, LLC",Architect and Engineer Svcs,RENEWAL TWO,7/1/2014,6/30/2015,273,"1,500,000.00","92,060.49","Faith Group, LLC",1,ADVERTISED,For Profit
1120564,112056403,COMMERCE,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,RENEWAL THREE,6/1/2014,5/31/2015,243,"10,762,400.50","1,802,125.08","First Transit, Inc  (subsidiary of FirstGroup)",1,ADVERTISED,For Profit
1120392,112039204,COMMERCE,"GRA,  Inc.",General Consultant Services,RENEWAL THREE,1/1/2014,12/31/2014,92,"200,000.00","24,606.07","GRA,  Inc.",1,ADVERTISED,For Profit
1420415,142041501,COMMERCE,"Gallini Hemmann, Inc.",General Consultant Services,AMENDMENT ONE,1/1/2014,12/31/2014,92,"80,000.00","52,502.00","Gallini Hemmann, Inc.",1,ADVERTISED,For Profit
1420365,1420365,COMMERCE,Gilbane Building Company,Architect and Engineer Svcs,TERMINAL D-E EXPANSION CM,1/1/2014,12/31/2015,457,"2,500,000.00","834,017.25",Gilbane Building Company,1,ADVERTISED,For Profit
1220573,122057302,COMMERCE,Global Program Partners,General Consultant Services,AMENDMENT TWO,5/25/2012,5/24/2016,602,"35,000,000.00","22,487,097.43",Global Program Partners,1,ADVERTISED,For Profit
MPXX15000070,MPXX15000070,COMMERCE,Grapevine Exhibits,Miscellaneous Order,Event/Trade Show Planning,7/1/2014,6/30/2015,273,"20,000.00", -   ,Grapevine Exhibits,102,EXEMPT,For Profit
1020634,102063404,COMMERCE,Gresham Smith & Partners (GS&P),Architect and Engineer Svcs,AMENDMENT FOUR-TIME ONLY,6/1/2014,11/30/2014,61, -   , -   ,Gresham Smith & Partners (GS&P),1,ADVERTISED,For Profit
1320208,132020802,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL TWO,7/1/2014,6/30/2015,273,"1,000,000.00","399,509.50","HNTB Pennsylvania, Inc.",1,ADVERTISED,For Profit
1320624,132062401,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL ONE,1/1/2014,12/31/2014,92,"1,000,000.00","441,041.79","HNTB Pennsylvania, Inc.",1,ADVERTISED,For Profit
1320085,132008503,COMMERCE,"Hill International, Inc.",General Consultant Services,RENEWAL TWO,7/1/2014,6/30/2015,273,"3,018,000.00","448,084.08","Hill International, Inc.",1,ADVERTISED,For Profit
MPXX15000085,MPXX15000085,COMMERCE,IMX Medical Management Services,Miscellaneous Order,Personnel Examining Servi,7/3/2014,6/30/2015,273,"25,000.00",100,IMX Medical Management Services,102,EXEMPT,For Profit
1120420,112042004,COMMERCE,InterVISTAS Consulting LLC,General Consultant Services,AMENDMENT FOUR,1/1/2014,12/31/2014,92,"300,000.00","11,817.50",InterVISTAS Consulting LLC,1,ADVERTISED,For Profit
1220172,122017203,COMMERCE,International Visitors Council of Philadelphia,General Consultant Services,Sister City Program,7/1/2014,6/30/2015,273,"162,000.00","81,000.00",International Visitors Council of Philadelphia,1,ADVERTISED,Non Profit
MPXX15000155,MPXX15000155,COMMERCE,JT GOLDSTEIN,Miscellaneous Order,Audit Services,7/16/2014,6/30/2015,273,"9,399.48", -   ,JT GOLDSTEIN,1,ADVERTISED,For Profit
1320496,132049601,COMMERCE,"Johnson, Mirmiran & Thompson",Architect and Engineer Svcs,RENEWAL ONE,10/1/2013,9/30/2014,0,"500,000.00","22,906.19","Johnson, Mirmiran & Thompson",1,ADVERTISED,For Profit
MPXX15000071,MPXX15000071,COMMERCE,Karen Friedman Enterprises,Miscellaneous Order,Media Trn & Public Rela,7/1/2014,6/30/2015,273,"25,000.00","10,890.00",Karen Friedman Enterprises,102,EXEMPT,For Profit
1020460,102046003,COMMERCE,"Kelly/Maiello, Inc.",Architect and Engineer Svcs,RENEWAL TWO,1/1/2014,12/31/2014,92, -   ,"694,758.54","Kelly/Maiello, Inc.",1,ADVERTISED,For Profit
1320457,132045701,COMMERCE,Ken Weeden & Associates,General Consultant Services,RENEWAL ONE,9/1/2013,8/31/2014,0,"75,000.00","29,303.11",Ken Weeden & Associates,1,ADVERTISED,For Profit
1320457,132045702,COMMERCE,Ken Weeden & Associates,General Consultant Services,RENEWAL TWO,9/1/2014,8/31/2015,335,"75,000.00", -   ,Ken Weeden & Associates,1,ADVERTISED,For Profit
1520008,1520008,COMMERCE,LeighFisher Inc.,General Consultant Services,GENERAL AIRPORT CONSULTIN,7/1/2014,6/30/2015,273,"250,000.00","22,474.71",LeighFisher Inc.,1,ADVERTISED,For Profit
MPXX15000086,MPXX15000086,COMMERCE,"Med-Tex Services, Inc.",Miscellaneous Order,Occupational Safety,7/3/2014,6/30/2015,273,"25,000.00", -   ,"Med-Tex Services, Inc.",102,EXEMPT,For Profit
1320179,132017902,COMMERCE,"Michael Baker Jr., Inc.",Architect and Engineer Svcs,RENEWAL TWO,7/1/2014,6/30/2015,273,"2,250,000.00", -   ,"Michael Baker Jr., Inc.",1,ADVERTISED,For Profit
1220297,122029703,COMMERCE,"Milligan & Company, LLC",Accounting and Auditing Svcs,RENEWAL THREE,7/1/2014,6/30/2015,273,"25,000.00", -   ,"Milligan & Company, LLC",1,ADVERTISED,For Profit
1420422,1420422,COMMERCE,"Munroe Design Group, Inc. T/A Munroe Creative Partners",General Consultant Services,MARKETING/GRAPHIC DESIGN,1/1/2014,12/31/2014,92,"40,000.00","12,650.00","Munroe Design Group, Inc. T/A Munroe Creative Partners",1,ADVERTISED,Non Profit
MPXX15000073,MPXX15000073,COMMERCE,News Watch,Miscellaneous Order,Radio & TV Broadcast Serv,7/1/2014,6/30/2015,273,"15,000.00", -   ,News Watch,102,EXEMPT,For Profit
MPXX15000069,MPXX15000069,COMMERCE,Norma Michaels Entertainment,Miscellaneous Order,Entertainment Services,7/1/2014,6/30/2015,273,"30,000.00","9,169.00",Norma Michaels Entertainment,102,EXEMPT,For Profit
1420414,1420414,COMMERCE,Octo Design Group Inc.,General Consultant Services,MARKETING/GRAPHIC DESIGN,1/1/2014,12/31/2014,92,"40,000.00","8,990.00",Octo Design Group Inc.,1,ADVERTISED,For Profit
1220582,122058202,COMMERCE,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time Extension,2/1/2014,1/31/2015,123, -   , -   ,Ogontz Avenue Revitalization Corporation,1,ADVERTISED,Non Profit
1320629,132062901,COMMERCE,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time Amendment,2/1/2014,1/31/2015,123, -   , -   ,Ogontz Avenue Revitalization Corporation,1,ADVERTISED,Non Profit
1320686,132068601,COMMERCE,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time amendment,2/1/2014,1/31/2015,123, -   , -   ,Ogontz Avenue Revitalization Corporation,1,ADVERTISED,Non Profit
1420318,1420318,COMMERCE,Parkway Corporation,General Consultant Services,PUBLIC INFO/AMENITIES SVC,10/1/2013,9/30/2014,0,"3,444,737.00","2,078,599.22",Parkway Corporation,1,ADVERTISED,For Profit
1220139,122013903,COMMERCE,Parkway Garage Inc.,General Consultant Services,RENEWAL TWO,11/1/2013,10/31/2014,31,"5,695,195.00","4,851,400.78",Parkway Corporation,1,ADVERTISED,For Profit
1320497,132049702,COMMERCE,"Parsons Brinckerhoff, Inc.",Architect and Engineer Svcs,RENEWAL ONE,10/1/2013,9/30/2014,0,"500,000.00","299,488.88","Parsons Brinckerhoff, Inc.",1,ADVERTISED,For Profit
MPXX15000031,MPXX15000031,COMMERCE,"Philadelphia Animal Hospital, P.C.",Miscellaneous Order,Veterinarian Services,7/1/2014,6/30/2015,273,"30,000.00","8,800.00","Philadelphia Animal Hospital, P.C.",102,EXEMPT,For Profit
1220514,122051402,COMMERCE,Philadelphia Industrial Development Corporation,Housing & Economic Development,HUD 108 Loan Pool 8,12/1/2013,11/30/2014,61, -   , -   ,Philadelphia Industrial Development Corporation,8,EXEMPT,Non Profit
1320607,132060701,COMMERCE,Philadelphia Industrial Development Corporation,General Consultant Services,Food Distribution Ctr Dem,11/1/2013,10/31/2014,31, -   , -   ,Philadelphia Industrial Development Corporation,8,EXEMPT,Non Profit
1420447,1420447,COMMERCE,Philadelphia Industrial Development Corporation,General Consultant Services,Greenworks,11/2/2013,11/1/2014,32,"5,000,000.00","373,928.89",Philadelphia Industrial Development Corporation,8,EXEMPT,Non Profit
1420449,1420449,COMMERCE,Philadelphia Industrial Development Corporation,General Consultant Services,Lower Schuylkill,12/1/2013,11/30/2014,61,"500,000.00", -   ,Philadelphia Industrial Development Corporation,8,EXEMPT,Non Profit
1420420,1420420,COMMERCE,"Portfolio Associates, Inc.",General Consultant Services,MARKETING/GRAPHIC DESIGN,1/1/2014,12/31/2014,92,"40,000.00","14,737.37","Portfolio Associates, Inc.",1,ADVERTISED,For Profit
1120426,112042603,COMMERCE,Schuylkill River Development Corporation,General Consultant Services,Schuylkill Banks,1/19/2014,1/18/2015,110, -   , -   ,Schuylkill River Development Corporation,1,ADVERTISED,Non Profit
1420377,1420377,COMMERCE,Sere LTD.,Performing Artists-Public Art,ARTWORK COMPETITION,11/1/2013,10/31/2014,31,1, -   ,Sere LTD.,1,ADVERTISED,For Profit
820556,82055602,COMMERCE,Sheward Partnership,Architect and Engineer Svcs,AMENDMENT TWO,6/30/2008,12/31/2014,92,"17,512,527.00","17,511,893.81",Sheward Partnership,1,ADVERTISED,For Profit
1220492,122049202,COMMERCE,TranSystems Corporation Consultants of PA,Architect and Engineer Svcs,RENEWAL TWO,1/1/2014,12/31/2014,92,"150,000.00","37,514.22",TranSystems Corporation Consultants of PA,1,ADVERTISED,For Profit
1120423,112042303,COMMERCE,URS Corporation,Architect and Engineer Svcs,RENEWAL THREE,1/1/2014,12/31/2014,92,"300,000.00","73,492.64",URS Corporation,1,ADVERTISED,For Profit
MPXX15000087,MPXX15000087,COMMERCE,"University of Pennsylvania, Trustees of the",Miscellaneous Order,Employee Assistance Prog,7/3/2014,6/30/2015,273,"25,000.00", -   ,"University of Pennsylvania, Trustees of the",102,EXEMPT,Non Profit
1120533,112053303,COMMERCE,Urban Affairs Coalition,General Consultant Services,Home Buy Now,3/22/2014,12/31/2014,92, -   , -   ,Urban Affairs Coalition,1,ADVERTISED,Non Profit
1420468,1420468,COMMERCE,"Urban Engineers, Inc.",Architect and Engineer Svcs,CEP STAGE I DESIGN SVC,6/30/2014,12/31/2018,1553,"4,998,346.25", -   ,"Urban Engineers, Inc.",1,ADVERTISED,For Profit
320500,32050012,COMMERCE,Vanasse Hangen Brustlin (VHB),General Consultant Services,AMENDMENT 12,7/1/2014,6/30/2015,273, -   , -   ,Vanasse Hangen Brustlin (VHB),,Prior to 2-1-2006,For Profit
1420361,1420361,COMMERCE,Welcoming Center for New Pennsylvanians,General Consultant Services,52nd Street Sidewalk Vend,10/1/2013,9/30/2014,0,"75,000.00","39,609.36",Welcoming Center for New Pennsylvanians,1,ADVERTISED,Non Profit
1520020,1520020,COMMERCE,Welcoming Center for New Pennsylvanians,Housing & Economic Development,BTAP,7/1/2014,6/30/2015,273,"125,000.00", -   ,Welcoming Center for New Pennsylvanians,1,ADVERTISED,Non Profit
1420315,1420315,COMMERCE,"Weston Solutions, Inc",Architect and Engineer Svcs,ENVIRONMENTAL ENG CONSULT,10/1/2013,9/30/2014,0,"400,000.00","235,810.11","Weston Solutions, Inc",1,ADVERTISED,For Profit
1520101,1520101,COMMERCE,Women's Business Development Center,General Consultant Services,BTAP,7/1/2014,12/31/2014,92,"37,500.00", -   ,Women's Business Development Center,1,ADVERTISED,Non Profit
1320696,132069601,DIVISION OF TECHNOLOGY,Acclaim Systems Inc.,Computer and Information Svcs,Lobbying Software,4/1/2014,3/31/2015,182, -   ,"7,756.66",Acclaim Systems Inc.,1,ADVERTISED,For Profit
920388,92038806,DIVISION OF TECHNOLOGY,Acumen Group Incorporated,Computer and Information Svcs,Law Document Mgmt. System,5/15/2014,11/14/2014,45, -   ,"55,650.00",Acumen Group Incorporated,1,ADVERTISED,For Profit
1420301,1420301,DIVISION OF TECHNOLOGY,Advanced Technology Solutions Inc. d/b/a geographIT,Computer and Information Svcs,GIS Related Support,9/23/2013,9/22/2014,0,"80,000.00", -   ,Advanced Technology Solutions Inc. d/b/a geographIT,1,ADVERTISED,For Profit
1120618,112061804,DIVISION OF TECHNOLOGY,"AskReply, Inc. dba B2Gnow",Computer and Information Svcs,Electronic Registry,6/30/2014,6/29/2015,272,"55,000.00", -   ,"AskReply, Inc. dba B2Gnow",1,ADVERTISED,For Profit
1420298,1420298,DIVISION OF TECHNOLOGY,AssetWorks Inc,Computer and Information Svcs,OFM ASSET MANAGEMENT,4/1/2014,3/31/2015,182,"718,385.00","340,079.05",AssetWorks Inc,1,ADVERTISED,For Profit
1120418,112041804,DIVISION OF TECHNOLOGY,"Azavea, Inc",Computer and Information Svcs,ULRS/GeoSpatial,7/1/2014,12/31/2014,92,"30,000.00", -   ,"Azavea, Inc",1,ADVERTISED,For Profit
1320143,132014302,DIVISION OF TECHNOLOGY,"Azavea, Inc",Computer and Information Svcs,Stormwater Billing,7/1/2014,6/30/2015,273,"799,939.00", -   ,"Azavea, Inc",1,ADVERTISED,For Profit
1120616,112061603,DIVISION OF TECHNOLOGY,Blue Heron Consulting,Computer and Information Svcs,Basis2 Consulting Svcs,6/1/2014,5/31/2015,243,"508,000.00", -   ,Blue Heron Consulting,1,ADVERTISED,For Profit
