original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor
1320595,1320595,City Treasurer,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Management Software,2013-06-30T00:00:00Z,2014-06-29T00:00:00Z,90,180500.0,171625.0,"SS&C Technologies, Inc."
1020584,102058404,City Treasurer,Saul Ewing LLP,Legal Services,Legal Counsel,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,0,20000.0,0.0,Saul Ewing LLP
1020584,102058405,City Treasurer,Saul Ewing LLP,Legal Services,Legal Counsel,2014-02-01T00:00:00Z,2014-04-30T00:00:00Z,30,0.0,0.0,Saul Ewing LLP
1320627,132062701,City Treasurer,"Swap Financial Group, LLC",General Consultant Services,Swap Advisor,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,60000.0,15000.0,"Swap Financial Group, LLC"
1420003,1420003,City Treasurer,"Wells Fargo Bank, N.A.",General Consultant Services,Payroll Banking Services,2013-07-01T00:00:00Z,2014-03-30T00:00:00Z,0,0.0,0.0,"Wells Fargo Bank, N.A."
1020472,102047204,City Treasurer,Western Asset Management,General Consultant Services,Investment Manager,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,Western Asset Management
1420272,1420272,Commerce,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",General Consultant Services,REAL ESTATE APPRAISAL,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,100000.0,8611.54,"ABS Aviation Consultancy, Inc dba Airport Business Solutions"
1320226,132022601,Commerce,ACHIEVEability,Housing & Economic Development,Amendment FY 14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,1247.0,ACHIEVEability
1120268,112026803,Commerce,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL THREE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,250000.0,0.0,"AECOM Technical Services, Inc."
1320161,132016101,Commerce,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,450000.0,14376.89,"AECOM Technical Services, Inc."
1320162,132016201,Commerce,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,2600000.0,1073825.59,"AECOM Technical Services, Inc."
1420316,1420316,Commerce,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,ENVIRONMENTAL ENG CONSULT,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,100000.0,0.0,"AECOM Technical Services, Inc."
MPXX14000022,MPXX14000022,Commerce,ARW Events,Miscellaneous Order,Entertainment Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,20720.0,ARW Events
1020449,102044904,Commerce,"AVK Consulting, Inc.",General Consultant Services,AMENDMENT FOUR-EXTENSION,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,300000.0,0.0,Roger H. Bates
1320582,132058201,Commerce,"AVK Consulting, Inc.",General Consultant Services,RENEWAL ONE,2013-12-01T00:00:00Z,2014-11-30T00:00:00Z,244,100000.0,27687.81,"AVK Consulting, Inc."
MPXX14000251,MPXX14000251,Commerce,All State Career,Miscellaneous Order,Commercial Driver Cert,2013-10-10T00:00:00Z,2014-06-30T00:00:00Z,91,25000.0,0.0,All State Career
1320171,132017101,Commerce,Allegheny West Foundation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,92000.0,0.0,Allegheny West Foundation
1320207,132020701,Commerce,American Association of Airport Executives,General Consultant Services,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,150000.0,American Association of Airport Executives
1320498,132049801,Commerce,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,1550000.0,774419.35,"Atkins North America, Inc."
1120431,112043103,Commerce,"Audio Visual Communications, Inc.",General Consultant Services,RENEWAL THREE,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,100000.0,0.0,"Audio Visual Communications, Inc."
1420234,1420234,Commerce,"Avenue of the Arts, Inc.",General Consultant Services,Avenue of the Arts,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,80000.0,80000.0,"Avenue of the Arts, Inc."
1220407,122040702,Commerce,Buell Kratzer Powell,Architect and Engineer Svcs,RENEWAL TWO,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,150000.0,0.0,Buell Kratzer Powell
1320625,132062501,Commerce,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,1000000.0,0.0,"Burns Engineering, Inc."
1420314,1420314,Commerce,"Burns Engineering, Inc.",Architect and Engineer Svcs,SECURITY/SPECIAL SYS ENG,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,500000.0,0.0,"Burns Engineering, Inc."
1320426,132042601,Commerce,"CLEAN RENTAL SVC., INC.",General Consultant Services,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,550000.0,298303.84,"CLEAN RENTAL SVC., INC."
1320209,132020901,Commerce,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,1000000.0,254264.1,"Carter Hayes Associates,  Inc"
1220183,122018302,Commerce,Center City District,General Consultant Services,Dilworth Plaza Imps,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,Center City District
1220466,122046602,Commerce,Center City District,General Consultant Services,1st dist ped lighting,2013-06-01T00:00:00Z,2014-05-31T00:00:00Z,61,0.0,0.0,Center City District
1220487,122048702,Commerce,Center City District,General Consultant Services,Reading Viaduct,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,Center City District
1220412,122041202,Commerce,Converse Winkler Architecture,Architect and Engineer Svcs,RENEWAL TWO,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,400000.0,42974.16,Converse Winkler Architecture
MPXX14000357,MPXX14000357,Commerce,"Creative Planning International, Inc d/b/a The Lett Group",Miscellaneous Order,Internat. Biz Etiquette,2014-03-04T00:00:00Z,2014-06-30T00:00:00Z,91,32000.0,0.0,"Creative Planning International, Inc d/b/a The Lett Group"
320600,32060010,Commerce,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 10-TIME ONLY,2013-12-01T00:00:00Z,2014-11-30T00:00:00Z,244,0.0,0.0,Daroff Design Inc. + DDI Architects PC
1320191,1320191,Commerce,David Brush Consulting,General Consultant Services,AIRPORT OWNER REP SVC,2012-07-01T00:00:00Z,2016-06-30T00:00:00Z,822,975000.0,302902.76,David Brush Consulting
1320672,1320672,Commerce,Delaware River Waterfront Corporation,General Consultant Services,Delaware Waterront Imp,2012-07-02T00:00:00Z,2014-07-01T00:00:00Z,92,1680000.0,1680000.0,Delaware River Waterfront Corporation
1220467,122046701,Commerce,Ellen Harvey Studio LLC,Performing Artists-Public Art,RENEWAL ONE,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,0,0.0,0.0,Ellen Harvey Studio LLC
1320180,132018001,Commerce,Elliott Lewis Corp.,General Consultant Services,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,1.065931776E7,4239554.45,Elliott Lewis Corp.
1420317,1420317,Commerce,Elliott Lewis Corp.,Computer and Information Svcs,AIRPORT CISM SERVICES,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,4400000.0,1294903.54,Elliott Lewis Corp.
MPXX14000176,MPXX14000176,Commerce,"Ellison Group, The",Miscellaneous Order,STARS & LEADS Prof. Devel,2013-08-16T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,15415.0,"Ellison Group, The"
MPXX14000023,MPXX14000023,Commerce,Eventive Productions,Miscellaneous Order,Entertainment Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,27470.0,Eventive Productions
1320160,132016001,Commerce,FINANTA,Housing & Economic Development,Amendment FY14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,125000.0,0.0,FINANTA
1320316,132031601,Commerce,"Faith Group, LLC",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,500000.0,282523.3,"Faith Group, LLC"
1120564,112056402,Commerce,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,RENEWAL TWO,2013-06-01T00:00:00Z,2014-05-31T00:00:00Z,61,1.04368E7,7715053.27,"First Transit, Inc  (subsidiary of FirstGroup)"
1320184,132018401,Commerce,Frankford Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,75000.0,23217.04,Frankford Community Development Corporation
1320597,132059701,Commerce,Frankford Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,40000.0,4804.11,Frankford Community Development Corporation
1020287,102028706,Commerce,"Fuseideas, LLC",Computer and Information Svcs,TIME EXTENSION,2013-08-01T00:00:00Z,2014-06-30T00:00:00Z,91,90000.0,0.0,"Fuseideas, LLC"
1120392,112039204,Commerce,"GRA,  Inc.",General Consultant Services,RENEWAL THREE,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,200000.0,0.0,"GRA,  Inc."
1420415,1420415,Commerce,"Gallini Hemmann, Inc.",General Consultant Services,MARKETING/GRAPHIC DESIGN,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,40000.0,940.0,"Gallini Hemmann, Inc."
MPXX14000328,MPXX14000328,Commerce,Germantown Special Services District,Miscellaneous Order,Street Cleaning,2013-10-01T00:00:00Z,2014-06-30T00:00:00Z,91,25000.0,0.0,Germantown Special Services District
1220573,122057301,Commerce,Global Program Partners,General Consultant Services,AMENDMENT ONE,2012-05-25T00:00:00Z,2016-05-24T00:00:00Z,785,2.5E7,1.755263657E7,Global Program Partners
MPXX14000051,MPXX14000051,Commerce,Grapevine Exhibits,Miscellaneous Order,Event/Trade Show Plan,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,32000.0,3210.0,Grapevine Exhibits
1020634,102063403,Commerce,Gresham Smith & Partners (GS&P),Architect and Engineer Svcs,RENEWAL THREE,2013-06-01T00:00:00Z,2014-05-31T00:00:00Z,61,0.0,0.0,Gresham Smith & Partners (GS&P)
1020468,102046805,Commerce,"HNTB Pennsylvania, Inc.",General Consultant Services,AMENDMENT FIVE,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,500000.0,0.0,"HNTB Pennsylvania, Inc."
1320208,132020801,Commerce,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,1000000.0,86816.26,"HNTB Pennsylvania, Inc."
1320624,132062401,Commerce,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,1000000.0,26293.24,"HNTB Pennsylvania, Inc."
1320085,132008502,Commerce,"Hill International, Inc.",General Consultant Services,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,2990000.0,1796489.45,"Hill International, Inc."
1320185,132018501,Commerce,Hispanic Assoc of Contractors & Enterprises Inc,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,120000.0,19102.32,Hispanic Assoc of Contractors & Enterprises Inc
MPXX14000270,MPXX14000270,Commerce,"Human Resources Alternatives, LLC",Miscellaneous Order,HR Consulting,2013-11-06T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,0.0,"Human Resources Alternatives, LLC"
MPXX14000088,MPXX14000088,Commerce,IMX Medical Management Services,Miscellaneous Order,Pre-hiring Physical Test,2013-07-08T00:00:00Z,2014-06-30T00:00:00Z,91,15000.0,9600.0,IMX Medical Management Services
1320168,132016801,Commerce,Impact Community Development Corporation,Housing & Economic Development,Amendment FY14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,125000.0,0.0,Impact Community Development Corporation
1120420,112042003,Commerce,InterVISTAS Consulting LLC,General Consultant Services,RENEWAL THREE,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,200000.0,0.0,InterVISTAS Consulting LLC
1220172,122017202,Commerce,International Visitors Council,General Consultant Services,Sisiter Cities,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,162000.0,121500.0,International Visitors Council
1320496,132049601,Commerce,"Johnson, Mirmiran & Thompson",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,500000.0,0.0,"Johnson, Mirmiran & Thompson"
MPXX14000047,MPXX14000047,Commerce,Karen Friedman Enterprises,Miscellaneous Order,Media Training,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,25000.0,2100.0,Karen Friedman Enterprises
1020460,102046003,Commerce,"Kelly/Maiello, Inc.",Architect and Engineer Svcs,RENEWAL TWO,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,0.0,155763.52,"Kelly/Maiello, Inc."
1320457,132045701,Commerce,Ken Weeden & Associates,General Consultant Services,RENEWAL ONE,2013-09-01T00:00:00Z,2014-08-31T00:00:00Z,153,75000.0,20553.84,Ken Weeden & Associates
1320167,132016702,Commerce,Korean Community Development Services Center,Housing & Economic Development,Amendment FY14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,63610.41,Korean Community Development Services Center
1020467,102046705,Commerce,LeighFisher Inc.,General Consultant Services,AMENDMENT FIVE-TIME ONLY,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,200000.0,0.0,"Jacobs Consultancy, Inc."
1320170,132017001,Commerce,Logan CDC,Housing & Economic Development,Amendment FY14,2013-08-01T00:00:00Z,2014-06-30T00:00:00Z,91,125700.0,43314.2,Urban Affairs Coalition
MPXX14000275,MPXX14000275,Commerce,MANAYUNK DEVELOPMENT CORPORATION,Miscellaneous Order,Street light Planning,2013-08-27T00:00:00Z,2014-06-30T00:00:00Z,91,15000.0,0.0,MANAYUNK DEVELOPMENT CORPORATION
MPXX14000254,MPXX14000254,Commerce,Marilyn Marles dba Marles Group,Miscellaneous Order,HR Consultant,2013-10-10T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,3750.0,Marilyn Marles dba Marles Group
MPXX14000242,MPXX14000242,Commerce,"Mayer, Hoffman, McCann PC",Miscellaneous Order,Review & Survey Services,2013-10-02T00:00:00Z,2014-06-30T00:00:00Z,91,25000.0,14973.75,"Mayer, Hoffman, McCann PC"
MPXX14000039,MPXX14000039,Commerce,"Med-Tex Services, Inc.",Miscellaneous Order,Occupational Safety,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,25000.0,8862.35,"Med-Tex Services, Inc."
1320179,132017901,Commerce,"Michael Baker Jr., Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,2745000.0,968600.21,"Michael Baker Jr., Inc."
1220297,122029702,Commerce,"Milligan & Company, LLC",Accounting and Auditing Svcs,RENEWAL TWO,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,70000.0,3728.0,"Milligan & Company, LLC"
MPXX14000241,MPXX14000241,Commerce,Mount Airy U.S.A.,Miscellaneous Order,NIght Market,2013-07-11T00:00:00Z,2014-06-30T00:00:00Z,91,15000.0,0.0,Mount Airy U.S.A.
1220375,122037501,Commerce,NORESCO LLC,General Consultant Services,RENEWAL ONE,2013-03-01T00:00:00Z,2014-02-28T00:00:00Z,0,0.0,895000.0,NORESCO LLC
MPXX14000168,MPXX14000168,Commerce,National Fire Protection Agency,Miscellaneous Order,NFPA 70E Safe Work Cond.,2013-08-09T00:00:00Z,2014-06-30T00:00:00Z,91,25000.0,23995.0,National Fire Protection Agency
1320186,132018601,Commerce,New Kensington Community Development Corp,Housing & Economic Development,Amendment FY14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,180000.0,0.0,New Kensington Community Development Corp
MPXX14000045,MPXX14000045,Commerce,News Watch,Miscellaneous Order,Radio & TV Broadcast Ser,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,15000.0,0.0,News Watch
MPXX14000024,MPXX14000024,Commerce,Norma Michaels Entertainment,Miscellaneous Order,Entertainment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,23205.0,Norma Michaels Entertainment
1320550,132055001,Commerce,Nueva Esperanza Housing and Economic Development Corporation,Housing & Economic Development,Amendment FY 14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,75000.0,0.0,Nueva Esperanza Housing and Economic Development Corporation
1320214,132021401,Commerce,Office for Community Development,Housing & Economic Development,Amendment FY14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,20000.0,0.0,Office for Community Development
1220582,122058201,Commerce,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time Extension/Scope Mod,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,0,0.0,0.0,Ogontz Avenue Revitalization Corporation
1320629,1320629,Commerce,Ogontz Avenue Revitalization Corporation,General Consultant Services,W Oak lane Facade Program,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,0,250000.0,66220.7,Ogontz Avenue Revitalization Corporation
1320686,1320686,Commerce,Ogontz Avenue Revitalization Corporation,General Consultant Services,W. Oak Lane Streetscape,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,0,1250000.0,92654.21,Ogontz Avenue Revitalization Corporation
1420318,1420318,Commerce,Parkway Corporation,General Consultant Services,PUBLIC INFO/AMENITIES SVC,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,3444737.0,994373.71,Parkway Corporation
1220139,122013903,Commerce,Parkway Garage Inc.,General Consultant Services,RENEWAL TWO,2013-11-01T00:00:00Z,2014-10-31T00:00:00Z,214,5695195.0,3142255.65,Parkway Corporation
1320497,132049702,Commerce,"Parsons Brinckerhoff, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01T00:00:00Z,2014-09-30T00:00:00Z,183,500000.0,0.0,"Parsons Brinckerhoff, Inc."
1320166,132016601,Commerce,People's Emergency Center Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,105000.0,0.0,People's Emergency Center Community Development Corporation
1320213,132021301,Commerce,Phila Chinatown Dev Corp,Housing & Economic Development,Amendment FY14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,56000.0,2057.4,Phila Chinatown Dev Corp
MPXX14000240,MPXX14000240,Commerce,Phila Chinatown Dev Corp,Miscellaneous Order,Night Market,2013-10-02T00:00:00Z,2014-06-30T00:00:00Z,91,15000.0,0.0,Phila Chinatown Dev Corp
1420445,1420445,Commerce,Phila. Authority for Industrial Development,General Consultant Services,Economic Stimulus FY14,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,1294448.0,0.0,Phila. Authority for Industrial Development
