original_contract_id,current_item_id,department_name,vendor,contract_structure_type,desc,start_dt,end_dt,days_remaining, amt , tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX19000182,MPXX19000182,CITY COUNCIL,"EConsult Solutions, Inc",Miscellaneous Order,policy consulting,9/6/2018,6/30/2019,90,"  34,000.00 ",  -   ,"EConsult Solutions, Inc",102,EXEMPT,For Profit
MPXX19000117,MPXX19000117,CITY COUNCIL,"ESRI, Inc.",Miscellaneous Order,GIS services,7/1/2018,6/30/2019,90,"  4,540.00 ","  4,086.00 ","ESRI, Inc.",102,EXEMPT,For Profit
MPXX19000079,MPXX19000079,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,consulting services,7/1/2018,6/30/2019,90,"  30,000.00 ","  22,500.00 ",Eric Auerbach,102,EXEMPT,For Profit
1820407,1820407,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative tracking,5/1/2018,4/30/2019,29,"  45,000.00 ",  -   ,"Granicus, Inc.",01,ADVERTISED,For Profit
1820538,1820538,CITY COUNCIL,"HR&A Advisors, Inc",General Consultant Services,poverty reduction RFP,2/22/2018,2/21/2019,0,"  75,000.00 ","  75,000.00 ","HR&A Advisors, Inc",01,ADVERTISED,For Profit
1820442,1820442,CITY COUNCIL,"Hill International, Inc.",General Consultant Services,Project Manager,1/2/2018,1/1/2019,0,"  400,000.00 ","  29,983.00 ","Hill International, Inc.",01,ADVERTISED,For Profit
1820442,182044201,CITY COUNCIL,"Hill International, Inc.",General Consultant Services,Rebuild Project Mgr,1/2/2019,1/1/2020,275,  -   ,  -   ,"Hill International, Inc.",01,ADVERTISED,For Profit
1820582,182058201,CITY COUNCIL,"J.F. Ryan Associates, Inc.",Accounting and Auditing Svcs,OPA Audit,6/14/2018,6/13/2019,73,"  167,500.00 ","  166,000.00 ","J.F. Ryan Associates, Inc.",01,ADVERTISED,For Profit
MPXX19000116,MPXX19000116,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication services,7/1/2018,6/30/2019,90,"  30,000.00 ","  22,500.00 ",Keel Communications & Government Relations LLC,102,EXEMPT,For Profit
MPXX19000275,MPXX19000275,CITY COUNCIL,"Kennedy Printing Company, Inc",Miscellaneous Order,newsletter distribution,12/17/2018,6/30/2019,90,"  20,000.00 ","  19,266.78 ","Kennedy Printing Company, Inc",102,EXEMPT,For Profit
1820224,182022401,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,Desktop support,7/1/2018,6/30/2019,90,"  206,000.00 ","  135,433.75 ",Kimmel Group Inc.,01,ADVERTISED,For Profit
MPXX19000288,MPXX19000288,CITY COUNCIL,"Krain Enterprises, Inc.",Miscellaneous Order,outdoor advertising,10/1/2018,6/30/2019,90,"  5,000.00 ",  930.00 ,"Krain Enterprises, Inc.",102,EXEMPT,For Profit
MPXX19000183,MPXX19000183,CITY COUNCIL,"Reinvestment Fund, Inc.",Miscellaneous Order,policy consulting,9/6/2018,6/30/2019,90,"  34,000.00 ",  -   ,"Reinvestment Fund, Inc.",102,EXEMPT,Non Profit
1820093,182009301,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,live radio broadcasts,8/1/2018,7/31/2019,121,"  70,000.00 ","  35,000.00 ","WURD Radio, LLC fka LEVAS Communications, LLC",01,ADVERTISED,For Profit
1820461,182046101,CITY REPRESENTATIVE,Greater Philadelphia Film Office Inc.,General Consultant Services,Promote city film industr,7/1/2018,6/30/2019,90,"  130,944.00 ","  130,944.00 ",Greater Philadelphia Film Office Inc.,08,EXEMPT,Non Profit
1820460,182046001,CITY REPRESENTATIVE,Historic Philadelphia Inc.,General Consultant Services,Promote historic Phila,7/1/2018,6/30/2019,90,"  162,752.00 ","  162,752.00 ",Historic Philadelphia Inc.,08,EXEMPT,Non Profit
MPXX19000215,MPXX19000215,CITY TREASURER,AMTEC,Miscellaneous Order,Verification Agent,7/1/2018,6/30/2019,90,  1.00 ,  -   ,AMTEC,102,EXEMPT,For Profit
1720649,172064902,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Water/PGW,1/1/2019,12/31/2019,274,  -   ,  -   ,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1920400,1920400,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Airport,1/1/2019,12/31/2019,274,"  20,000.00 ",  -   ,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1620362,162036203,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water FA,1/1/2019,12/31/2019,274,"  100,000.00 ",  -   ,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1720201,172020102,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,GO FA,8/1/2018,7/31/2019,121,  -   ,  -   ,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1620441,162044102,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2018,5/31/2019,60,  -   ,  -   ,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1720658,172065804,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water and DC PGW,1/1/2019,12/31/2019,274,"  100,000.00 ","  85,000.00 ",Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1920423,1920423,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond Counsel - GO,1/1/2019,12/31/2019,274,  -   ,  -   ,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1920424,1920424,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,Disclosure Counsel - GO,1/1/2019,12/31/2019,274,  -   ,  -   ,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
1720643,172064302,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel Water,1/1/2019,12/31/2019,274,"  200,000.00 ",  -   ,Ballard Spahr LLP,01,ADVERTISED,For Profit
1920427,1920427,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel - GO,1/1/2019,12/31/2019,274,  -   ,  -   ,Ballard Spahr LLP,01,ADVERTISED,For Profit
1820003,182000301,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Payroll Banking Services,7/1/2018,6/30/2019,90,  -   ,  -   ,Citizens Bank of Pennsylvania,01,ADVERTISED,For Profit
1820267,182026701,CITY TREASURER,Citizens Bank of Pennsylvania,General Consultant Services,Pension Banking Services,9/1/2018,8/31/2019,152,  -   ,  -   ,Citizens Bank of Pennsylvania,01,ADVERTISED,For Profit
1720683,172068302,CITY TREASURER,Cozen O'Connor,Legal Services,DC - Water & PGW,1/1/2019,12/31/2019,274,  -   ,  -   ,Cozen O'Connor,01,ADVERTISED,For Profit
1920404,1920404,CITY TREASURER,Digital Assurance Certification,General Consultant Services,Dissemination Agent,1/1/2019,12/31/2019,274,"  16,000.00 ","  7,562.50 ",Digital Assurance Certification,01,ADVERTISED,For Profit
1620440,162044003,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services,6/1/2018,5/31/2019,60,"  30,000.00 ",  -   ,Dilworth Paxson LLP,01,ADVERTISED,For Profit
MPXX19000168,MPXX19000168,CITY TREASURER,Doris Smallwood,Miscellaneous Order,Accounting Services,8/27/2018,6/30/2019,90,"  34,000.00 ","  12,370.00 ",Doris Smallwood,102,EXEMPT,For Profit
1420440,142044005,CITY TREASURER,"ECOUNT, INC",General Consultant Services,Paycard Services,6/1/2018,5/31/2019,60,  -   ,  -   ,Citibank N.A.,01,ADVERTISED,For Profit
1920333,1920333,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Lending Study Consultant,12/15/2018,12/14/2019,257,"  50,269.00 ","  25,134.50 ","EConsult Solutions, Inc",01,ADVERTISED,For Profit
1720650,172065002,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,PGW Bond Counsel,1/1/2019,12/31/2019,274,  -   ,  -   ,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1920426,1920426,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Disclosure Counsel - GO,1/1/2019,12/31/2019,274,  -   ,  -   ,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
MPXX19000169,MPXX19000169,CITY TREASURER,"FRANCIS L. GIZAZA, CPA",Miscellaneous Order,Accounting Services,8/27/2018,6/30/2019,90,"  34,000.00 ","  31,350.00 ","FRANCIS L. GIZAZA, CPA",102,EXEMPT,For Profit
1920294,1920294,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Airport FA,9/15/2018,9/14/2019,166,"  50,000.00 ",  -   ,"Frasca & Associates, LLC",01,ADVERTISED,For Profit
1920258,1920258,CITY TREASURER,"Garcia Hamilton & Associates, L.P.",Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,"Garcia Hamilton & Associates, L.P.",01,ADVERTISED,For Profit
1720655,172065502,CITY TREASURER,"Greenberg Traurig, LLP",Legal Services,Disclosure Counsel Water,1/1/2019,12/31/2019,274,"  100,000.00 ",  -   ,"Greenberg Traurig, LLP",01,ADVERTISED,For Profit
1920401,1920401,CITY TREASURER,"Greenberg Traurig, LLP",Legal Services,DC - Airport,1/1/2019,12/31/2019,274,"  60,000.00 ",  -   ,"Greenberg Traurig, LLP",01,ADVERTISED,For Profit
1920412,1920412,CITY TREASURER,"Hardwick Law Firm, LLC",Legal Services,BC/DC - GO & Airport,1/1/2019,12/31/2019,274,"  20,000.00 ",  -   ,"Hardwick Law Firm, LLC",01,ADVERTISED,Non Profit
1620520,162052002,CITY TREASURER,Hawkins Delafield & Wood LLP,General Consultant Services,Arbitrage Services,6/15/2018,6/14/2019,74,"  77,000.00 ","  59,274.85 ",Hawkins Delafield & Wood LLP,01,ADVERTISED,For Profit
1920422,1920422,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,Disclosure Counsel - GO,1/1/2019,12/31/2019,274,  -   ,  -   ,Hawkins Delafield & Wood LLP,01,ADVERTISED,For Profit
1820491,1820491,CITY TREASURER,"Horsey, Buckner & Heffler, LLP",Accounting and Auditing Svcs,Accounting Services,4/15/2018,4/14/2019,13,"  500,000.00 ","  424,407.50 ","Horsey, Buckner & Heffler, LLP",01,ADVERTISED,For Profit
MPXX19000170,MPXX19000170,CITY TREASURER,Kauffman Accounting Services,Miscellaneous Order,Accounting Services,8/27/2018,6/30/2019,90,"  34,000.00 ",  -   ,Kauffman Accounting Services,102,EXEMPT,For Profit
1920402,1920402,CITY TREASURER,Kutak Rock LLP,Legal Services,Bond Counsel - Airport,1/1/2019,12/31/2019,274,"  20,000.00 ",  -   ,Kutak Rock LLP,01,ADVERTISED,For Profit
MPXX19000186,MPXX19000186,CITY TREASURER,"McElwes and Quinn, LLC",Miscellaneous Order,Bond Printing Services,9/1/2018,6/30/2019,90,  1.00 ,  -   ,"McElwes and Quinn, LLC",102,EXEMPT,For Profit
1920253,1920253,CITY TREASURER,"PFM Asset Management, LLC",Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,"PFM Asset Management, LLC",01,ADVERTISED,For Profit
1620364,162036404,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,Water FA,1/1/2019,12/31/2019,274,"  150,000.00 ",  -   ,Public Financial Management Inc,01,ADVERTISED,For Profit
1720216,172021603,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,GO FA,8/1/2018,7/31/2019,121,  -   ,  -   ,Public Financial Management Inc,01,ADVERTISED,For Profit
1920227,1920227,CITY TREASURER,PFM Financial Advisors LLC,General Consultant Services,PGW FA,9/15/2018,9/14/2019,166,  -   ,  -   ,PFM Financial Advisors LLC,01,ADVERTISED,For Profit
1920257,1920257,CITY TREASURER,Payden & Rygel,Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,Payden & Rygel,01,ADVERTISED,For Profit
1720215,172021502,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,GO FA,8/1/2018,7/31/2019,121,  -   ,  -   ,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
1920226,1920226,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Airport & PGW FA,9/15/2018,9/14/2019,166,"  50,000.00 ",  -   ,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
1920261,1920261,CITY TREASURER,"Piedmont Investment Advisors, LLC",Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,"Piedmont Investment Advisors, LLC",01,ADVERTISED,For Profit
1520257,152025703,CITY TREASURER,"Ramirez Asset Management, Inc.",Investment Advisor-Manager,Investment Manager,6/29/2018,6/28/2019,88,  -   ,  -   ,"Ramirez Asset Management, Inc.",01,ADVERTISED,For Profit
1920293,1920293,CITY TREASURER,"Ramirez Asset Management, Inc.",Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,"Ramirez Asset Management, Inc.",01,ADVERTISED,For Profit
1820372,182037201,CITY TREASURER,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Mgmt Software Srvc,1/1/2019,12/31/2019,274,"  45,000.00 ","  22,500.00 ","SS&C Technologies, Inc.",01,ADVERTISED,For Profit
1720651,172065102,CITY TREASURER,Saul Ewing LLP,Legal Services,DC PGW (backup),1/1/2019,12/31/2019,274,  -   ,  -   ,Saul Ewing LLP,01,ADVERTISED,For Profit
1920399,1920399,CITY TREASURER,Saul Ewing LLP,Legal Services,Bond Counsel - Airport,1/1/2019,12/31/2019,274,"  100,000.00 ",  -   ,Saul Ewing LLP,01,ADVERTISED,For Profit
1920268,1920268,CITY TREASURER,Smith Graham,Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,Smith Graham,01,ADVERTISED,For Profit
1920256,1920256,CITY TREASURER,Standish Mellon Asset Management Company LLC,Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,Standish Mellon Asset Management Company LLC,01,ADVERTISED,For Profit
1920269,1920269,CITY TREASURER,Sterling Capital Mangement LLC,Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,Sterling Capital Mangement LLC,01,ADVERTISED,For Profit
1920267,1920267,CITY TREASURER,"StoneRidge PMG Advisors, LLC",Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,"StoneRidge PMG Advisors, LLC",01,ADVERTISED,For Profit
1720624,172062402,CITY TREASURER,"Swap Financial Group, LLC",General Consultant Services,Swap Advisory Services,1/1/2019,12/31/2019,274,"  48,000.00 ",  -   ,"Swap Financial Group, LLC",01,ADVERTISED,For Profit
1920255,1920255,CITY TREASURER,The Swarthmore Group,Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,The Swarthmore Group,01,ADVERTISED,For Profit
1720656,172065603,CITY TREASURER,"Turner Law, P.C.",Legal Services,BC PGW and DC Water,1/1/2019,12/31/2019,274,"  10,000.00 ",  -   ,"Turner Law, P.C.",01,ADVERTISED,For Profit
1920425,1920425,CITY TREASURER,"Turner Law, P.C.",Legal Services,Disclosure Counsel - GO,1/1/2019,12/31/2019,274,  -   ,  -   ,"Turner Law, P.C.",01,ADVERTISED,For Profit
1420533,142053304,CITY TREASURER,US Bank National Association,General Consultant Services,Custody - Commer Bank Svc,6/30/2018,6/29/2019,89,  -   ,  -   ,US Bank National Association,01,ADVERTISED,For Profit
1920254,1920254,CITY TREASURER,"Wells Capital Management, Inc",Investment Advisor-Manager,Investment Manager,10/1/2018,9/30/2019,182,  -   ,  -   ,"Wells Capital Management, Inc",01,ADVERTISED,For Profit
1920295,192029501,COMMERCE,ADK Consulting Inc. dba ADK Executive Search,General Consultant Services,AMEND ONE - ADD SUB,10/1/2018,9/30/2019,182,"  175,000.00 ","  58,152.00 ",ADK Consulting Inc. dba ADK Executive Search,01,ADVERTISED,For Profit
1620015,162001505,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL THREE,7/1/2018,6/30/2019,90,"  1,200,000.00 ","  576,877.14 ","AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
1720006,172000604,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO,7/1/2018,6/30/2019,90,"  3,500,000.00 ","  1,802,059.25 ","AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
1820177,182017702,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE-TIME ONLY,10/1/2018,9/30/2019,182,  -   ,"  14,335.02 ","AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
MPXX19000220,MPXX19000220,COMMERCE,"ARCHITECTURAL LIGHTING DESIGN, LLC a/k/a ALD, LLC",Miscellaneous Order,ONCALL LIGHTING CONSULT,10/1/2018,6/30/2019,90,"  34,000.00 ",  -   ,"ARCHITECTURAL LIGHTING DESIGN, LLC a/k/a ALD, LLC",102,EXEMPT,For Profit
MPXX19000029,MPXX19000029,COMMERCE,ARW Events,Miscellaneous Order,ENTERTAINMENT SERVICES,7/1/2018,6/30/2019,90,"  32,000.00 ","  14,600.00 ",ARW Events,102,EXEMPT,For Profit
1720418,172041802,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL TWO,12/1/2018,11/30/2019,243,"  100,000.00 ",  -   ,"AVK Consulting, Inc.",01,ADVERTISED,For Profit
1920081,192008102,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,AMEND TWO-ADD SUB,7/1/2018,6/30/2019,90,"  1,500,000.00 ","  887,777.63 ","AVK Consulting, Inc.",01,ADVERTISED,For Profit
1720121,172012102,COMMERCE,African Cultural Alliance of North America,Housing and Economic Dev,TCMP,7/1/2018,6/30/2019,90,"  175,000.00 ","  33,414.01 ",African Cultural Alliance of North America,01,ADVERTISED,Non Profit
1920204,1920204,COMMERCE,"Airport Design Consultants, Inc.",Architect and Engineer Svcs,MULTI-PROJECT CIVIL ENGIN,7/1/2018,6/30/2019,90,"  750,000.00 ","  14,197.17 ","Airport Design Consultants, Inc.",01,ADVERTISED,For Profit
MPXX19000051,MPXX19000051,COMMERCE,"All Fitness Events, LLC",Miscellaneous Order,5K-RUNWAY RUN-WALK,7/1/2018,6/30/2019,90,"  12,334.90 ","  12,334.90 ","All Fitness Events, LLC",102,EXEMPT,For Profit
1720114,172011402,COMMERCE,Allegheny West Foundation,Housing and Economic Dev,TCMP,7/1/2018,6/30/2019,90,"  111,000.00 ","  67,218.57 ",Allegheny West Foundation,01,ADVERTISED,Non Profit
1820274,182027401,COMMERCE,Altitude Strategies LLC,General Consultant Services,RENEWAL ONE,9/1/2018,8/31/2019,152,"  70,000.00 ","  32,230.00 ",Altitude Strategies LLC,01,ADVERTISED,For Profit
1920217,1920217,COMMERCE,"Arora Engineers, Inc",Architect and Engineer Svcs,MULTI PROJECT ELECTRICAL,8/1/2018,7/31/2019,121,"  750,000.00 ",  -   ,"Arora Engineers, Inc",01,ADVERTISED,For Profit
1720319,172031904,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,AMEND TWO-ADD SUBS,10/1/2018,9/30/2019,182,"  300,000.00 ","  76,391.52 ","Atkins North America, Inc.",01,ADVERTISED,For Profit
1720777,172077703,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,AMEND TWO,6/1/2018,5/31/2019,60,"  4,950,000.00 ","  1,968,079.67 ","Atkins North America, Inc.",01,ADVERTISED,For Profit
MPXX19000036,MPXX19000036,COMMERCE,"Be Films, LLC d/b/a Five Story Media",Miscellaneous Order,VIDEO PRODUCTION / PHOTO,7/1/2018,6/30/2019,90,"  32,000.00 ","  8,700.00 ","Be Films, LLC d/b/a Five Story Media",102,EXEMPT,For Profit
1720588,172058802,COMMERCE,"Borski Associates, LLC",General Consultant Services,RENEWAL TWO,12/1/2018,11/30/2019,243,"  120,000.00 ",  -   ,"Borski Associates, LLC",01,ADVERTISED,For Profit
1720541,172054102,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL TWO,1/1/2019,12/31/2019,274,"  1,500,000.00 ","  250,000.00 ","Burns Engineering, Inc.",01,ADVERTISED,For Profit
1920219,1920219,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,MULTI PROJECT ELECTRICAL,8/1/2018,7/31/2019,121,"  750,000.00 ",  -   ,"Burns Engineering, Inc.",01,ADVERTISED,For Profit
1620016,162001608,COMMERCE,"C&S Engineers, Inc.",Architect and Engineer Svcs,RENEWAL THREE,7/1/2018,6/30/2019,90,"  750,000.00 ","  517,463.93 ","C&S Engineers, Inc.",01,ADVERTISED,For Profit
1920229,1920229,COMMERCE,"C&S Engineers, Inc.",General Consultant Services,SUSTAINABILITY,11/1/2018,10/31/2019,213,"  100,000.00 ","  5,519.69 ","C&S Engineers, Inc.",01,ADVERTISED,For Profit
1920144,1920144,COMMERCE,"CBIZ MHM, LLC",Accounting and Auditing Svcs,ON CALL ACCOUNTING/AUDIT,7/1/2018,6/30/2019,90,"  80,000.00 ","  58,030.69 ","CBIZ MHM, LLC",01,ADVERTISED,For Profit
1620156,162015605,COMMERCE,"CDA& I Architecture and Interiors, LTD",Architect and Engineer Svcs,RENEWAL THREE,12/1/2018,11/30/2019,243,"  1,007,695.00 ","  443,863.38 ","CDA& I Architecture and Interiors, LTD",01,ADVERTISED,For Profit
1720014,172001407,COMMERCE,"Campbell-Hill Aviation Group, LLC",General Consultant Services,AMEND FIVE-ADD CLASS,7/1/2018,6/30/2019,90,"  600,000.00 ","  224,061.81 ","Campbell-Hill Aviation Group, LLC",01,ADVERTISED,For Profit
MPXX19000207,MPXX19000207,COMMERCE,Community Design Collaborative,Miscellaneous Order,StoreFront Imp Asst,7/1/2018,6/30/2019,90,"  30,000.00 ","  2,825.00 ",Community Design Collaborative,102,EXEMPT,Non Profit
1820277,182027701,COMMERCE,"Community Marketing Concepts, Inc.",General Consultant Services,RENEWAL ONE-TIME ONLY,9/1/2018,8/31/2019,152,  -   ,"  1,500.00 ","Community Marketing Concepts, Inc.",01,ADVERTISED,For Profit
1620259,162025904,COMMERCE,Converse Winkler Architecture,Architect and Engineer Svcs,RENEWAL THREE,1/1/2019,12/31/2019,274,"  600,000.00 ",  -   ,Converse Winkler Architecture,01,ADVERTISED,For Profit
MPXX19000028,MPXX19000028,COMMERCE,"Creative Planning International, Inc d/b/a The Lett Group",Miscellaneous Order,INTERNATIONAL BUS. ETIQUE,7/1/2018,6/30/2019,90,"  32,000.00 ","  5,334.00 ","Creative Planning International, Inc d/b/a The Lett Group",102,EXEMPT,For Profit
1820112,182011201,COMMERCE,"Cushman & Wakefield of Pa., LLC d/b/a Cushman & Wakefield, I",General Consultant Services,RENEWAL TWO,7/1/2018,6/30/2019,90,"  40,000.00 ","  12,700.00 ","Cushman & Wakefield of Pa., LLC d/b/a Cushman & Wakefield, I",01,ADVERTISED,For Profit
1820486,182048601,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Penns landing Imp,7/1/2018,6/30/2019,90,  -   ,"  5,640,000.00 ",Delaware River Waterfront Corporation,08,EXEMPT,Non Profit
1920442,1920442,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Penns Landing,7/1/2018,6/30/2019,90,"  7,000,000.00 ","  7,000,000.00 ",Delaware River Waterfront Corporation,08,EXEMPT,Non Profit
MPXX19000267,MPXX19000267,COMMERCE,"Delta Risk, LLC",Miscellaneous Order,CYBER-THREAT HUNTING,11/1/2018,6/30/2019,90,"  30,000.00 ","  20,250.00 ","Delta Risk, LLC",102,EXEMPT,For Profit
MPXX19000146,MPXX19000146,COMMERCE,Drexel University,Miscellaneous Order,ADA TRAINING,8/1/2018,6/30/2019,90,  -   ,  -   ,Drexel University,102,EXEMPT,Non Profit
1820111,182011101,COMMERCE,"E. H. Lynn & Associates, LLC",General Consultant Services,RENEWAL ONE-TIME ONLY,7/1/2018,6/30/2019,90,  -   ,"  11,200.00 ","E. H. Lynn & Associates, LLC",01,ADVERTISED,For Profit
1620392,162039203,COMMERCE,"EConsult Solutions, Inc",General Consultant Services,Disparity Study,12/15/2018,12/14/2019,257,"  100,000.00 ",  -   ,"EConsult Solutions, Inc",01,ADVERTISED,For Profit
