original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor
1420498,1420498,CITY COUNCIL,"Concentric Energy Advisors, Inc.",General Consultant Services,consulting services,2014-04-01,2015-03-31,274,246000,74487.26,"Concentric Energy Advisors, Inc."
1320528,132052803,CITY COUNCIL,"EConsult Solutions, Inc",General Consultant Services,AVI consulting svs,2013-09-04,2014-12-31,184,20000,17754.39,ECONSULT CORPORATION
MPXX14000385,MPXX14000385,CITY COUNCIL,"EConsult Solutions, Inc",Miscellaneous Order,CSI project analysis,2014-01-02,2014-06-30,0,15000,0,"EConsult Solutions, Inc"
MPXX14000121,MPXX14000121,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,legislative drafting,2013-07-16,2014-06-30,0,30000,25245,Eric Auerbach
1320781,1320781,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,bill tracking software,2013-06-30,2014-06-29,0,70000,0,"Granicus, Inc."
MPXX14000403,MPXX14000403,CITY COUNCIL,Health Promotion Council of SE Pa Inc,Miscellaneous Order,Philly Play Challenge,2014-04-01,2014-06-30,0,30000,0,Health Promotion Council of SE Pa Inc
MPXX14000411,MPXX14000411,CITY COUNCIL,"Kennedy Printing Company, Inc",Miscellaneous Order,newsletter distribution,2014-06-01,2014-06-30,0,10000,0,"Kennedy Printing Company, Inc"
MPXX14000386,MPXX14000386,CITY COUNCIL,The Reinvestment Fund,Miscellaneous Order,CSI research services,2014-01-02,2014-06-30,0,28000,0,The Reinvestment Fund
MPXX14000349,MPXX14000349,CITY COUNCIL,Vincent W. Furlong,Miscellaneous Order,legal representation,2014-01-01,2014-06-30,0,25000,0,Vincent W. Furlong
1220535,122053502,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of council sess,2014-01-01,2014-12-31,184,60000,60000,"WURD Radio, LLC fka LEVAS Communications, LLC"
1320653,132065301,CITY PLANNING,"Michael Baker Jr., Inc.",General Consultant Services,Time Extension,2014-02-01,2014-06-30,0,0,0,"Michael Baker Jr., Inc."
MPXX14000338,MPXX14000338,CITY PLANNING,"Nimblelight, LLC",Miscellaneous Order,Website Design Brownfield,2014-03-03,2014-06-30,0,12840,3690,"Nimblelight, LLC"
1420431,1420431,CITY PLANNING,"Stromberg Garrigan & Associates, Inc.",General Consultant Services,Brownfields  Frnkfrd Crk,2014-03-03,2015-03-02,245,160000,0,"Stromberg Garrigan & Associates, Inc."
1420379,1420379,CITY REPRESENTATIVE,Fund For Philadelphia Inc,General Consultant Services,Promotional Services,2013-07-01,2014-06-30,0,115500,0,Fund For Philadelphia Inc
1120044,112004403,CITY REPRESENTATIVE,Greater Philadelphia Film Office Inc.,General Consultant Services,Promotional Services,2013-07-01,2014-06-30,0,163952,163952,Greater Philadelphia Film Office Inc.
1220291,122029102,CITY REPRESENTATIVE,Historic Philadelphia Inc.,General Consultant Services,Historic Tours of Phila.,2013-07-01,2014-06-30,0,204452,204452,Historic Philadelphia Inc.
MPXX14000413,MPXX14000413,CITY REPRESENTATIVE,letter27,Miscellaneous Order,Branding for Philadelphia,2014-06-25,2014-06-30,0,9000,0,letter27
MPXX14000294,MPXX14000294,CITY TREASURER,AMTEC,Miscellaneous Order,Verification Agent,2013-12-16,2014-06-30,0,1,0,AMTEC
1320648,132064801,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - PGW &Water,2014-01-01,2014-12-31,184,0,0,ANDRE C DASENT P C
1320338,132033801,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor,2013-08-01,2014-07-31,31,0,0,"Acacia Financial Group, Inc."
1320649,132064901,CITY TREASURER,"Ahmad & Zaffarese & Smyler, LLC",Legal Services,Bond Counsel - Water,2014-01-01,2014-12-31,184,10000,0,Law Offices of Denise Joy Smyler
1120293,112029303,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,Legal Counsel GO and OTB,2013-10-08,2014-10-07,99,0,0,"Grant & Lebowitz, LLC."
1320647,132064701,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel - PGW &Water,2014-01-01,2014-12-31,184,30000,0,Ballard Spahr LLP
1020483,102048304,CITY TREASURER,"BlackRock Capital Management, Inc.",General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,"BlackRock Financial Management, Inc."
1120292,112029203,CITY TREASURER,Cozen O'Connor,Legal Services,Legal Counsel,2013-10-08,2014-10-07,99,0,0,Cozen O'Connor
1220136,122013602,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legan Counsel,2013-07-01,2014-06-30,0,0,0,Dilworth Paxson LLP
1120384,112038403,CITY TREASURER,ECONSULT CORPORATION,General Consultant Services,Authorized Depositories,2013-12-15,2014-12-14,167,41000,20500,ECONSULT CORPORATION
1020585,102058504,CITY TREASURER,Gonzalez Saggio & Harlan LLP,Legal Services,Bond Counsel - Airport,2014-02-01,2014-04-30,0,0,0,Gonzalez Saggio & Harlan LLP
1220137,122013702,CITY TREASURER,Gonzalez Saggio & Harlan LLP,Legal Services,Legal Services - TRAN,2013-07-01,2014-06-30,0,0,0,Gonzalez Saggio & Harlan LLP
1320645,132064501,CITY TREASURER,"Greenberg Traurig, LLP",Legal Services,Bond Counsel - Water,2014-01-01,2014-12-31,184,0,0,"Greenberg Traurig, LLP"
1020470,102047004,CITY TREASURER,Hughes Capital Management Inc,General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,Hughes Capital Management Inc
MPXX14000114,MPXX14000114,CITY TREASURER,"ImageMaster, LLC",Miscellaneous Order,Printer,2013-07-12,2014-06-30,0,1,0,"ImageMaster, LLC"
MPXX14000122,MPXX14000122,CITY TREASURER,"McElwes and Quinn, LLC",Miscellaneous Order,Printer,2013-07-17,2014-06-30,0,1,0,"McElwes and Quinn, LLC"
1020471,102047104,CITY TREASURER,"PFM Asset Management, LLC",General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,"PFM Asset Management, LLC"
1320366,132036601,CITY TREASURER,"PFM Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,2013-07-01,2014-06-30,0,77000,32000,"PFM Asset Management, LLC"
1020479,102047904,CITY TREASURER,PNC Capital Advisors,General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,PNC Capital Advisors
1220175,122017502,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Fiinancial Advisor,2013-07-12,2014-07-11,11,0,0,"Phoenix Capital Partners, LLP"
1420485,1420485,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor-PGW,2014-01-01,2014-12-31,184,0,0,"Phoenix Capital Partners, LLP"
1220174,122017402,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Financial Advisor Water,2013-07-12,2014-07-11,11,0,0,Public Financial Management Inc
1320337,132033701,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Financial Advisor,2013-08-01,2014-07-31,31,0,0,Public Financial Management Inc
1020480,102048004,CITY TREASURER,"RBC Global Asset Management (U.S.), Inc",General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,"RBC Global Asset Management (U.S.), Inc"
MPXX14000293,MPXX14000293,CITY TREASURER,"Robert Thomas CPA, LLC",Miscellaneous Order,Verification Agent,2013-08-30,2014-06-30,0,1,0,"Robert Thomas CPA, LLC"
1320595,1320595,CITY TREASURER,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Management Software,2013-06-30,2014-06-29,0,180500,171625,"SS&C Technologies, Inc."
1020584,102058405,CITY TREASURER,Saul Ewing LLP,Legal Services,Legal Counsel,2014-02-01,2014-04-30,0,0,0,Saul Ewing LLP
1020584,102058406,CITY TREASURER,Saul Ewing LLP,Legal Services,Bond Counsel - Airport,2014-05-01,2014-07-31,31,0,0,Saul Ewing LLP
1320627,132062701,CITY TREASURER,"Swap Financial Group, LLC",General Consultant Services,Swap Advisor,2014-01-01,2014-12-31,184,60000,30000,"Swap Financial Group, LLC"
MPXX14000301,MPXX14000301,CITY TREASURER,"THE BANK OF NEW YORK MELLON TRUST COMPANY, NA",Miscellaneous Order,Trustee for City's TRAN,2013-11-30,2014-06-30,0,1,0,"THE BANK OF NEW YORK MELLON TRUST COMPANY, NA"
1020469,102046904,CITY TREASURER,The Swarthmore Group,General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,The Swarthmore Group
1020482,102048204,CITY TREASURER,"Wells Capital Management, Inc",General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,"Wells Capital Management, Inc"
1420003,142000301,CITY TREASURER,"Wells Fargo Bank, N.A.",General Consultant Services,Payroll Banking Services,2014-03-31,2014-06-30,0,0,0,"Wells Fargo Bank, N.A."
1020472,102047204,CITY TREASURER,Western Asset Management,General Consultant Services,Investment Manager,2014-01-01,2014-06-30,0,0,0,Western Asset Management
1420272,1420272,COMMERCE,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",General Consultant Services,REAL ESTATE APPRAISAL,2013-07-01,2014-06-30,0,100000,8611.54,"ABS Aviation Consultancy, Inc dba Airport Business Solutions"
1320226,132022601,COMMERCE,ACHIEVEability,Housing & Economic Development,Amendment FY 14,2013-07-01,2014-06-30,0,30000,1247,ACHIEVEability
1120268,112026803,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL THREE,2013-07-01,2014-06-30,0,250000,0,"AECOM Technical Services, Inc."
1320161,132016101,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01,2014-06-30,0,450000,87162.38,"AECOM Technical Services, Inc."
1320162,132016201,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01,2014-06-30,0,2600000,1374073.22,"AECOM Technical Services, Inc."
1420316,1420316,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,ENVIRONMENTAL ENG CONSULT,2013-10-01,2014-09-30,92,100000,66388.13,"AECOM Technical Services, Inc."
MPXX14000022,MPXX14000022,COMMERCE,ARW Events,Miscellaneous Order,Entertainment Services,2013-07-01,2014-06-30,0,30000,30000,ARW Events
1020449,102044904,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,AMENDMENT FOUR-EXTENSION,2014-01-01,2014-06-30,0,300000,0,Roger H. Bates
1320582,132058201,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL ONE,2013-12-01,2014-11-30,153,100000,34805.31,"AVK Consulting, Inc."
MPXX14000251,MPXX14000251,COMMERCE,All State Career,Miscellaneous Order,Commercial Driver Cert,2013-10-10,2014-06-30,0,25000,10500,All State Career
1320171,132017101,COMMERCE,Allegheny West Foundation,Housing & Economic Development,Amendment,2013-07-01,2014-06-30,0,92000,45948.64,Allegheny West Foundation
1320207,132020701,COMMERCE,American Association of Airport Executives,General Consultant Services,RENEWAL ONE,2013-07-01,2014-06-30,0,0,150000,American Association of Airport Executives
1320498,132049801,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01,2014-09-30,92,1550000,938262.49,"Atkins North America, Inc."
1120431,112043103,COMMERCE,"Audio Visual Communications, Inc.",General Consultant Services,RENEWAL THREE,2014-01-01,2014-12-31,184,100000,0,"Audio Visual Communications, Inc."
1420234,1420234,COMMERCE,"Avenue of the Arts, Inc.",General Consultant Services,Avenue of the Arts,2013-07-01,2014-06-30,0,80000,80000,"Avenue of the Arts, Inc."
1220407,122040702,COMMERCE,Buell Kratzer Powell,Architect and Engineer Svcs,RENEWAL TWO,2014-01-01,2014-12-31,184,150000,0,Buell Kratzer Powell
1320625,132062501,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2014-01-01,2014-12-31,184,1000000,423567.88,"Burns Engineering, Inc."
1420314,1420314,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,SECURITY/SPECIAL SYS ENG,2013-10-01,2014-09-30,92,500000,73426.72,"Burns Engineering, Inc."
1320426,132042601,COMMERCE,"CLEAN RENTAL SVC., INC.",General Consultant Services,RENEWAL ONE,2013-10-01,2014-09-30,92,550000,403182.26,"CLEAN RENTAL SVC., INC."
1320209,132020901,COMMERCE,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01,2014-06-30,0,1000000,352493.65,"Carter Hayes Associates,  Inc"
1220183,122018302,COMMERCE,Center City District,General Consultant Services,Dilworth Plaza Imps,2013-07-01,2014-06-30,0,0,0,Center City District
1220466,122046602,COMMERCE,Center City District,General Consultant Services,1st dist ped lighting,2013-06-01,2014-05-31,0,0,0,Center City District
1220487,122048702,COMMERCE,Center City District,General Consultant Services,Reading Viaduct,2014-01-01,2014-06-30,0,0,0,Center City District
1220412,122041202,COMMERCE,Converse Winkler Architecture,Architect and Engineer Svcs,RENEWAL TWO,2014-01-01,2014-12-31,184,400000,87465.58,Converse Winkler Architecture
MPXX14000357,MPXX14000357,COMMERCE,"Creative Planning International, Inc d/b/a The Lett Group",Miscellaneous Order,Internat. Biz Etiquette,2014-03-04,2014-06-30,0,32000,3653.68,"Creative Planning International, Inc d/b/a The Lett Group"
320600,32060010,COMMERCE,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 10-TIME ONLY,2013-12-01,2014-11-30,153,0,0,Daroff Design Inc. + DDI Architects PC
1320191,1320191,COMMERCE,David Brush Consulting,General Consultant Services,AIRPORT OWNER REP SVC,2012-07-01,2016-06-30,731,975000,320846.76,David Brush Consulting
1320672,132067201,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Delaware Waterfront imp,2012-07-02,2014-07-01,1,6130000,6130000,Delaware River Waterfront Corporation
1220057,122005702,COMMERCE,"Diversified Community Services, Inc",Housing & Economic Development,Amendment FY 14,2013-07-01,2014-06-30,0,30000,0,"Diversified Community Services, Inc"
1120513,112051304,COMMERCE,"EConsult Solutions, Inc",General Consultant Services,Annual Disparity Study,2013-08-01,2014-07-31,31,95000,59750,ECONSULT CORPORATION
1320180,132018001,COMMERCE,Elliott Lewis Corp.,General Consultant Services,RENEWAL ONE,2013-07-01,2014-06-30,0,10659317.76,6831857.67,Elliott Lewis Corp.
1420317,1420317,COMMERCE,Elliott Lewis Corp.,Computer and Information Svcs,AIRPORT CISM SERVICES,2013-10-01,2014-09-30,92,4400000,2571957.64,Elliott Lewis Corp.
MPXX14000176,MPXX14000176,COMMERCE,"Ellison Group, The",Miscellaneous Order,STARS & LEADS Prof. Devel,2013-08-16,2014-06-30,0,30000,26390,"Ellison Group, The"
MPXX14000023,MPXX14000023,COMMERCE,Eventive Productions,Miscellaneous Order,Entertainment Services,2013-07-01,2014-06-30,0,30000,29930,Eventive Productions
1320160,132016001,COMMERCE,FINANTA,Housing & Economic Development,Amendment FY14,2013-07-01,2014-06-30,0,125000,31212.78,FINANTA
1220185,122018502,COMMERCE,Fairmount Community Development Corporation,Housing & Economic Development,Amendment FY14,2013-08-01,2014-06-30,0,30000,21801.28,Fairmount Community Development Corporation
1320316,132031601,COMMERCE,"Faith Group, LLC",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01,2014-06-30,0,500000,468936.81,"Faith Group, LLC"
1120564,112056402,COMMERCE,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,RENEWAL TWO,2013-06-01,2014-05-31,0,10436800,9493712.69,"First Transit, Inc  (subsidiary of FirstGroup)"
1320225,132022502,COMMERCE,Francisville Neighborhood Development Corp.,Housing & Economic Development,FY14 Amendment,2013-08-01,2014-06-30,0,40000,0,Francisville Neighborhood Development Corp.
1320184,132018401,COMMERCE,Frankford Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01,2014-06-30,0,75000,44103.57,Frankford Community Development Corporation
1320597,132059701,COMMERCE,Frankford Community Development Corporation,Housing & Economic Development,Amendment,2013-07-01,2014-06-30,0,40000,22062.96,Frankford Community Development Corporation
1020287,102028706,COMMERCE,"Fuseideas, LLC",Computer and Information Svcs,TIME EXTENSION,2013-08-01,2014-06-30,0,90000,0,"Fuseideas, LLC"
1120392,112039204,COMMERCE,"GRA,  Inc.",General Consultant Services,RENEWAL THREE,2014-01-01,2014-12-31,184,200000,0,"GRA,  Inc."
1420415,1420415,COMMERCE,"Gallini Hemmann, Inc.",General Consultant Services,MARKETING/GRAPHIC DESIGN,2014-01-01,2014-12-31,184,40000,44782,"Gallini Hemmann, Inc."
MPXX14000328,MPXX14000328,COMMERCE,Germantown Special Services District,Miscellaneous Order,Street Cleaning,2013-10-01,2014-06-30,0,25000,20000,Germantown Special Services District
1420365,1420365,COMMERCE,Gilbane Building Company,Architect and Engineer Svcs,TERMINAL D-E EXPANSION CM,2014-01-01,2015-12-31,549,2500000,0,Gilbane Building Company
1220573,122057302,COMMERCE,Global Program Partners,General Consultant Services,AMENDMENT TWO,2012-05-25,2016-05-24,694,35000000,20849799.07,Global Program Partners
MPXX14000051,MPXX14000051,COMMERCE,Grapevine Exhibits,Miscellaneous Order,Event/Trade Show Plan,2013-07-01,2014-06-30,0,32000,7006.18,Grapevine Exhibits
1020634,102063403,COMMERCE,Gresham Smith & Partners (GS&P),Architect and Engineer Svcs,RENEWAL THREE,2013-06-01,2014-05-31,0,0,0,Gresham Smith & Partners (GS&P)
1020634,102063404,COMMERCE,Gresham Smith & Partners (GS&P),Architect and Engineer Svcs,AMENDMENT FOUR-TIME ONLY,2014-06-01,2014-11-30,153,0,0,Gresham Smith & Partners (GS&P)
1020468,102046805,COMMERCE,"HNTB Pennsylvania, Inc.",General Consultant Services,AMENDMENT FIVE,2014-01-01,2014-06-30,0,500000,0,"HNTB Pennsylvania, Inc."
1320208,132020801,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01,2014-06-30,0,1000000,135042.97,"HNTB Pennsylvania, Inc."
1320624,132062401,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2014-01-01,2014-12-31,184,1000000,30453.67,"HNTB Pennsylvania, Inc."
1320085,132008502,COMMERCE,"Hill International, Inc.",General Consultant Services,RENEWAL ONE,2013-07-01,2014-06-30,0,2990000,2531611.92,"Hill International, Inc."
1320185,132018501,COMMERCE,Hispanic Assoc of Contractors & Enterprises Inc,Housing & Economic Development,Amendment,2013-07-01,2014-06-30,0,120000,44231.24,Hispanic Assoc of Contractors & Enterprises Inc
MPXX14000270,MPXX14000270,COMMERCE,"Human Resources Alternatives, LLC",Miscellaneous Order,HR Consulting,2013-11-06,2014-06-30,0,30000,0,"Human Resources Alternatives, LLC"
MPXX14000088,MPXX14000088,COMMERCE,IMX Medical Management Services,Miscellaneous Order,Pre-hiring Physical Test,2013-07-08,2014-06-30,0,15000,11300,IMX Medical Management Services
1320168,132016801,COMMERCE,Impact Community Development Corporation,Housing & Economic Development,Amendment FY14,2013-07-01,2014-06-30,0,125000,0,Impact Community Development Corporation
1120420,112042003,COMMERCE,InterVISTAS Consulting LLC,General Consultant Services,RENEWAL THREE,2014-01-01,2014-12-31,184,200000,0,InterVISTAS Consulting LLC
1220172,122017202,COMMERCE,International Visitors Council of Philadelphia,General Consultant Services,Sisiter Cities,2013-07-01,2014-06-30,0,162000,162000,International Visitors Council of Philadelphia
1320496,132049601,COMMERCE,"Johnson, Mirmiran & Thompson",Architect and Engineer Svcs,RENEWAL ONE,2013-10-01,2014-09-30,92,500000,0,"Johnson, Mirmiran & Thompson"
MPXX14000047,MPXX14000047,COMMERCE,Karen Friedman Enterprises,Miscellaneous Order,Media Training,2013-07-01,2014-06-30,0,25000,9132,Karen Friedman Enterprises
1020460,102046003,COMMERCE,"Kelly/Maiello, Inc.",Architect and Engineer Svcs,RENEWAL TWO,2014-01-01,2014-12-31,184,0,356510.36,"Kelly/Maiello, Inc."
1320457,132045701,COMMERCE,Ken Weeden & Associates,General Consultant Services,RENEWAL ONE,2013-09-01,2014-08-31,62,75000,20553.84,Ken Weeden & Associates
1320167,132016702,COMMERCE,Korean Community Development Services Center,Housing & Economic Development,Amendment FY14,2013-07-01,2014-06-30,0,0,92919.11,Korean Community Development Services Center
1020467,102046705,COMMERCE,LeighFisher Inc.,General Consultant Services,AMENDMENT FIVE-TIME ONLY,2014-01-01,2014-06-30,0,200000,0,"Jacobs Consultancy, Inc."
1320170,132017001,COMMERCE,Logan CDC,Housing & Economic Development,Amendment FY14,2013-08-01,2014-06-30,0,125700,60430.11,Urban Affairs Coalition
MPXX14000275,MPXX14000275,COMMERCE,MANAYUNK DEVELOPMENT CORPORATION,Miscellaneous Order,Street light Planning,2013-08-27,2014-06-30,0,20000,0,MANAYUNK DEVELOPMENT CORPORATION
MPXX14000254,MPXX14000254,COMMERCE,Marilyn Marles dba Marles Group,Miscellaneous Order,HR Consultant,2013-10-10,2014-06-30,0,30000,3750,Marilyn Marles dba Marles Group
MPXX14000242,MPXX14000242,COMMERCE,"Mayer, Hoffman, McCann PC",Miscellaneous Order,Review & Survey Services,2013-10-02,2014-06-30,0,25000,24000,"Mayer, Hoffman, McCann PC"
MPXX14000332,MPXX14000332,COMMERCE,Mayfair Community Development Corporation,Miscellaneous Order,DCED Contract,2013-09-01,2014-06-30,0,20000,0,Mayfair Community Development Corporation
MPXX14000039,MPXX14000039,COMMERCE,"Med-Tex Services, Inc.",Miscellaneous Order,Occupational Safety,2013-07-01,2014-06-30,0,25000,17667.31,"Med-Tex Services, Inc."
1320179,132017901,COMMERCE,"Michael Baker Jr., Inc.",Architect and Engineer Svcs,RENEWAL ONE,2013-07-01,2014-06-30,0,2745000,1683509.44,"Michael Baker Jr., Inc."
1220297,122029702,COMMERCE,"Milligan & Company, LLC",Accounting and Auditing Svcs,RENEWAL TWO,2013-07-01,2014-06-30,0,70000,3728,"Milligan & Company, LLC"
MPXX14000241,MPXX14000241,COMMERCE,Mount Airy U.S.A.,Miscellaneous Order,NIght Market,2013-07-11,2014-06-30,0,15000,15000,Mount Airy U.S.A.
1420422,1420422,COMMERCE,"Munroe Design Group, Inc. T/A Munroe Creative Partners",General Consultant Services,MARKETING/GRAPHIC DESIGN,2014-01-01,2014-12-31,184,40000,0,"Munroe Design Group, Inc. T/A Munroe Creative Partners"
MPXX14000168,MPXX14000168,COMMERCE,National Fire Protection Agency,Miscellaneous Order,NFPA 70E Safe Work Cond.,2013-08-09,2014-06-30,0,25000,23995,National Fire Protection Agency
MPXX14000330,MPXX14000330,COMMERCE,Networks For Training & Development,Miscellaneous Order,ADA Trn Ser,2014-01-24,2014-06-30,0,15000,0,Networks For Training & Development
1320186,132018601,COMMERCE,New Kensington Community Development Corp,Housing & Economic Development,Amendment FY14,2013-07-01,2014-06-30,0,180000,167166.99,New Kensington Community Development Corp
MPXX14000045,MPXX14000045,COMMERCE,News Watch,Miscellaneous Order,Radio & TV Broadcast Ser,2013-07-01,2014-06-30,0,15000,4869.5,News Watch
1420139,1420139,COMMERCE,Nicetown CDC,Housing & Economic Development,Neighborhood  Econ Devt,2013-07-01,2014-06-30,0,200000,200000,Nicetown CDC
MPXX14000024,MPXX14000024,COMMERCE,Norma Michaels Entertainment,Miscellaneous Order,Entertainment,2013-07-01,2014-06-30,0,30000,30000,Norma Michaels Entertainment
1320550,132055001,COMMERCE,Nueva Esperanza Housing and Economic Development Corporation,Housing & Economic Development,Amendment FY 14,2013-07-01,2014-06-30,0,75000,0,Nueva Esperanza Housing and Economic Development Corporation
1420414,1420414,COMMERCE,Octo Design Group Inc.,General Consultant Services,MARKETING/GRAPHIC DESIGN,2014-01-01,2014-12-31,184,40000,0,Octo Design Group Inc.
1320214,132021401,COMMERCE,Office for Community Development,Housing & Economic Development,Amendment FY14,2013-07-01,2014-06-30,0,20000,20000,Office for Community Development
1220582,122058202,COMMERCE,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time Extension,2014-02-01,2015-01-31,215,0,0,Ogontz Avenue Revitalization Corporation
1320629,132062901,COMMERCE,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time Amendment,2014-02-01,2015-01-31,215,0,0,Ogontz Avenue Revitalization Corporation
1320686,132068601,COMMERCE,Ogontz Avenue Revitalization Corporation,General Consultant Services,Time amendment,2014-02-01,2015-01-31,215,0,0,Ogontz Avenue Revitalization Corporation
MPXX14000407,MPXX14000407,COMMERCE,Ogontz Avenue Revitalization Corporation,Miscellaneous Order,NIght Market,2014-05-21,2014-06-30,0,18000,0,Ogontz Avenue Revitalization Corporation
1420318,1420318,COMMERCE,Parkway Corporation,General Consultant Services,PUBLIC INFO/AMENITIES SVC,2013-10-01,2014-09-30,92,3444737,1830024.58,Parkway Corporation
1220139,122013903,COMMERCE,Parkway Garage Inc.,General Consultant Services,RENEWAL TWO,2013-11-01,2014-10-31,123,5695195,4660361.45,Parkway Corporation
