original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status,
MPXX16000207,MPXX16000207,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,legislative drafting svs,9/18/2015,6/30/2016,0,32000,7227.5,Eric Auerbach,102,EXEMPT,For Profit,
1320781,132078102,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative tracking,6/30/2015,6/29/2016,0,40000,26821.32,"Granicus, Inc.",1,ADVERTISED,For Profit,
MPXX16000381,MPXX16000381,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication svs,2/21/2016,6/30/2016,0,15000,10000,Keel Communications & Government Relations LLC,102,EXEMPT,For Profit,
MPXX16000314,MPXX16000314,CITY COUNCIL,Maskar Design Inc,Miscellaneous Order,design of energy campaign,1/10/2016,6/30/2016,0,15000,12623.13,Maskar Design Inc,102,EXEMPT,For Profit,
MPXX16000285,MPXX16000285,CITY COUNCIL,Roger E. Clark,Miscellaneous Order,energy policy report,12/3/2015,6/30/2016,0,25000,25000,Roger E. Clark,102,EXEMPT,For Profit,
MPXX16000367,MPXX16000367,CITY COUNCIL,The New School,Miscellaneous Order,retirement readiness,5/3/2016,6/30/2016,0,2500,0,The New School,102,EXEMPT,For Profit,
MPXX16000129,MPXX16000129,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,state lobbying services,7/1/2015,6/30/2016,0,30000,27500,Triad Strategies LLC,102,EXEMPT,For Profit,
MPXX16000118,MPXX16000118,CITY COUNCIL,Vincent W. Furlong,Miscellaneous Order,legal representation,7/1/2015,6/30/2016,0,0,0,Vincent W. Furlong,102,EXEMPT,For Profit,
1220535,122053504,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of council mtgs,1/1/2016,12/31/2016,183,60000,0,"WURD Radio, LLC fka LEVAS Communications, LLC",1,ADVERTISED,For Profit,
1620151,1620151,CITY PLANNING,Fund For Philadelphia Inc,General Consultant Services,Choice Neighborhood Outre,8/24/2015,8/23/2016,53,75000,75000,Fund For Philadelphia Inc,8,EXEMPT,Non Profit,
1620159,1620159,CITY PLANNING,"Whitman, Requardt and Associates, LLP",Architect and Engineer Svcs,Mantua Grnwy Fin Design,10/5/2015,10/4/2016,95,395492.55,129008.27,"Whitman, Requardt and Associates, LLP",1,ADVERTISED,For Profit,
1420379,142037903,CITY REPRESENTATIVE,Fund For Philadelphia Inc,General Consultant Services,Special Events Promotion,7/1/2015,6/30/2016,0,44059,44059,Fund For Philadelphia Inc,8,EXEMPT,Non Profit,
1620361,1620361,CITY REPRESENTATIVE,Fund For Philadelphia Inc,General Consultant Services,special events promotion,7/1/2015,6/30/2016,0,115500,0,Fund For Philadelphia Inc,8,EXEMPT,Non Profit,
1620360,1620360,CITY REPRESENTATIVE,Historic Philadelphia Inc.,General Consultant Services,Promoting historic area,7/1/2015,6/30/2016,0,204452,0,Historic Philadelphia Inc.,8,EXEMPT,Non Profit,
1320648,132064803,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel PGW & Water,1/1/2016,12/31/2016,183,0,0,ANDRE C DASENT P C,1,ADVERTISED,For Profit,
1520338,152033801,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,30,20000,0,ANDRE C DASENT P C,1,ADVERTISED,For Profit,
1320338,132033803,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor GO-OTB,8/1/2015,7/31/2016,30,0,0,"Acacia Financial Group, Inc.",1,ADVERTISED,For Profit,
1620362,1620362,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water Financial Advisor,1/1/2016,12/31/2016,183,50000,0,"Acacia Financial Group, Inc.",1,ADVERTISED,For Profit,
1320649,132064903,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water,1/1/2016,12/31/2016,183,0,0,Law Offices of Denise Joy Smyler,1,ADVERTISED,For Profit,
1520434,152043401,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2015,12/14/2016,166,0,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit,
1620441,1620441,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2016,5/31/2017,334,0,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit,
1520439,152043901,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2015,12/14/2016,166,0,0,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",1,ADVERTISED,For Profit,
1320647,132064703,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel PGW & Water,1/1/2016,12/31/2016,183,100000,81795.8,Ballard Spahr LLP,1,ADVERTISED,For Profit,
1520435,152043501,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond/disclosure Counsel,12/15/2015,12/14/2016,166,0,0,Ballard Spahr LLP,1,ADVERTISED,For Profit,
1520301,1520301,CITY TREASURER,CHANDLER ASSET MANAGEMENT,Investment Advisor-Manager,Investment Manager,6/29/2015,6/28/2016,0,0,0,CHANDLER ASSET MANAGEMENT,1,ADVERTISED,unknown,
1420440,142044001,CITY TREASURER,Citibank N.A.,General Consultant Services,Commercial Banking SVSS,6/1/2015,5/31/2016,0,0,0,Citibank N.A.,1,ADVERTISED,For Profit,
1420440,142044002,CITY TREASURER,Citibank N.A.,General Consultant Services,Commercial Banking Svcs,6/1/2016,5/31/2017,334,0,0,Citibank N.A.,1,ADVERTISED,For Profit,
1520438,152043801,CITY TREASURER,Cozen O'Connor,Legal Services,BC & DC GF,12/15/2015,12/14/2016,166,140000,72658.89,Cozen O'Connor,1,ADVERTISED,For Profit,
1520492,152049201,CITY TREASURER,Digital Assurance Certification,General Consultant Services,Dissemination Agent,1/1/2016,12/31/2016,183,8000,0,Digital Assurance Certification,1,ADVERTISED,For Profit,
1520341,152034101,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,30,15000,0,Dilworth Paxson LLP,1,ADVERTISED,For Profit,
1620440,1620440,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,6/1/2016,5/31/2017,334,0,0,Dilworth Paxson LLP,1,ADVERTISED,For Profit,
1520453,152045301,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Authorized Depositories,12/15/2015,12/14/2016,166,46340,46340,"EConsult Solutions, Inc",1,ADVERTISED,For Profit,
1320646,132064603,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond Cousnel PGW,1/1/2016,12/31/2016,183,0,0,Blank Rome LLP,1,ADVERTISED,For Profit,
1520437,152043701,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond&Disclosure counsel,12/15/2015,12/14/2016,166,0,0,"Eckert Seamans Cherin & Mellott, LLC",1,ADVERTISED,For Profit,
1620377,1620377,CITY TREASURER,"Estrada Hinojosa & Company, Inc.",General Consultant Services,Water Financial Advisor,1/1/2016,12/31/2016,183,50000,22700.02,"Estrada Hinojosa & Company, Inc.",1,ADVERTISED,For Profit,
1520249,152024901,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Airport - FA,8/1/2015,7/31/2016,30,50000,0,"Frasca & Associates, LLC",1,ADVERTISED,For Profit,
MPXX16000311,MPXX16000311,CITY TREASURER,"GNP SERVICES, CPA, PA",Miscellaneous Order,Verification Agent,1/1/2016,6/30/2016,0,1,0,"GNP SERVICES, CPA, PA",102,EXEMPT,For Profit,
1320645,132064503,CITY TREASURER,"Greenberg Traurig, LLP",Legal Services,Water BC & DC,1/1/2016,12/31/2016,183,100000,14850,"Greenberg Traurig, LLP",1,ADVERTISED,For Profit,
1520450,152045001,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,GF Disclosure counsel,12/15/2015,12/14/2016,166,0,0,Hawkins Delafield & Wood LLP,1,ADVERTISED,For Profit,
1520347,152034701,CITY TREASURER,Katten Muchin Rosenman LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,30,100000,0,Katten Muchin Rosenman LLP,1,ADVERTISED,For Profit,
1520343,152034301,CITY TREASURER,Kutak Rock LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,30,75000,0,Kutak Rock LLP,1,ADVERTISED,For Profit,
MPXX16000271,MPXX16000271,CITY TREASURER,"McElwes and Quinn, LLC",Miscellaneous Order,Printer,11/23/2015,6/30/2016,0,1,0,"McElwes and Quinn, LLC",102,EXEMPT,For Profit,
1320654,132065403,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Cousel PGW,1/1/2016,12/31/2016,183,0,0,Nixon Peabody LLP,1,ADVERTISED,For Profit,
1520342,152034201,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,30,20000,0,Nixon Peabody LLP,1,ADVERTISED,For Profit,
1320366,132036603,CITY TREASURER,"PFM Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,7/1/2015,6/30/2016,0,77000,57500,"PFM Asset Management, LLC",1,ADVERTISED,For Profit,
1420485,142048502,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,FA PGW,1/1/2016,12/31/2016,183,0,0,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit,
1320337,132033703,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Financial Advisor -GO-OTB,8/1/2015,7/31/2016,30,0,0,Public Financial Management Inc,1,ADVERTISED,For Profit,
1420484,142048402,CITY TREASURER,Public Financial Management Inc,General Consultant Services,PGW FA,1/1/2016,12/31/2016,183,0,0,Public Financial Management Inc,1,ADVERTISED,For Profit,
1520250,152025001,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Airport - FA,8/1/2015,7/31/2016,30,50000,0,Public Financial Management Inc,1,ADVERTISED,For Profit,
1620364,1620364,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Water Financial Advisor,1/1/2016,12/31/2016,183,150000,55772.5,Public Financial Management Inc,1,ADVERTISED,For Profit,
1520256,152025601,CITY TREASURER,"RBC Global Asset Management (U.S.), Inc",Investment Advisor-Manager,Investment Manager,1/1/2016,12/31/2016,183,0,0,"RBC Global Asset Management (U.S.), Inc",1,ADVERTISED,For Profit,
1520257,1520257,CITY TREASURER,"Ramirez Asset Management, Inc.",Investment Advisor-Manager,Investment Manager,6/29/2015,6/28/2016,0,0,0,"Ramirez Asset Management, Inc.",1,ADVERTISED,For Profit,
1520257,152025701,CITY TREASURER,"Ramirez Asset Management, Inc.",Investment Advisor-Manager,Investment manager,6/29/2016,6/28/2017,362,0,0,"Ramirez Asset Management, Inc.",1,ADVERTISED,For Profit,
1320595,132059502,CITY TREASURER,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Management Software,6/30/2015,6/29/2016,0,36565,27423.75,"SS&C Technologies, Inc.",1,ADVERTISED,For Profit,
1320595,132059503,CITY TREASURER,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Management Software,6/30/2016,6/29/2017,363,37662,9415.5,"SS&C Technologies, Inc.",1,ADVERTISED,For Profit,
1520340,152034001,CITY TREASURER,Saul Ewing LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,30,100000,25750.4,Saul Ewing LLP,1,ADVERTISED,For Profit,
1620228,1620228,CITY TREASURER,Standish Mellon Asset Management Company LLC,Investment Advisor-Manager,Investment Manager,11/1/2015,10/31/2016,122,0,0,Standish Mellon Asset Management Company LLC,1,ADVERTISED,For Profit,
1320627,132062703,CITY TREASURER,"Swap Financial Group, LLC",General Consultant Services,swap advisor,1/1/2016,12/31/2016,183,60000,0,"Swap Financial Group, LLC",1,ADVERTISED,For Profit,
1520258,152025801,CITY TREASURER,The Swarthmore Group,Investment Advisor-Manager,Investment manager,1/1/2016,12/31/2016,183,0,0,The Swarthmore Group,1,ADVERTISED,For Profit,
1520339,152033901,CITY TREASURER,"Turner Law, P.C.",Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,30,20000,0,"Turner Law, P.C.",1,ADVERTISED,For Profit,
1520436,152043601,CITY TREASURER,"Turner Law, P.C.",Legal Services,Bond/Disclosure Counsel,12/15/2015,12/14/2016,166,0,0,"Turner Law, P.C.",1,ADVERTISED,For Profit,
1420533,142053301,CITY TREASURER,US Bank National Association,General Consultant Services,Custody - Commer Bank Svs,6/30/2015,6/29/2016,0,0,0,US Bank National Association,1,ADVERTISED,For Profit,
1420533,142053302,CITY TREASURER,US Bank National Association,General Consultant Services,Custody - Commer Bank Svc,6/30/2016,6/29/2017,363,0,0,US Bank National Association,1,ADVERTISED,For Profit,
1420003,142000303,CITY TREASURER,"Wells Fargo Bank, N.A.",General Consultant Services,Payroll Banking,7/1/2015,6/30/2016,0,0,0,"Wells Fargo Bank, N.A.",1,ADVERTISED,For Profit,
MPXX16000203,MPXX16000203,COMMERCE,AAA School of Trucking,Miscellaneous Order,CDL Training - Class A,9/14/2015,6/30/2016,0,25000,5000,AAA School of Trucking,102,EXEMPT,For Profit,
1420272,142027202,COMMERCE,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",General Consultant Services,RENEWAL TWO,7/1/2015,6/30/2016,0,0,10156.57,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",1,ADVERTISED,For Profit,
1320162,132016203,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL THREE,7/1/2015,6/30/2016,0,2635000,783956.88,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit,
1420316,142031603,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO,10/1/2015,9/30/2016,91,200000,45294.53,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit,
1620015,1620015,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,ON CALL AIRPORT PLANNING,7/1/2015,6/30/2016,0,350000,65524.98,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit,
MPXX16000025,MPXX16000025,COMMERCE,ARW Events,Miscellaneous Order,ENTERTAINMENT SERVICES,7/1/2015,6/30/2016,0,30000,24460,ARW Events,102,EXEMPT,For Profit,
1320582,132058203,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL THREE,12/1/2015,11/30/2016,152,100000,0,"AVK Consulting, Inc.",1,ADVERTISED,For Profit,
1520009,152000902,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL ONE,7/1/2015,6/30/2016,0,1200000,759957.77,"AVK Consulting, Inc.",1,ADVERTISED,For Profit,
1520170,152017001,COMMERCE,Allegheny West Foundation,Housing & Economic Development,Time  and cost Extension,7/1/2015,6/30/2016,0,105000,94004.72,Allegheny West Foundation,1,ADVERTISED,Non Profit,
MPXX16000250,MPXX16000250,COMMERCE,Allegheny West Foundation,Miscellaneous Order,Security Camera,10/16/2015,6/30/2016,0,25500,25500,Allegheny West Foundation,102,EXEMPT,Non Profit,
MPXX16000379,MPXX16000379,COMMERCE,Allegheny West Foundation,Miscellaneous Order,Econ Dev. Strategy,5/13/2016,6/30/2016,0,7500,7500,Allegheny West Foundation,102,EXEMPT,Non Profit,
1320207,132020703,COMMERCE,American Association of Airport Executives,General Consultant Services,RENEWAL THREE,7/1/2015,6/30/2016,0,11666.68,180000,American Association of Airport Executives,1,ADVERTISED,For Profit,
1620455,1620455,COMMERCE,Arden Bendler Browning,Performing Artists-Public Art,ART COMPETITION PHL RR,4/1/2016,3/31/2017,273,22000,0,Arden Bendler Browning,1,ADVERTISED,For Profit,
1320498,132049803,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL THREE,10/1/2015,9/30/2016,91,671000,766002.43,"Atkins North America, Inc.",1,ADVERTISED,For Profit,
1520526,152052601,COMMERCE,"Audio Visual Communications, Inc.",General Consultant Services,RENEWAL ONE-TIME ONLY,4/1/2016,3/31/2017,273,0,0,"Audio Visual Communications, Inc.",1,ADVERTISED,For Profit,
1320625,132062503,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL THREE,1/1/2016,12/31/2016,183,1000000,603424.58,"Burns Engineering, Inc.",1,ADVERTISED,For Profit,
1420314,142031402,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL TWO,10/1/2015,9/30/2016,91,300000,0,"Burns Engineering, Inc.",1,ADVERTISED,For Profit,
1620016,162001601,COMMERCE,"C&S Engineers, Inc.",Architect and Engineer Svcs,AMENDMENT ONE-ADD'L FUNDS,7/1/2015,6/30/2016,0,350000,14965.17,"C&S Engineers, Inc.",1,ADVERTISED,For Profit,
1520432,152043201,COMMERCE,"CBIZ MHM, LLC",Accounting and Auditing Svcs,RENEWAL ONE,12/1/2015,11/30/2016,152,100000,0,"CBIZ MHM, LLC",1,ADVERTISED,For Profit,
1620156,1620156,COMMERCE,"CDA& I Architecture and Interiors, LTD",Architect and Engineer Svcs,DESIGN PHL REST ROOMS,12/1/2015,11/30/2016,152,643785,150233.31,"CDA& I Architecture and Interiors, LTD",1,ADVERTISED,For Profit,
1320426,132042604,COMMERCE,"CLEAN RENTAL SVC., INC.",General Consultant Services,RENEWAL THREE,10/1/2015,9/30/2016,91,550000,386569.8,"CLEAN RENTAL SVC., INC.",1,ADVERTISED,For Profit,
1320209,132020904,COMMERCE,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,AMENDMENT ONE-ADD SUB,7/1/2014,6/30/2016,0,1000000,1115119.01,"Carter Hayes Associates,  Inc",1,ADVERTISED,For Profit,
1320209,132020904,COMMERCE,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,AMENDMENT ONE-ADD SUB,7/1/2015,6/30/2016,0,0,547298.56,"Carter Hayes Associates,  Inc",1,ADVERTISED,For Profit,
1520512,152051201,COMMERCE,Center City District,General Consultant Services,Reading Viaduct,4/1/2016,3/31/2017,273,0,0,Center City District,8,EXEMPT,Non Profit,
MPXX16000294,MPXX16000294,COMMERCE,"Centri Business Consulting, LLC",Miscellaneous Order,ACCOUNTING SERVICES,12/14/2015,6/30/2016,0,32000,18900,"Centri Business Consulting, LLC",102,EXEMPT,For Profit,
MPXX16000282,MPXX16000282,COMMERCE,Community Design Collaborative,Miscellaneous Order,Storefront Improvement,7/1/2015,6/30/2016,0,30000,21452,Community Design Collaborative,102,EXEMPT,Non Profit,
1620259,1620259,COMMERCE,Converse Winkler Architecture,Architect and Engineer Svcs,PHL ON CALL ROOFING,1/1/2016,12/31/2016,183,400000,18427.99,Converse Winkler Architecture,1,ADVERTISED,For Profit,
MPXX16000065,MPXX16000065,COMMERCE,"Creative Planning International, Inc d/b/a The Lett Group",Miscellaneous Order,Int'l Etiquette Training,7/1/2015,6/30/2016,0,0,0,"Creative Planning International, Inc d/b/a The Lett Group",102,EXEMPT,For Profit,
320600,32060012,COMMERCE,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 12,12/1/2015,11/30/2017,517,1500000,421855.85,Daroff Design Inc. + DDI Architects PC,,Prior to 2-1-2006,For Profit,
1320191,1320191,COMMERCE,David Brush Consulting,General Consultant Services,AIRPORT OWNER REP SVC,7/1/2012,6/30/2016,0,975000,354894.76,David Brush Consulting,1,ADVERTISED,For Profit,
1520485,152048501,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Penns Landing Improvement,5/1/2015,6/30/2016,0,6300000,5446140,Delaware River Waterfront Corporation,8,EXEMPT,Non Profit,
1520605,1520605,COMMERCE,Delaware River Waterfront Corporation,General Consultant Services,Pier 68 Park,5/1/2015,4/30/2016,0,500000,500000,Delaware River Waterfront Corporation,8,EXEMPT,Non Profit,
MPXX16000179,MPXX16000179,COMMERCE,Drexel University,Miscellaneous Order,Autism Access Program,7/1/2015,6/30/2016,0,0,0,Drexel University,102,EXEMPT,Non Profit,
MPXX16000324,MPXX16000324,COMMERCE,Drexel University,Miscellaneous Order,Autism Access Program,7/1/2015,6/30/2016,0,32000,11962.5,Drexel University,102,EXEMPT,Non Profit,
1620391,1620391,COMMERCE,"EConsult Solutions, Inc",General Consultant Services,North West Corr Consultan,1/1/2016,6/30/2016,0,73000,16000,"EConsult Solutions, Inc",1,ADVERTISED,For Profit,
1620392,1620392,COMMERCE,"EConsult Solutions, Inc",General Consultant Services,Disparity Study,12/15/2015,12/14/2016,166,75000,38728.12,"EConsult Solutions, Inc",1,ADVERTISED,For Profit,
1620134,162013401,COMMERCE,"ELECTRONIC DATA, INC.",Computer and Information Svcs,AMENDMENT ONE,8/1/2015,6/30/2018,729,4718194,753783.88,"ELECTRONIC DATA, INC.",1,ADVERTISED,For Profit,
1320180,132018003,COMMERCE,Elliott Lewis Corp.,General Consultant Services,RENEWAL THREE,7/1/2015,6/30/2016,0,13521624.24,8631268.47,Elliott Lewis Corp.,1,ADVERTISED,For Profit,
1420317,142031702,COMMERCE,Elliott Lewis Corp.,Computer and Information Svcs,RENEWAL TWO,10/1/2015,9/30/2016,91,4564767,0,Elliott Lewis Corp.,1,ADVERTISED,For Profit,
MPXX16000181,MPXX16000181,COMMERCE,"Ellison Group, The",Miscellaneous Order,Training-S.T.A.R.S. LEADS,7/1/2015,6/30/2016,0,32000,30090,"Ellison Group, The",102,EXEMPT,For Profit,
MPXX16000024,MPXX16000024,COMMERCE,Eventive Productions,Miscellaneous Order,ENTERTAINMENT SERVICES,7/1/2015,6/30/2016,0,30000,27338.75,Eventive Productions,102,EXEMPT,For Profit,
1520023,152002301,COMMERCE,FINANTA,Housing & Economic Development,BTAP,7/1/2015,6/30/2016,0,125000,87655.25,FINANTA,1,ADVERTISED,Non Profit,
1320316,132031604,COMMERCE,"Faith Group, LLC",Architect and Engineer Svcs,AMENDMENT ONE-ADD'L FUNDS,7/1/2015,6/30/2016,0,800000,500201.5,"Faith Group, LLC",1,ADVERTISED,For Profit,
1120564,112056405,COMMERCE,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,AMENDMENT TWO-CONTRACT EX,6/1/2015,5/31/2016,0,11194700,9681916.35,"First Transit, Inc  (subsidiary of FirstGroup)",1,ADVERTISED,For Profit,
1120564,112056406,COMMERCE,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,AMENDMENT THREE,6/1/2016,5/31/2017,334,10892249.7,0,"First Transit, Inc  (subsidiary of FirstGroup)",1,ADVERTISED,For Profit,
MPXX16000050,MPXX16000050,COMMERCE,"Forest Applications Training, Inc.",Miscellaneous Order,CHAINSAW MAINTENANCE TRN,7/1/2015,6/30/2016,0,25000,6659.9,"Forest Applications Training, Inc.",102,EXEMPT,For Profit,
1520046,152004601,COMMERCE,Frankford Community Development Corporation,Housing & Economic Development,Time & cost extension,7/1/2015,6/30/2016,0,185000,126421.74,Frankford Community Development Corporation,1,ADVERTISED,Non Profit,
1620214,1620214,COMMERCE,Fund For Philadelphia Inc,General Consultant Services,Philly Goes to College,7/1/2015,6/30/2016,0,642000,642000,Fund For Philadelphia Inc,8,EXEMPT,Non Profit,
1520007,152000702,COMMERCE,"Fuseideas, LLC",Computer and Information Svcs,AMENDMENT TWO,7/1/2015,6/30/2016,0,190000,149494.95,"Fuseideas, LLC",1,ADVERTISED,For Profit,
1520386,152038601,COMMERCE,"GRA,  Inc.",General Consultant Services,RENEWAL ONE,1/1/2016,12/31/2016,183,100000,0,"GRA,  Inc.",1,ADVERTISED,For Profit,
1420415,142041503,COMMERCE,"Gallini Hemmann, Inc.",General Consultant Services,RENEWAL TWO,1/1/2016,12/31/2016,183,55000,45590,"Gallini Hemmann, Inc.",1,ADVERTISED,For Profit,
1520114,152011401,COMMERCE,Germantown United Community Development Corporation,Housing & Economic Development,Contract Extension,7/1/2015,6/30/2016,0,75000,33443.26,Germantown United Community Development Corporation,1,ADVERTISED,Non Profit,
MPXX16000249,MPXX16000249,COMMERCE,Germantown United Community Development Corporation,Miscellaneous Order,Security Cameras,10/16/2015,6/30/2016,0,27500,27500,Germantown United Community Development Corporation,102,EXEMPT,Non Profit,
1420365,142036502,COMMERCE,Gilbane Building Company,Architect and Engineer Svcs,RENEWAL ONE,1/1/2016,12/31/2016,183,1148685,122045.21,Gilbane Building Company,1,ADVERTISED,For Profit,
1220573,122057305,COMMERCE,Global Program Partners,General Consultant Services,AMENDMENT FIVE,5/25/2012,5/24/2016,0,54850000,41584363.09,Global Program Partners,1,ADVERTISED,For Profit,
MPXX16000009,MPXX16000009,COMMERCE,"Grapevine Visual Concepts, Inc.",Miscellaneous Order,EVENT/TRADE SHOW PLANNING,7/1/2015,6/30/2016,0,20000,18066,"Grapevine Visual Concepts, Inc.",102,EXEMPT,For Profit,
1320208,132020805,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,AMENDMENT FIVE,7/1/2015,6/30/2016,0,2200000,1516419.24,"HNTB Pennsylvania, Inc.",1,ADVERTISED,For Profit,
1320624,132062403,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL THREE,1/1/2016,12/31/2016,183,0,67671.95,"HNTB Pennsylvania, Inc.",1,ADVERTISED,For Profit,
