original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor
MPXX13000373,MPXX13000373,City Controllers Office,Uao Enterprises,Miscellaneous Order,Redesign & Implement ARTS,2013-06-24T14:38:24Z,2013-06-30T00:00:00Z,0,30000,0,UAO Enterprises
MPXX13000276,MPXX13000276,City Controllers Office,Withumsmith + Brown,Miscellaneous Order,City Election Proc Audit,2013-01-23T11:08:04Z,2013-06-30T00:00:00Z,0,30000,23112,WithumSmith+Brown
1120409,112040902,City Council,Bolton Partners,General Consultant Services,pension consultant,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,60000,0,Bolton Partners
1320528,1320528,City Council,Econsult Corporation,General Consultant Services,AVI consulting services,2012-09-04T00:00:00Z,2013-09-03T00:00:00Z,65,75000,66038,ECONSULT CORPORATION
MPXX13000314,MPXX13000314,City Council,Econsult Corporation,Miscellaneous Order,Jobs Commission,2012-11-01T00:00:00Z,2013-06-30T00:00:00Z,0,20000,19085,ECONSULT CORPORATION
920858,92085803,City Council,"Granicus, Inc.",Computer and Information Svcs,"legistar maint, & upgrade",2012-06-30T00:00:00Z,2013-06-29T00:00:00Z,0,0,,
MPXX13000374,MPXX13000374,City Council,Hugh Haynie,Miscellaneous Order,Video Production SVS IPCC,2013-03-01T00:00:00Z,2013-06-30T00:00:00Z,0,30000,0,Hugh Haynie
1320689,1320689,City Council,Kimmel Group Inc.,General Consultant Services,desktop and email support,2013-04-01T00:00:00Z,2014-03-31T00:00:00Z,274,175000,20615,Kimmel Group Inc.
MPXX13000339,MPXX13000339,City Council,Mdc Systems Enterprises,Miscellaneous Order,energy strategies,2013-04-19T09:35:02Z,2013-06-30T00:00:00Z,0,15000,0,MDC Systems Enterprises
MPXX13000337,MPXX13000337,City Council,The Reinvestment Fund,Miscellaneous Order,sustainable community,2013-04-15T11:20:38Z,2013-06-30T00:00:00Z,0,30000,17512,The Reinvestment Fund
1220535,122053501,City Council,"Wurd Radio, LLC Fka Levas Communications, LLC",General Consultant Services,broadcast of sessions,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,60000,,
MPXX13000359,MPXX13000359,City Planning,Carney And Company,Miscellaneous Order,Citizens Planning Inst,2013-06-11T00:00:00Z,2013-06-30T00:00:00Z,0,6000,0,Carney and Company
1020251,102025104,City Planning,Clarion Associates,General Consultant Services,Rewal for Zoning Code Tr ,2012-05-01T00:00:00Z,2013-06-30T00:00:00Z,0,70000,75286,Clarion Associates
1320361,132036101,City Planning,Interface Studio LLC,General Consultant Services,Renewal,2013-02-01T00:00:00Z,2013-06-30T00:00:00Z,0,0,0,Interface Studio LLC
1320653,1320653,City Planning,"Michael Baker Jr., Inc.",General Consultant Services,FrnkFrd Crk Grnwy Study ,2013-03-04T00:00:00Z,2014-01-31T00:00:00Z,215,75000,75000,
MPXX13000287,MPXX13000287,City Planning,"University Of Pennsylvania, Trustees Of The",Miscellaneous Order,Work Study Interns,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,10000,10000,
1120044,112004402,City Representative,Greater Philadelphia Film Office Inc.,General Consultant Services,Promotional Services,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,167400,163952,Greater Philadelphia Film Office Inc.
1220291,122029101,City Representative,Historic Philadelphia Inc.,General Consultant Services,Historic Tours of Phila,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,207900,204452,Historic Philadelphia Inc.
MPXX13000201,MPXX13000201,City Representative,Letter27,Miscellaneous Order,Branding for Philadelphia,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,28924.24,28924,letter27
1320648,1320648,City Treasurer,Andre C Dasent P C       ,Legal Services,Bond Counsel - PGW &Water,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,ANDRE C DASENT P C       
1320338,1320338,City Treasurer,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor,2012-08-01T00:00:00Z,2013-07-31T00:00:00Z,31,0,0,
1120293,112029302,City Treasurer,"Ann C. Lebowitz, Esq. D/b/a Law Office Of Ann C. Lebowitz",Legal Services,Bond Counsel GO and OTB,2012-10-08T00:00:00Z,2013-10-07T00:00:00Z,99,0,0,
1320647,1320647,City Treasurer,Ballard Spahr LLP,Legal Services,Bond Counsel - PGW &Water,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,30000,0,Ballard Spahr LLP
1320646,1320646,City Treasurer,Blank Rome LLP,Legal Services,Bond Counsel - PGW,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,Blank Rome LLP
1120292,112029202,City Treasurer,Cozen O'connor,Legal Services,Bond Counsel - GO and OTB,2012-10-08T00:00:00Z,2013-10-07T00:00:00Z,99,0,0,Cozen O'Connor
1220136,122013601,City Treasurer,Dilworth Paxson LLP,Legal Services,Legal Counsel,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,0,0,Dilworth Paxson LLP
1120384,112038402,City Treasurer,Econsult Corporation,General Consultant Services,Authorized Depositories,2012-12-15T00:00:00Z,2013-12-14T00:00:00Z,167,41000,20500,ECONSULT CORPORATION
1020581,102058103,City Treasurer,First Southwest Company ,General Consultant Services,Financial Advisor-Airport,2013-03-08T00:00:00Z,2014-03-07T00:00:00Z,250,20000,0,First Southwest Company 
1020582,102058203,City Treasurer,"Frasca & Associates, LLC",General Consultant Services,Financial Advisor Airport,2013-03-08T00:00:00Z,2014-03-07T00:00:00Z,250,20000,20000,
1020608,102060802,City Treasurer,"Goldman, Sachs & Co",General Consultant Services,Placement Agent,2012-05-15T00:00:00Z,2013-05-14T00:00:00Z,0,0,0,
1020585,102058503,City Treasurer,Gonzalez Saggio & Harlan LLP,Legal Services,Bond Counsel-Airport,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,215,0,0,Gonzalez Saggio & Harlan LLP
1220137,122013701,City Treasurer,Gonzalez Saggio & Harlan LLP,Legal Services,Legal Counsel - TRAN,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,0,0,Gonzalez Saggio & Harlan LLP
1020470,102047003,City Treasurer,Hughes Capital Management Inc,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,Hughes Capital Management Inc
MPXX13000204,MPXX13000204,City Treasurer,"Imagemaster, Inc.",Miscellaneous Order,Printing Ser - All Credit,2012-09-24T14:37:51Z,2013-06-30T00:00:00Z,0,1,1,
1320649,1320649,City Treasurer,Law Offices Of Denise Joy Smyler,Legal Services,Bond Counsel - Water,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,Law Offices of Denise Joy Smyler
1020478,102047803,City Treasurer,"Logan Circle Partners, L.P.",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,
MPXX13000177,MPXX13000177,City Treasurer,"Mcelwes And Quinn, LLC",Miscellaneous Order,Printer - All Credits ,2012-09-25T00:00:00Z,2013-06-30T00:00:00Z,0,1,1,
1020471,102047103,City Treasurer,"Pfm Asset Management, LLC",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,
1220495,122049501,City Treasurer,"Pfm Asset Management, LLC",General Consultant Services,Banking Srvs Consultant,2012-02-01T00:00:00Z,2013-11-06T00:00:00Z,129,94000,34000,
1320366,1320366,City Treasurer,"Pfm Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,77000,22500,
1020479,102047903,City Treasurer,Pnc Capital Advisors,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,PNC Capital Advisors
1020445,102044503,City Treasurer,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor - PGW,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,
1220175,122017501,City Treasurer,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor,2012-07-12T00:00:00Z,2013-07-11T00:00:00Z,11,0,0,
1020444,102044403,City Treasurer,Public Financial Management Inc,General Consultant Services,Financial Advisor - PGW,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,Public Financial Management Inc
1220174,122017401,City Treasurer,Public Financial Management Inc,General Consultant Services,Financial Advisor,2012-07-12T00:00:00Z,2013-07-11T00:00:00Z,11,0,0,Public Financial Management Inc
1320337,1320337,City Treasurer,Public Financial Management Inc,General Consultant Services,Financial Advisor,2012-08-01T00:00:00Z,2013-07-31T00:00:00Z,31,0,0,Public Financial Management Inc
1020480,102048003,City Treasurer,"Rbc Global Asset Management (u.S.), Inc",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,
1320595,1320595,City Treasurer,"Ss&c Technologies, Inc.",Computer and Information Svcs,Debt Management Software,2013-06-30T00:00:00Z,2014-06-29T00:00:00Z,364,180500,180500,
1020584,102058404,City Treasurer,Saul Ewing LLP,Legal Services,Legal Counsel,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,215,20000,0,Saul Ewing LLP
1320627,1320627,City Treasurer,"Swap Financial Group, LLC",General Consultant Services,Swap Advisor,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,60000,45000,
1020473,102047303,City Treasurer,"Td Bank, Na",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,
1020469,102046903,City Treasurer,The Swarthmore Group,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,The Swarthmore Group
1120209,112020902,City Treasurer,Us Bank National Association,General Consultant Services,Custody Agreement,2012-08-01T00:00:00Z,2013-07-31T00:00:00Z,31,0,0,US Bank National Association
1020482,102048203,City Treasurer,"Wells Capital Management, Inc",General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,
1020403,102040303,City Treasurer,"Wells Fargo Bank, N.A.",General Consultant Services,Payroll Banking Services,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,0,0,
1020472,102047203,City Treasurer,Western Asset Management,General Consultant Services,Investment Manager,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,Western Asset Management
920878,92087803,Commerce,"Abs Aviation Consultancy, Inc Dba Airport Business Solutions",General Consultant Services,RENEWAL THREE,2012-06-01T00:00:00Z,2013-05-31T00:00:00Z,0,0,-40330,
1320226,1320226,Commerce,Achieveability,Housing & Economic Development,Commercial Corridor Clean,2012-09-01T00:00:00Z,2013-06-30T00:00:00Z,0,30000,11718,ACHIEVEability
1020173,102017303,Commerce,"Aecom Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL THREE,2012-08-01T00:00:00Z,2013-07-31T00:00:00Z,31,175000,162171,
1120268,112026802,Commerce,"Aecom Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,590000,237779,
1320161,1320161,Commerce,"Aecom Technical Services, Inc.",Architect and Engineer Svcs,ON-CALL AIRPORT PLANNING ,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,350000,121723,
1320162,1320162,Commerce,"Aecom Technical Services, Inc.",Architect and Engineer Svcs,ON-CALL PM/CM,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,2663000,1021033,
MPXX13000141,MPXX13000141,Commerce,Arw Events,Miscellaneous Order,Entertainment Services,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,30000,24045,ARW Events
1020449,102044903,Commerce,"Avk Consulting, Inc.",General Consultant Services,RENEWAL THREE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,195000,114257,
1320582,1320582,Commerce,"Avk Consulting, Inc.",General Consultant Services,AIRPORT SPACE PLANNING ,2012-12-01T00:00:00Z,2013-11-30T00:00:00Z,153,100000,59924,
MPXX13000282,MPXX13000282,Commerce,All State Career,Miscellaneous Order,Empl. Commer. Driver Trng,2013-01-30T08:53:28Z,2013-06-30T00:00:00Z,0,25000,0,All State Career
1320171,1320171,Commerce,Allegheny West Foundation,Housing & Economic Development,TCMP,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,75000,52418,Allegheny West Foundation
1320207,1320207,Commerce,American Association Of Airport Executives,General Consultant Services,AAAE CONFERENCE SERVICES,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,530000,11667,American Association of Airport Executives
1320498,1320498,Commerce,"Atkins North America, Inc.",Architect and Engineer Svcs,ON-CALL CIVIL ENGINEERING,2012-10-01T00:00:00Z,2013-09-30T00:00:00Z,92,500000,500000,
1320622,1320622,Commerce,Atwater Kent Museum Associates,General Consultant Services,Renovations,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,200000,200000,Atwater Kent Museum Associates
1120431,112043102,Commerce,"Audio Visual Communications, Inc.",General Consultant Services,RENEWAL TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,100000,74964,
1320334,1320334,Commerce,"Avenue Of The Arts, Inc.",General Consultant Services,Ave of  the Arts Prog,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,80000,0,
1220407,122040701,Commerce,Buell Kratzer Powell ,Architect and Engineer Svcs,RENEWAL ONE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,150000,0,Buell Kratzer Powell 
1320625,1320625,Commerce,"Burns Engineering, Inc.",Architect and Engineer Svcs,ON-CALL M&E ENGINEERING,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,1000000,1000000,
1320426,1320426,Commerce,"Clean Rental Svc., Inc.",General Consultant Services,UNIFORM SERVICES,2012-10-01T00:00:00Z,2013-09-30T00:00:00Z,92,550000,230225,
1320209,1320209,Commerce,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,ON-CALL PM/CM,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,1000000,786926,
1220183,122018301,Commerce,Center City District Inc,General Consultant Services,Dilworth Plaza Improvemen,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,0,890401,Center City District Inc
1220466,122046601,Commerce,Center City District Inc,General Consultant Services,Pedestrian lighting,2012-12-01T00:00:00Z,2013-05-31T00:00:00Z,0,25000,25000,Center City District Inc
1220487,122048701,Commerce,Center City District Inc,General Consultant Services,Callowhill Reading Viaduc,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,Center City District Inc
1220412,122041201,Commerce,Converse Winkler Architecture,Architect and Engineer Svcs,RENEWAL ONE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,400000,12674,Converse Winkler Architecture
320600,32060009,Commerce,Daroff Design Inc. + Ddi Architects Pc,Architect and Engineer Svcs,AMENDMENT 9,2012-12-01T00:00:00Z,2013-11-30T00:00:00Z,153,2137736,87975,Daroff Design Inc. + DDI Architects PC
1320191,1320191,Commerce,David Brush Consulting,General Consultant Services,AIRPORT OWNER REP SVC,2012-07-01T00:00:00Z,2016-06-30T00:00:00Z,1096,975000,183680,David Brush Consulting
1220498,122049801,Commerce,Delaware River Waterfront Corporation,General Consultant Services,Public Improvements,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,1500000,0,Delaware River Waterfront Corporation
1220057,122005701,Commerce,"Diversified Community Services, Inc ",Housing & Economic Development,Cleaning,2012-09-01T00:00:00Z,2013-06-30T00:00:00Z,0,30000,30000,
1120513,112051303,Commerce,Econsult Corporation,General Consultant Services,Amendment #3,2012-08-01T00:00:00Z,2013-07-31T00:00:00Z,31,80000,63853,ECONSULT CORPORATION
1220467,122046701,Commerce,Ellen Harvey Studio LLC,Performing Artists-Public Art,RENEWAL ONE,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,215,0,0,Ellen Harvey Studio LLC
1020111,102011103,Commerce,Elliott Lewis Corp.,Computer and Information Svcs,RENEWAL THREE,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,5227312,4024799,Elliott Lewis Corp.
1320180,1320180,Commerce,Elliott Lewis Corp.,General Consultant Services,FACILITIES MAINTENANCE ,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,9727440,5563126,Elliott Lewis Corp.
MPXX13000190,MPXX13000190,Commerce,"Ellison Group, The",Miscellaneous Order,Professional Development ,2012-09-01T00:00:00Z,2013-06-30T00:00:00Z,0,25000,2165,
MPXX13000047,MPXX13000047,Commerce,Eventive Productions,Miscellaneous Order,Entertainment Services,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,30000,29260,Eventive Productions
1320160,1320160,Commerce,Finanta,Housing & Economic Development,BTAP,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,125000,68308,FINANTA
1220185,122018501,Commerce,Fairmount Community Development Corporation,Housing & Economic Development,1st Amendment,2012-08-01T00:00:00Z,2013-07-31T00:00:00Z,31,15000,2168,Fairmount Community Development Corporation
1320316,1320316,Commerce,"Faith Group, LLC",Architect and Engineer Svcs,ON-CALL SECURITY/SPECIAL,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,500000,500000,
1120564,112056401,Commerce,"First Transit, Inc  (subsidiary Of Firstgroup)",General Consultant Services,RENEWAL ONE,2012-06-01T00:00:00Z,2013-05-31T00:00:00Z,0,1.00214595E7,1744205,
1120564,112056402,Commerce,"First Transit, Inc  (subsidiary Of Firstgroup)",General Consultant Services,RENEWAL TWO,2013-06-01T00:00:00Z,2014-05-31T00:00:00Z,335,1.04368E7,10436800,
1320225,1320225,Commerce,Francisville Neighborhood Development Corp.,Housing & Economic Development,Commercial Corridor Clean,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,40000,15352,Francisville Neighborhood Development Corp.
1320184,1320184,Commerce,Frankford Community Development Corporation,Housing & Economic Development,TCMP,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,75000,54784,Frankford Community Development Corporation
1320597,1320597,Commerce,Frankford Community Development Corporation,Housing & Economic Development,Commercial Corridor Clean,2012-09-01T00:00:00Z,2013-06-30T00:00:00Z,0,40000,23666,Frankford Community Development Corporation
1320656,1320656,Commerce,Fund For Philadelphia Inc,General Consultant Services,Neighbor Funding Stream,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,0,0,Fund For Philadelphia Inc
1020287,102028704,Commerce,"Fuseideas, LLC",Computer and Information Svcs,RENEWAL THREE,2012-08-01T00:00:00Z,2013-07-31T00:00:00Z,31,95000,33249,
1120392,112039203,Commerce,"Gra,  Inc.",General Consultant Services,RENEWAL TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,200000,200000,
1020213,102021303,Commerce,"Gallini Hemmann, Inc.",General Consultant Services,RENEWAL THREE,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,110000,74985,
920834,92083403,Commerce,Gilbane Building Company,Architect and Engineer Svcs,RENEWAL THREE,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,4694000,2850806,Gilbane Building Company
1220573,1220573,Commerce,Global Program Partners,General Consultant Services,PROGRAM MNGMNT (PMO) SVC,2012-05-25T00:00:00Z,2016-05-24T00:00:00Z,1059,2.5E7,7913885,Global Program Partners
MPXX13000053,MPXX13000053,Commerce,Grapevine Exhibits,Miscellaneous Order,Event & Trade show servic,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,20000,6905,Grapevine Exhibits
1020634,102063402,Commerce,Gresham Smith & Partners (gs&p),Architect and Engineer Svcs,RENEWAL TWO,2012-06-01T00:00:00Z,2013-05-31T00:00:00Z,0,650000,418419,Gresham Smith & Partners (GS&P)
1020634,102063403,Commerce,Gresham Smith & Partners (gs&p),Architect and Engineer Svcs,RENEWAL THREE ,2013-06-01T00:00:00Z,2014-05-31T00:00:00Z,335,0,0,Gresham Smith & Partners (GS&P)
1020468,102046804,Commerce,"Hntb Pennsylvania, Inc. ",General Consultant Services,RENEWAL THREE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,705000,705000,
1320208,1320208,Commerce,"Hntb Pennsylvania, Inc. ",Architect and Engineer Svcs,ON-CALL PM/CM,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,1000000,782576,
1320624,1320624,Commerce,"Hntb Pennsylvania, Inc. ",Architect and Engineer Svcs,ON-CALL M&E ENGINEERING,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,1000000,1000000,
MPXX13000198,MPXX13000198,Commerce,"Heffler, Radetich & Saitta LLP   ",Miscellaneous Order,DCED Grant Audits,2012-08-22T00:00:00Z,2013-06-30T00:00:00Z,0,10000,0,
1320085,132008501,Commerce,"Hill International, Inc.",General Consultant Services,AMENDMENT ONE,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,2600000,301123,
1320185,1320185,Commerce,Hispanic Assoc Of Contractors & Enterprises Inc,Housing & Economic Development,TCMP & CC,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,120000,80984,Hispanic Assoc of Contractors & Enterprises Inc
MPXX13000111,MPXX13000111,Commerce,Imx Medical Management Services,Miscellaneous Order,Personnel Examining Serv,2012-07-15T00:00:00Z,2013-06-30T00:00:00Z,0,20000,7450,IMX Medical Management Services
1320168,1320168,Commerce,Impact Community Development Corporation,Housing & Economic Development,TCMP & CC,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,115000,0,Impact Community Development Corporation
1120420,112042002,Commerce,Intervistas Consulting LLC,General Consultant Services,RENEWAL TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,200000,0,InterVISTAS Consulting LLC
1220172,122017201,Commerce,International Visitors Council,General Consultant Services,1st amendment,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,162000,162000,International Visitors Council
1320496,1320496,Commerce,"Johnson, Mirmiran & Thompson",Architect and Engineer Svcs,ON-CALL CIVIL ENGINEERING,2012-10-01T00:00:00Z,2013-09-30T00:00:00Z,92,500000,435960,
920884,92088401,Commerce,"Jones Payne Group, Inc.",Architect and Engineer Svcs,RENEWAL ONE,2012-05-01T00:00:00Z,2013-04-30T00:00:00Z,0,312000,-633949,
MPXX13000055,MPXX13000055,Commerce,Karen Friedman Enterprises,Miscellaneous Order,Media Training Service,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,25000,11255,Karen Friedman Enterprises
1020460,102046002,Commerce,"Kelly/maiello, Inc. ",Architect and Engineer Svcs,RENEWAL AMENDMENT TWO,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,784270,778944,
1320457,1320457,Commerce,Ken Weeden & Associates,General Consultant Services,ON-CALL DBE CONSULTING ,2012-09-01T00:00:00Z,2013-08-31T00:00:00Z,62,75000,32217,Ken Weeden & Associates
1320167,1320167,Commerce,Korean Community Development Services Center,Housing & Economic Development,TCMP & CC,2012-07-01T00:00:00Z,2013-06-01T00:00:00Z,0,150000,105357,Korean Community Development Services Center
1020467,102046704,Commerce,Leighfisher Inc.,General Consultant Services,RENEWAL THREE,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,184,350000,0,Jacobs Consultancy
MPXX13000052,MPXX13000052,Commerce,Marilyn Marles Dba Marles Group,Miscellaneous Order,On-Call H/R Consulting,2012-07-01T00:00:00Z,2013-06-30T00:00:00Z,0,15000,13250,Marilyn Marles dba Marles Group
MPXX13000168,MPXX13000168,Commerce,"Mayer, Hoffman, Mccann Pc",Miscellaneous Order,2011 PFC Audit Services,2012-08-15T00:00:00Z,2013-06-30T00:00:00Z,0,24000,,
