original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining, amt , tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
1520354,1520354,CITY REPRESENTATIVE,Greater Philadelphia Film Office Inc.,General Consultant Services,Promote City for film use,7/1/14,6/30/15,91," 163,952.00 "," 163,952.00 ",Greater Philadelphia Film Office Inc.,08,EXEMPT,Non Profit
1220291,122029103,CITY REPRESENTATIVE,Historic Philadelphia Inc.,General Consultant Services,Historic Tours of Phila,7/1/14,6/30/15,91," 204,452.00 "," 204,452.00 ",Historic Philadelphia Inc.,08,EXEMPT,Non Profit
1520338,1520338,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Airport,8/1/14,7/31/15,122," 20,000.00 ", -   ,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1320338,132033802,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor,8/1/14,7/31/15,122, -   , -   ,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1320649,132064902,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond Counsel - Water,1/1/15,12/31/15,275, -   , -   ,Law Offices of Denise Joy Smyler,01,ADVERTISED,For Profit
1520434,1520434,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/14,12/14/15,258, -   , -   ,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1120293,112029304,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GO Bond Counsel,10/8/14,1/7/15,0, -   , -   ,"Grant & Lebowitz, LLC.",01,ADVERTISED,For Profit
1520439,1520439,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/14,12/14/15,258, -   , -   ,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
1120292,112029204,CITY TREASURER,Cozen O'Connor,Legal Services,GO Bond Counsel,10/8/14,1/7/15,0," 65,000.00 "," 51,281.10 ",Cozen O'Connor,01,ADVERTISED,For Profit
1220136,122013603,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,7/1/14,6/30/15,91, -   , -   ,Dilworth Paxson LLP,01,ADVERTISED,For Profit
1520341,1520341,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Bond Counsel - Airport,8/1/14,7/31/15,122," 15,000.00 ", -   ,Dilworth Paxson LLP,01,ADVERTISED,For Profit
1520453,1520453,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Authorized Depositories,12/15/14,12/14/15,258," 45,100.00 "," 22,500.00 ","EConsult Solutions, Inc",01,ADVERTISED,For Profit
1420529,1420529,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond Counsel -,4/1/14,3/31/15,0, -   , -   ,"Eckert Seamans Cherin & Mellott, LLC",06,EXEMPT,For Profit
1520437,1520437,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond & Disclosure Counsel,12/15/14,12/14/15,258, -   , -   ,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1520249,1520249,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Financial Advisor Airport,8/1/14,7/31/15,122," 50,000.00 ", -   ,"Frasca & Associates, LLC",01,ADVERTISED,For Profit
1220137,122013703,CITY TREASURER,Gonzalez Saggio & Harlan LLP,Legal Services,Legal Services - TRAN,7/1/14,6/30/15,91, -   , -   ,Gonzalez Saggio & Harlan LLP,01,ADVERTISED,For Profit
1520450,1520450,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,GF Disclosure Counsel,12/15/14,12/14/15,258, -   , -   ,Hawkins Delafield & Wood LLP,01,ADVERTISED,For Profit
1520347,1520347,CITY TREASURER,Katten Muchin Rosenman LLP,Legal Services,Bond Counsel - Airport,8/1/14,7/31/15,122," 100,000.00 ", -   ,Katten Muchin Rosenman LLP,01,ADVERTISED,For Profit
1520343,1520343,CITY TREASURER,Kutak Rock LLP,Legal Services,Bond Counsel - Airport,8/1/14,7/31/15,122," 75,000.00 ", -   ,Kutak Rock LLP,01,ADVERTISED,For Profit
MPXX15000160,MPXX15000160,CITY TREASURER,"McElwes and Quinn, LLC",Miscellaneous Order,Printer,8/1/14,6/30/15,91, 1.00 , -   ,"McElwes and Quinn, LLC",102,EXEMPT,For Profit
1320654,132065402,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Counsel - PGW,1/1/15,12/31/15,275, -   , -   ,Nixon Peabody LLP,01,ADVERTISED,For Profit
1520342,1520342,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Counsel - Airport,8/1/14,7/31/15,122," 20,000.00 ", -   ,Nixon Peabody LLP,01,ADVERTISED,For Profit
1320366,132036602,CITY TREASURER,"PFM Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,7/1/14,6/30/15,91," 77,000.00 "," 52,000.00 ","PFM Asset Management, LLC",01,ADVERTISED,For Profit
1220175,122017503,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor - Water,7/12/14,7/11/15,102, -   , -   ,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
1420485,142048501,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor-PGW,1/1/15,12/31/15,275, -   , -   ,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
1220174,122017404,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Municipal FA - Water,7/12/14,7/11/15,102," 150,000.00 ", -   ,Public Financial Management Inc,01,ADVERTISED,For Profit
1320337,132033702,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Financial Advisor,8/1/14,7/31/15,122, -   , -   ,Public Financial Management Inc,01,ADVERTISED,For Profit
1520250,1520250,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Financial Advisor Airport,8/1/14,7/31/15,122," 50,000.00 ", -   ,Public Financial Management Inc,01,ADVERTISED,For Profit
1320595,132059501,CITY TREASURER,"SS&C Technologies, Inc.",Computer and Information Svcs,Debt Management Software,6/30/14,6/29/15,90," 35,500.00 "," 26,625.00 ","SS&C Technologies, Inc.",01,ADVERTISED,For Profit
1520340,1520340,CITY TREASURER,Saul Ewing LLP,Legal Services,Bond Counsel - Airport,8/1/14,7/31/15,122," 75,000.00 ", -   ,Saul Ewing LLP,01,ADVERTISED,For Profit
1320627,132062702,CITY TREASURER,"Swap Financial Group, LLC",General Consultant Services,Swap Advisor,1/1/15,12/31/15,275," 60,000.00 ", -   ,"Swap Financial Group, LLC",01,ADVERTISED,For Profit
1520339,1520339,CITY TREASURER,"Turner Law, P.C.",Legal Services,Bond Counsel - Airport,8/1/14,7/31/15,122," 20,000.00 ", -   ,"Turner Law, P.C.",01,ADVERTISED,For Profit
1420272,142027201,COMMERCE,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",General Consultant Services,RENEWAL ONE,7/1/14,6/30/15,91, -   ," 10,911.89 ","ABS Aviation Consultancy, Inc dba Airport Business Solutions",01,ADVERTISED,For Profit
1520032,1520032,COMMERCE,ACHIEVEability,Housing & Economic Development,Comm Corridor Cleaning,7/1/14,6/30/15,91," 27,500.00 "," 6,868.02 ",ACHIEVEability,01,ADVERTISED,Non Profit
1320161,132016102,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO - TIME ONLY,7/1/14,6/30/15,91, -   , -   ,"AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
1320162,132016202,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO,7/1/14,6/30/15,91," 500,000.00 "," 568,385.02 ","AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
1420316,142031602,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,10/1/14,9/30/15,183, -   ," 19,154.60 ","AECOM Technical Services, Inc.",01,ADVERTISED,For Profit
1320582,132058202,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,RENEWAL TWO,12/1/14,11/30/15,244," 100,000.00 "," 47,511.72 ","AVK Consulting, Inc.",01,ADVERTISED,For Profit
1520009,152000901,COMMERCE,"AVK Consulting, Inc.",General Consultant Services,AMENDMENT ONE,7/1/14,6/30/15,91," 1,350,000.00 "," 768,174.46 ","AVK Consulting, Inc.",01,ADVERTISED,For Profit
1520033,1520033,COMMERCE,African Cultural Alliance of North America,Housing & Economic Development,Comm Corridor Cleaning,7/1/14,6/30/15,91," 35,000.00 ", -   ,African Cultural Alliance of North America,01,ADVERTISED,Non Profit
MPXX15000218,MPXX15000218,COMMERCE,All State Career,Miscellaneous Order,Commerical Drivers CDL,9/23/14,6/30/15,91," 25,000.00 ", -   ,All State Career,102,EXEMPT,For Profit
1520170,1520170,COMMERCE,Allegheny West Foundation,Housing & Economic Development,TCMP &  Corridor Cleaning,7/1/14,6/30/15,91," 105,000.00 "," 39,035.09 ",Allegheny West Foundation,01,ADVERTISED,Non Profit
1320207,132020702,COMMERCE,American Association of Airport Executives,General Consultant Services,RENEWAL TWO,7/1/14,6/30/15,91, -   ," 200,000.00 ",American Association of Airport Executives,01,ADVERTISED,For Profit
1320498,132049802,COMMERCE,"Atkins North America, Inc.",Architect and Engineer Svcs,RENEWAL TWO,10/1/14,9/30/15,183," 600,000.00 "," 50,000.00 ","Atkins North America, Inc.",01,ADVERTISED,For Profit
1120431,112043104,COMMERCE,"Audio Visual Communications, Inc.",General Consultant Services,AMENDMENT FOUR-TIME ONLY,1/1/15,3/30/15,0, -   , -   ,"Audio Visual Communications, Inc.",01,ADVERTISED,For Profit
1520042,1520042,COMMERCE,"Avenue of the Arts, Inc.",General Consultant Services,Ave of the Arts,7/1/14,6/30/15,91," 80,000.00 "," 80,000.00 ","Avenue of the Arts, Inc.",08,EXEMPT,Non Profit
1220407,122040703,COMMERCE,Buell Kratzer Powell,Architect and Engineer Svcs,RENEWAL THREE-TIME ONLY,1/1/15,12/31/15,275, -   ," 6,549.02 ",Buell Kratzer Powell,01,ADVERTISED,For Profit
1320625,132062502,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL TWO,1/1/15,12/31/15,275," 2,000,000.00 ", -   ,"Burns Engineering, Inc.",01,ADVERTISED,For Profit
1420314,142031401,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL ONE-TIME ONLY,10/1/14,9/30/15,183, -   , -   ,"Burns Engineering, Inc.",01,ADVERTISED,For Profit
1320426,132042603,COMMERCE,"CLEAN RENTAL SVC., INC.",General Consultant Services,AMENDMENT ONE,10/1/14,9/30/15,183," 550,000.00 "," 306,289.65 ","CLEAN RENTAL SVC., INC.",01,ADVERTISED,For Profit
1320209,132020902,COMMERCE,"Carter Hayes Associates,  Inc",Architect and Engineer Svcs,RENEWAL TWO,7/1/14,6/30/15,91," 1,000,000.00 "," 322,678.72 ","Carter Hayes Associates,  Inc",01,ADVERTISED,For Profit
1220183,122018303,COMMERCE,Center City District,General Consultant Services,Dilworth Plaza,7/1/14,6/30/15,91," 750,000.00 "," 750,000.00 ",Center City District,08,EXEMPT,Non Profit
MPXX15000210,MPXX15000210,COMMERCE,Chestnut Hill District,Miscellaneous Order,10 plan update,7/23/14,6/30/15,91," 18,000.00 "," 10,000.00 ",Chestnut Hill District,102,EXEMPT,Non Profit
1220412,122041203,COMMERCE,Converse Winkler Architecture,Architect and Engineer Svcs,RENEWAL THREE,1/1/15,12/31/15,275," 200,000.00 "," 48,146.42 ",Converse Winkler Architecture,01,ADVERTISED,For Profit
0320600,032060011,COMMERCE,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 11-TIME ONLY,12/1/14,11/30/15,244, -   , -   ,Daroff Design Inc. + DDI Architects PC,,Prior to 2-1-2006,For Profit
1320191,1320191,COMMERCE,David Brush Consulting,General Consultant Services,AIRPORT OWNER REP SVC,7/1/12,6/30/16,457," 975,000.00 "," 354,894.76 ",David Brush Consulting,01,ADVERTISED,For Profit
1520031,1520031,COMMERCE,"Diversified Community Services, Inc",Housing & Economic Development,Comm Corridor Cleaning,7/1/14,6/30/15,91," 25,000.00 "," 3,491.27 ","Diversified Community Services, Inc",01,ADVERTISED,Non Profit
MPXX15000211,MPXX15000211,COMMERCE,East Falls Development Corporation,Miscellaneous Order,Banner poles planning,7/23/14,6/30/15,91," 2,000.00 ", -   ,East Falls Development Corporation,102,EXEMPT,Non Profit
1320180,132018002,COMMERCE,Elliott Lewis Corp.,General Consultant Services,RENEWAL TWO,7/1/14,6/30/15,91," 13,159,733.24 "," 5,468,418.03 ",Elliott Lewis Corp.,01,ADVERTISED,For Profit
1420317,142031701,COMMERCE,Elliott Lewis Corp.,Computer and Information Svcs,RENEWAL ONE,10/1/14,9/30/15,183," 4,456,552.00 "," 2,088,698.10 ",Elliott Lewis Corp.,01,ADVERTISED,For Profit
MPXX15000217,MPXX15000217,COMMERCE,"Ellison Group, The",Miscellaneous Order,Professional Dev,9/23/14,6/30/15,91," 30,000.00 "," 17,690.00 ","Ellison Group, The",102,EXEMPT,For Profit
MPXX15000068,MPXX15000068,COMMERCE,Eventive Productions,Miscellaneous Order,Entertainment Services,7/1/14,6/30/15,91," 30,000.00 "," 27,805.00 ",Eventive Productions,102,EXEMPT,For Profit
1520023,1520023,COMMERCE,FINANTA,Housing & Economic Development,BTAP,7/1/14,6/30/15,91," 75,000.00 "," 36,215.86 ",FINANTA,01,ADVERTISED,Non Profit
1320316,132031602,COMMERCE,"Faith Group, LLC",Architect and Engineer Svcs,RENEWAL TWO,7/1/14,6/30/15,91," 1,500,000.00 "," 542,161.25 ","Faith Group, LLC",01,ADVERTISED,For Profit
1120564,112056404,COMMERCE,"First Transit, Inc  (subsidiary of FirstGroup)",General Consultant Services,AMENDMENT ONE,6/1/14,5/31/15,61," 10,762,400.50 "," 8,037,194.32 ","First Transit, Inc  (subsidiary of FirstGroup)",01,ADVERTISED,For Profit
1520046,1520046,COMMERCE,Frankford Community Development Corporation,Housing & Economic Development,TCMP& CC,7/1/14,6/30/15,91," 185,000.00 "," 57,805.04 ",Frankford Community Development Corporation,01,ADVERTISED,Non Profit
1520007,1520007,COMMERCE,"Fuseideas, LLC",Computer and Information Svcs,WEBSITE HOSTING,7/1/14,6/30/15,91," 160,000.00 "," 56,580.17 ","Fuseideas, LLC",01,ADVERTISED,For Profit
1520386,1520386,COMMERCE,"GRA,  Inc.",General Consultant Services,PHL AIR SERVICE DEVELOP,1/1/15,12/31/15,275," 100,000.00 ", -   ,"GRA,  Inc.",01,ADVERTISED,For Profit
1420415,142041502,COMMERCE,"Gallini Hemmann, Inc.",General Consultant Services,RENEWAL ONE,1/1/15,12/31/15,275," 20,000.00 ", -   ,"Gallini Hemmann, Inc.",01,ADVERTISED,For Profit
1520114,1520114,COMMERCE,Germantown United Community Development Corporation,Housing & Economic Development,TCMP,7/1/14,6/30/15,91," 75,000.00 "," 7,473.26 ",Germantown United Community Development Corporation,01,ADVERTISED,Non Profit
1420365,1420365,COMMERCE,Gilbane Building Company,Architect and Engineer Svcs,TERMINAL D-E EXPANSION CM,1/1/14,12/31/15,275," 2,500,000.00 "," 1,632,751.36 ",Gilbane Building Company,01,ADVERTISED,For Profit
1220573,122057303,COMMERCE,Global Program Partners,General Consultant Services,AMENDMENT THREE,5/25/12,5/24/16,420," 48,850,000.00 "," 28,994,108.29 ",Global Program Partners,01,ADVERTISED,For Profit
MPXX15000070,MPXX15000070,COMMERCE,Grapevine Exhibits,Miscellaneous Order,Event/Trade Show Planning,7/1/14,6/30/15,91," 20,000.00 "," 3,210.00 ",Grapevine Exhibits,102,EXEMPT,For Profit
1020634,102063405,COMMERCE,Gresham Smith & Partners (GS&P),Architect and Engineer Svcs,AMENDMENT FIVE-3MONTH,12/1/14,2/28/15,0, -   , -   ,Gresham Smith & Partners (GS&P),01,ADVERTISED,For Profit
1320208,132020803,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,AMENDMENT THREE-ADD SUB,7/1/14,6/30/15,91," 1,000,000.00 "," 1,050,710.50 ","HNTB Pennsylvania, Inc.",01,ADVERTISED,For Profit
1320624,132062402,COMMERCE,"HNTB Pennsylvania, Inc.",Architect and Engineer Svcs,RENEWAL TWO-TIME ONLY,1/1/15,12/31/15,275, -   , -   ,"HNTB Pennsylvania, Inc.",01,ADVERTISED,For Profit
1520130,1520130,COMMERCE,"Heffler, Radetich & Saitta LLP",Accounting and Auditing Svcs,ON CALL ACCOUNTING/AUDIT,11/1/14,6/30/15,91," 100,000.00 "," 4,425.00 ","Heffler, Radetich & Saitta LLP",01,ADVERTISED,For Profit
1320085,132008503,COMMERCE,"Hill International, Inc.",General Consultant Services,RENEWAL TWO,7/1/14,6/30/15,91," 3,018,000.00 "," 1,924,400.93 ","Hill International, Inc.",01,ADVERTISED,For Profit
1520047,1520047,COMMERCE,Hispanic Assoc of Contractors & Enterprises,Housing & Economic Development,TCMP& CC,7/1/14,6/30/15,91," 175,000.00 "," 61,780.07 ",Hispanic Assoc of Contractors & Enterprises,01,ADVERTISED,Non Profit
1520387,1520387,COMMERCE,"ICF Resources, LLC",General Consultant Services,PHL AIR SERVICE DEVELOP,1/1/15,12/31/15,275," 100,000.00 ", -   ,"ICF Resources, LLC",01,ADVERTISED,For Profit
MPXX15000085,MPXX15000085,COMMERCE,IMX Medical Management Services,Miscellaneous Order,Personnel Examining Servi,7/3/14,6/30/15,91, 100.00 , 100.00 ,IMX Medical Management Services,102,EXEMPT,For Profit
1520039,1520039,COMMERCE,Impact Community Development Corporation,Housing & Economic Development,TCMP & CC,7/1/14,6/30/15,91," 115,000.00 ", -   ,Impact Community Development Corporation,01,ADVERTISED,Non Profit
1520385,1520385,COMMERCE,InterVISTAS Consulting LLC,General Consultant Services,PHL AIR SERVICE DEVELOP,1/1/15,12/31/15,275," 200,000.00 ", -   ,InterVISTAS Consulting LLC,01,ADVERTISED,For Profit
1220172,122017203,COMMERCE,International Visitors Council of Philadelphia,General Consultant Services,Sister City Program,7/1/14,6/30/15,91," 162,000.00 "," 162,000.00 ",International Visitors Council of Philadelphia,01,ADVERTISED,Non Profit
MPXX15000155,MPXX15000155,COMMERCE,JT GOLDSTEIN,Miscellaneous Order,Audit Services,7/16/14,6/30/15,91," 9,399.48 "," 9,399.48 ",JT GOLDSTEIN,01,ADVERTISED,For Profit
1320496,132049602,COMMERCE,"Johnson, Mirmiran & Thompson",Architect and Engineer Svcs,RENEWAL TWO-TIME ONLY,10/1/14,9/30/15,183, -   ," 264,390.43 ","Johnson, Mirmiran & Thompson",01,ADVERTISED,For Profit
MPXX15000071,MPXX15000071,COMMERCE,Karen Friedman Enterprises,Miscellaneous Order,Media Trn & Public Rela,7/1/14,6/30/15,91," 32,000.00 "," 28,720.00 ",Karen Friedman Enterprises,102,EXEMPT,For Profit
1020460,102046004,COMMERCE,"Kelly/Maiello, Inc.",Architect and Engineer Svcs,AMENDMENT FOUR,1/1/15,4/30/15,30," 217,632.00 "," 30,011.69 ","Kelly/Maiello, Inc.",01,ADVERTISED,For Profit
1320457,132045702,COMMERCE,Ken Weeden & Associates,General Consultant Services,RENEWAL TWO,9/1/14,8/31/15,153," 75,000.00 "," 22,995.62 ",Ken Weeden & Associates,01,ADVERTISED,For Profit
1520048,1520048,COMMERCE,Korean Community Development Services Center,Housing & Economic Development,TCMP& CC,7/1/14,6/30/15,91," 172,800.00 "," 76,366.96 ",Korean Community Development Services Center,01,ADVERTISED,Non Profit
MPXX15000212,MPXX15000212,COMMERCE,Korean Community Development Services Center,Miscellaneous Order,Sustainability plan,7/23/14,6/30/15,91, -   , -   ,Korean Community Development Services Center,102,EXEMPT,Non Profit
MPXX15000308,MPXX15000308,COMMERCE,Korean Community Development Services Center,Miscellaneous Order,Sustainability Plan,2/10/15,6/30/15,91," 25,000.00 ", -   ,Korean Community Development Services Center,102,EXEMPT,Non Profit
1520008,1520008,COMMERCE,LeighFisher Inc.,General Consultant Services,GENERAL AIRPORT CONSULTIN,7/1/14,6/30/15,91," 250,000.00 "," 228,972.35 ",LeighFisher Inc.,01,ADVERTISED,For Profit
MPXX15000086,MPXX15000086,COMMERCE,"Med-Tex Services, Inc.",Miscellaneous Order,Occupational Safety,7/3/14,6/30/15,91," 11,995.00 "," 11,994.76 ","Med-Tex Services, Inc.",102,EXEMPT,For Profit
1320179,132017902,COMMERCE,"Michael Baker Jr., Inc.",Architect and Engineer Svcs,RENEWAL TWO,7/1/14,6/30/15,91," 2,250,000.00 "," 649,193.43 ","Michael Baker Jr., Inc.",01,ADVERTISED,For Profit
1220297,122029703,COMMERCE,"Milligan & Company, LLC",Accounting and Auditing Svcs,RENEWAL THREE,7/1/14,6/30/15,91," 25,000.00 "," 5,148.00 ","Milligan & Company, LLC",01,ADVERTISED,For Profit
MPXX15000307,MPXX15000307,COMMERCE,Mount Airy U.S.A.,Miscellaneous Order,Night Market,7/23/14,6/30/15,91," 14,000.00 ", -   ,Mount Airy U.S.A.,102,EXEMPT,Non Profit
1420422,142042201,COMMERCE,"Munroe Design Group, Inc. T/A Munroe Creative Partners",General Consultant Services,RENEWAL ONE,1/1/15,12/31/15,275," 30,000.00 ", -   ,"Munroe Design Group, Inc. T/A Munroe Creative Partners",01,ADVERTISED,Non Profit
1520029,1520029,COMMERCE,New Kensington Community Development Corp,Housing & Economic Development,TCMP& CC,7/1/14,6/30/15,91," 250,000.00 "," 44,498.35 ",New Kensington Community Development Corp,01,ADVERTISED,Non Profit
MPXX15000073,MPXX15000073,COMMERCE,News Watch,Miscellaneous Order,Radio & TV Broadcast Serv,7/1/14,6/30/15,91," 15,000.00 ", -   ,News Watch,102,EXEMPT,For Profit
