Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Remaining_Contract_Months,Total_Transactions
S2Z57390,120154,"Aftermarket Replacement Parts for Passenger Cars, Minivans, Light, Medium and Heavy Duty Trucks",20111001,20141031,SSE,UNI SELECT USA INC,SS&E,1490000,36,02,"$5,352.25"
S1YN2800,110266,Portable Generators and Parts,20110501,20141031,SSE,AIRMATIC INC,SS&E,33001,36,00,
S1Z56640,110034,Prescription Safety Glasses,20101101,20141031,SSE,MANCINE OPTICAL CO INC,SS&E,200000,36,00,"$8,349.00"
T0XZ1500,110140,RFID Tags,20101101,20141031,SSE,RFID TAG SOURCE LLC,SS&E,75001,36,00,
S1WJ7650,110077,Restoration and Digitilzation of Library materials,20100820,20141031,SSE,H F GROUP LLC,SS&E,255250,36,02,
T1YD4990,110084,Fire Alarm Maint,20100801,20141031,SSE,FORTRESS PROTECTION LLC,SS&E,450001,36,03,"$31,234.50"
S1WV5270,110108,Provide Repair Services for Video Pipeline Inspection Equipment,20100701,20141031,SSE,U S MUNICIPAL SUPPLY CO,SS&E,457605,36,02,"$116,062.67"
00010547,A90425,UNITED PARCEL SERVICEBid # 00010547,20130618,20141110,SSE,UNITED PARCEL SERVICE,SS&E,100000,,,"$21,971.42"
S2XW925S,120199,"ATI Equipment, Repairs and Parts",20111201,20141130,SSE,PDIR INC,SS&E,375000,36,12,"$12,450.00"
S2Z57140,120097,Tree and Tree Planting,20110901,20141130,SSE,M & M LAWN CARE EAST INC,SS&E,4500705,36,09,"$27,792.45"
S1YL5180,A10238,ARORA SYSTEMS GROUP LLCBid # S1YL5180,20110301,20141130,SSE,ARORA SYSTEMS GROUP LLC,SS&E,80001,36,00,$449.17
U1YL4570,110237,Emergency Generator Maintenance,20110301,20141130,SSE,FM GENERATOR INC,SS&E,600980,36,00,"$18,828.62"
T1YL5220,A10203,RUMSEY ELECTRIC COBid # T1YL5220,20101222,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,400000,36,00,"$25,182.04"
S1QM2250,110121,Ribbons & Paper Packs,20101201,20141130,SSE,H P I INTERNATIONAL INC,SS&E,455795.86,36,00,"$7,400.00"
S1YL5190,A10037,RUMSEY ELECTRIC COBid # S1YL5190,20101201,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,800000,36,00,"$91,658.96"
S1YL523S,110177,Maintenance and Repair of Grinnell Fire Alarm System,20101201,20141130,SSE,SIMPLEXGRINNELL LP,SS&E,1234942,36,00,"$20,123.00"
T1YL5200,110139,Air Handler Repair Parts for the Philadelphia International Airport,20101201,20141130,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,615000,36,00,"$7,493.38"
T1Z56790,110174,"Fasteners, Washers, and Related Supplies",20101201,20141130,SSE,AUSTIN HARDWARE CO,SS&E,1273000,36,00,"$82,369.98"
S1Z56690,110094,Maint & Monitoring of Burglar & Fire Alarm Systems  Schedule #152-03,20100901,20141130,SSE,FIDELITY BURGLAR & FIRE ALARM CO INC,SS&E,691120,36,00,"$77,005.76"
T9Z54880,A00188,P H & S PRODUCTS LLCBid # T9Z54880,20091201,20141130,SSE,P H & S PRODUCTS LLC,SS&E,810400,28,00,"$55,540.00"
S5YR251C,150097,GENERAL ASPHALT PAVING CO OF PHILADELPHI Bid# S5YR251C,20141201,20141201,SSE,GENERAL ASPHALT PAVING CO OF PHILADELPHI,WATER,"$35,518.00",,,35518
T1YL5240,110199,Provide Runway & Taxiway De-icing/Anti-icing Fluid to the Philadelphia's International & Northeast Airport,20101210,20141209,SSE,CRYOTECH DEICING TECHNOLOGY,SS&E,4200637,36,00,
111309CD,140193,C D W GOVERNMENT INCBid # 111309CD,20131201,20141215,SSE,C D W GOVERNMENT INC,SS&E,500000,,,"$1,518.70"
S1XN8830,110245,Street Lists Printing for Elections,20110401,20141216,SSE,BARTON & COONEY LLC,SS&E,230001,36,00,
S1XL8140,110216,HVAC Repair Service and Parts,20101224,20141224,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,32150,36,00,
E-ORDER,150094,WEST ROOFING SYSTEMS INCBid # E-ORDER,20141101,20141231,SSE,WEST ROOFING SYSTEMS INC,SS&E,35872.8,,,
S5Z0701F,150023,CEREAL,20140701,20141231,SSE,H SCHRIER & CO INC,SS&E,32000.01,00,00,"$24,155.95"
S5Z0702F,150032,"BREAD, BUNS, CAKES AND PIES",20140701,20141231,SSE,PECHTERS OF SOUTHERN NEW JERSEY LLC,SS&E,44706.25,,,"$7,309.09"
S5Z0706F,150019,COOKED FOODS,20140701,20141231,SSE,KARETAS FOODS INC,SS&E,32000.01,00,00,"$16,206.10"
S5Z0708F,150021,"EGGS, CHEESE AND OLEO",20140701,20141231,SSE,H SCHRIER & CO INC,SS&E,32000.01,00,00,"$46,990.35"
S5Z0714F,150009,Groceries,20140701,20141231,SSE,KARETAS FOODS INC,SS&E,108712.75,00,00,"$82,598.17"
S5Z0717F,150013,MEATS,20140701,20141231,SSE,MIVILA CORP,SS&E,32000.01,00,00,"$30,160.21"
S5Z0718F,150016,POULTRY,20140701,20141231,SSE,WILLIAM MACMILLAN CO,SS&E,32000.01,00,00,"$38,154.38"
S5Z0721F,150026,PORTION CONTROLLED FOODS,20140701,20141231,SSE,H SCHRIER & CO INC,SS&E,54345,00,00,"$21,419.52"
T5Z0722F,150035,MILK,20140701,20141231,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,157546.62,,,"$60,540.79"
V5Z0707F,155009,Snacks,20140701,20141231,SSE,KARETAS FOODS INC,SS&E,5437,00,00,"$4,076.95"
V5Z0710F,155004,Salads,20140701,20141231,SSE,MIVILA CORP,SS&E,1650,00,00,$638.60
V5Z0711F,155011,Frozen Fruits and Vegetables,20140701,20141231,SSE,MIVILA CORP,SS&E,47369,00,00,"$3,432.54"
V5Z0795F,155002,Juice and Dairy Products,20140701,20141231,SSE,MIVILA CORP,SS&E,18000,00,00,"$5,065.74"
T3YB6180,140228,Immunochemistry Analyzers - Infectious and Non Infectious Diseases,20140101,20141231,SSE,BECKMAN COULTER INC,SS&E,81312.74,36,36,
S0XZ1420,A10019,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0XZ1420,20131217,20141231,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,795000,36,00,"$24,601.00"
10402225,140163,GRAYBAR ELECTRIC CO INCBid # 10402225,20131008,20141231,SSE,GRAYBAR ELECTRIC CO INC,SS&E,908000,,,"$182,076.69"
S4XL8490,140153,Cleaning Anaerobic Digesters,20131001,20141231,SSE,SYNAGRO CENTRAL LLC,SS&E,326170,36,33,
S4Z60360,140145,Powdered Activated Carbon,20131001,20141231,SSE,CABOT NORIT AMERICAS INC,SS&E,5428440,03,00,"$458,211.60"
PEPPM201,140065,MYTHICS INCBid # PEPPM201,20130701,20141231,SSE,MYTHICS INC,SS&E,4700000,,,"$87,921.47"
S3XL8280,130121,Inspect and Repair Sluice Tidegates,20130101,20141231,SSE,G M H ASSOCIATES OF AMERICA INC,SS&E,226226.9,36,24,
S2OO2960,120214,Dezurik Valve Repair Parts and Components,20120101,20141231,SSE,FERGUSON ENTERPRISES INC,SS&E,899977,36,12,"$6,940.00"
S2QM234S,120200,Maintenance on Identix TP3800 Tenprinter Fingerprinting Equipment,20120101,20141231,SSE,IDENTIX INC,SS&E,147648,36,12,
T1QG8230,A10193,INSTANT WEB LLCBid # T1QG8230,20111203,20141231,SSE,INSTANT WEB LLC,SS&E,195000,36,00,
T1Z56810,110295,"Aggregate, Coarse & Fine",20110501,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,521861,36,00,
S1Z57340,110311,Landscape maint Svc for various Phila Parks & Recreation Locations,20110421,20141231,SSE,ALL SEASONS LANDSCAPING CO INC,SS&E,1000168,24,00,"$15,901.70"
S1OO2730,110274,Repair Clamps,20110401,20141231,SSE,SMITH BLAIR INC,SS&E,500393.82,33,00,"$91,845.76"
S1Z56800,A10218,"Brick, Cement, Concrete and Masonry Materials",20110101,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,249111,36,00,"$151,280.36"
S1Z56810,110164,"Aggregate, Coarse & Fine",20110101,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,653630.8,36,00,"$161,225.67"
S1Z56840,110115,Directory Services,20110101,20141231,SSE,COLE INFORMATION SERVICES INC,SS&E,90001,36,00,"$11,353.00"
S1Z56850,110132,"Work Gloves,  Schedule 1000",20110101,20141231,SSE,STAUFFER MANUFACTURING CO,SS&E,190000.01,36,00,"$385,205.29"
S1Z57310,110194,"Flags (International, National, City & State) and Related Items",20110101,20141231,SSE,HUMPHRYS FLAG CO,SS&E,473687.5,36,00,"$39,000.00"
T1YC2080,110059,"Emergency Sewer Excavations, Repair and Street Restoration",20101001,20141231,SSE,PETRONGOLO CONTRACTORS INC,SS&E,3338625,36,00,"$170,411.00"
S1VW476S,100308,"Teledyne Geotech & Met One Meterological Instrumentation, Parts and Labor",20100701,20141231,SSE,MET ONE INSTRUMENTS,SS&E,160000.01,36,00,
S1XR721S,110022,CME Software Annual Maintenenace,20100701,20141231,SSE,VERTIQ SOFTWARE L L C,SS&E,100001,36,00,"$10,670.00"
T0Z54940,100164,Wireless Phone Equipment and Service - Schedule 500,20091001,20141231,SSE,SPRINT SOLUTIONS INC,SS&E,650224,03,00,"$569,735.64"
S0YB5030,090418,"Rental of Immunochemistry Analyzer System & Reagents, Consumables & Supplies",20090601,20141231,SSE,SIEMENS HEALTHCARE DIAGNOSTICS INC,SS&E,1350220.5,36,00,"$69,545.00"
T2VZ6010,120256,"Provision of Video Surveillance Cameras, Maintenance/Service, Supplies and Installation",20120125,20150124,SSE,CARR & DUFF INC,SS&E,3629180,36,12,"$20,300.00"
S1YN293S,110289,Mainenance and Repair of Cutters Edge Saws,20110328,20150131,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,100000,36,00,"$1,614.00"
S1QM226S,A10208,LIFE TECHNOLOGIES CORPBid # S1QM226S,20110201,20150131,SSE,LIFE TECHNOLOGIES CORP,SS&E,643605.05,36,00,"$41,222.02"
S1WJ7700,110195,Monthly Maintenance of Central Library HVAC System,20110201,20150131,SSE,ELLIOTT LEWIS CORP,SS&E,753410,36,00,"$71,037.37"
S1YN2550,110220,Testing and Repair of Emergency Medical Equipment,20110201,20150131,SSE,A KINGSBURY CO INC,SS&E,190000.01,36,00,
S1YN2590,110189,Direct Replacement Parts for Firefighting Equipment,20110201,20150131,SSE,MUNICIPAL EMERGENCY SERVICES INC,SS&E,195455,36,00,"$35,107.63"
S1Z56870,110149,"Maint Svc, Repair, Supplies & Parts for X-Ray Auto Processors & X-ray Machines",20110201,20150131,SSE,GARDEN STATE IMAGING INC,SS&E,385840,36,00,
S1Z56900,110182,Fire Extinguisher Service,20110201,20150131,SSE,PHILA & PA FIRE PROTECTION CO INC,SS&E,745033.03,36,00,"$15,146.22"
S1Z56910,110248,"Fire Hydrants, Assemblies and Components",20110201,20150131,SSE,FERGUSON ENTERPRISES INC,SS&E,4606029,36,00,"$741,478.64"
S1Z56930,110147,Building Materials,20110201,20150131,SSE,DONATO SPAVENTA & SONS INC,SS&E,999370.83,36,00,"$81,852.75"
S1Z56960,110125,"Electrical Repair Parts for ""In House Use""",20110201,20150131,SSE,ELECTRICAL SYSTEMS & CONSTRUCTION SUPPLY,SS&E,1599700,36,00,"$27,616.45"
S1Z56970,A10230,VEOLIA ES TECHNICAL SOLUTIONS LLCBid # S1Z56970,20110201,20150131,SSE,VEOLIA ES TECHNICAL SOLUTIONS LLC,SS&E,120301,36,03,
T1Z56950,110159,Liberty Bells & Boxes  Sch 523,20110201,20150131,SSE,SPIKES TROPHIES LTD,SS&E,90000.01,36,00,"$4,442.32"
S1YL6700,110138,Leaf and Yard Waste Recycling,20101101,20150131,SSE,DELAWARE VALLEY RECYCLING INC,SS&E,214200,36,00,$947.94
S1YN1760,110151,Cleaning and Refinishing of Steel and Aluminum Rims/Wheels,20100201,20150131,SSE,SERVICE TIRE TRUCK CENTERS,SS&E,200000,36,00,"$4,739.00"
S4QM295S,140261,SPERM HY-LITER SYSTEM,20140220,20150219,SSE,INDEPENDENT FORENSICS OF IL,SS&E,99448,36,36,
S4KQ5840,140237,Bedding and Bath Towels,20140301,20150228,SSE,ACME SUPPLY CO LTD,SS&E,32001,36,36,
S4XZ2010,140267,"Power Tools, Pneumatic Parts",20140301,20150228,SSE,DONATO SPAVENTA & SONS INC,SS&E,168731.37,27,27,"$16,469.90"
S1YC470S,110307,Traffic Signal Equipment,20110601,20150228,SSE,IMAGE COMPONENTS INC,SS&E,600076.8,33,00,"$9,016.80"
T1Z57020,110322,Tires & Tubes  Schedule 35,20110601,20150228,SSE,INTER CITY TIRE & AUTO CENTERS INC,SS&E,90000.01,33,00,"$14,280.70"
T1Z57080,110303,Emergency Medical Supplies and Equipment,20110501,20150228,SSE,HENRY SCHEIN INC,SS&E,6820346.15,34,00,"$420,407.86"
U1Z57030,110275,Glass and Plastics,20110401,20150228,SSE,STATE GLASS & UPHOLSTERY INC,SS&E,800001,36,00,"$23,862.93"
S1QM2270,110206,Glock Pistols,20110301,20150228,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,763776.5,36,00,
S1YL6720,110183,Repair of CCTV Systems,20110301,20150228,SSE,CHARLES W ROMANO CO,SS&E,90001,36,00,
S1Z57020,110253,Tires & Tubes  Schedule 35,20110301,20150228,SSE,MCCARTHY TIRE SERVICE CO OF PHILA INC,SS&E,2200000,36,00,"$476,127.55"
S1Z57050,110228,Rental Service of Contractor's Equip   Sch 97,20110301,20150228,SSE,T N T EQUIPMENT SALES & RENTALS,SS&E,300000,36,00,"$175,750.00"
S1Z57060,110178,"Purchase of Handcuffs, Leg Irons, etc",20110301,20150228,SSE,ATLANTIC TACTICAL INC,SS&E,227730,36,00,"$2,790.25"
S1Z57090,110225,Stainless Steel Banding Materials,20110301,20150228,SSE,INDEPENDENT METAL STRAP CO,SS&E,160001,36,00,
S1Z57100,110201,Sewer Cleaning Services,20110301,20150228,SSE,MOBILE DREDGING & PUMPING CO,SS&E,2400610,36,00,"$82,160.87"
S1Z57110,110192,Playground Parts & Materials  Sch 921,20110301,20150228,SSE,SOFSURFACES INC,SS&E,30001,36,00,"$16,588.80"
S1Z57120,110205,"Testing, Repair, Clean-up and Final Disposal of PCB Contaminated Solids and Liquids",20110301,20150228,SSE,CLEAN VENTURE INC,SS&E,30001,36,00,
T1Z57320,110198,Inspection/repair of Sprinkler Systems  Sch 152-04,20110301,20150228,SSE,WAYMAN FIRE PROTECTION INC,SS&E,480615,36,00,
U1Z57110,110287,Playground Parts & Materials  Sch 921,20110301,20150228,SSE,GENERAL RECREATION INC,SS&E,130001,36,00,
S1Z56880,110127,Crime Detection Supplies,20110201,20150228,SSE,SIRCHIE ACQUISITION COMPANY LLC,SS&E,220545,36,02,"$66,618.92"
S1VZ6000,110097,Internet Access Service,20100701,20150228,SSE,CAVALIER TELEPHONE MID ATLANTIC LLC,SS&E,2807420,36,00,
S4VW484S,140191,Replacement Parts for Teledyne API Ambient Air Monitors & Calibrators,20140401,20150331,SSE,TELEDYNE INSTRUMENTS INC,SS&E,32000.01,36,36,
S4YC4950,140278,Traffic Speed Control Materials,20140401,20150331,SSE,TRAFFIC LOGIX CORP,SS&E,32000.01,36,36,
S4YQ0870,140265,Maintenance and Repair of Multifunction Snow Equipment,20140401,20150331,SSE,PENN JERSEY MACHINERY LLC,SS&E,53850,36,36,
S4Z60300,140167,"Forms, Printed, Index",20140401,20150331,SSE,VANGUARD DIRECT,SS&E,35000,36,36,"$4,736.00"
S4Z60320,F40258,Asphalt Products,20140401,20150331,SSE,RIVERSIDE MATERIALS INC,SS&E,64001,,,"$847,419.90"
T4Z5911L,140269,Turf Management - Parks and Recreation,20140401,20150331,SSE,M & M LAWN CARE EAST INC,SS&E,435754.41,36,36,"$470,215.99"
T4Z60170,140277,Emergency HVAC Repair Service,20140401,20150331,SSE,BURNS MECHANICAL INC,SS&E,32000.01,33,33,"$416,513.44"
T4Z60180,140282,HVAC / Refrigeration Repair Parts,20140401,20150331,SSE,UNITED REFRIGERATION INC,SS&E,423000,33,33,"$41,540.40"
S2Z5833S,130412,"Hach Instruments, Parts, Supplies and Services Sch 2024",20130401,20150331,SSE,HACH CO,SS&E,500616.5,36,24,"$50,529.35"
S3YN1660,130353,Repair and Replacement Parts for Motor Fuel Distribution Equipment,20130401,20150331,SSE,R J WALSH ASSOCIATES INC,SS&E,152180,36,24,"$14,070.40"
S3YQ0780,130316,Repair/Replacement Services for Kovatch Motor Equipment (KME),20130401,20150331,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,55990,36,24,
S3Z58880,130362,Condoms,20130401,20150331,SSE,TOTAL ACCESS GROUP,SS&E,799999,30,18,"$2,261.00"
S3Z59010,130328,Folger Adam and Southern Steel Detention Products,20130401,20150331,SSE,CRAFTMASTER HARDWARE CO INC,SS&E,90000.01,32,20,"$8,081.96"
S3Z59180,A30295,AMERCARE PRODUCTS INCBid # S3Z59180,20130401,20150331,SSE,AMERCARE PRODUCTS INC,SS&E,60000.01,33,21,$113.28
S3Z59200,130321,Paper Sundries,20130401,20150331,SSE,T FRANK MCCALLS INC,SS&E,110001,33,21,"$17,615.75"
S3Z59210,130274,Wipers and Rags,20130401,20150331,SSE,INTERNATIONAL WIPER CO,SS&E,105860,33,21,"$13,000.00"
S3Z59220,130359,"Airport Computer Information System - Materials, Supplies and Equipment",20130401,20150331,SSE,ELLIOTT LEWIS CORP,SS&E,3506238.08,33,21,"$700,515.30"
S3Z59320,130364,Maintenance of Savin Plain Copier Machines and Supplies,20130401,20150331,SSE,ELECTRONIC RISKS CONSULTANT,SS&E,420470,30,18,"$12,457.38"
S3Z59530,130374,Final Sedimentation Tank Replacement Parts,20130401,20150331,SSE,G P JAGER & ASSOCS,SS&E,30000.01,35,23,
S3Z59540,A30389,Replacement Parts for Implements,20130401,20150331,SSE,UNI SELECT USA INC,SS&E,34000.01,36,24,"$99,954.76"
S3Z59550,B30369,"Automotive, Light Truck and Motorcycle Repair and Replacement Parts, OEM Only",20130401,20150331,SSE,CHAPMAN CHEVROLET LLC,SS&E,30000.01,36,36,
S3Z59560,130308,Inspection/Repair Service for Chemical Storage Tanks,20130401,20150331,SSE,P & R INDUSTRIES INC,SS&E,298176.75,36,24,"$76,731.92"
S3Z59600,130330,Fire Suppression Systems Services (Public Property),20130401,20150331,SSE,SIMPLEXGRINNELL LP,SS&E,266484,36,24,$416.10
S3Z59620,130404,Drug Screen Testing Services,20130401,20150331,SSE,DRUGSCAN INC,SS&E,630565,36,24,"$137,838.00"
S3Z59630,130358,Sludge Gas Equipment Parts,20130401,20150331,SSE,BOWEN CALHOUN & ASSOCIATES INC,SS&E,50000.01,36,24,
S3Z59640,130346,Curb Stops and Service Line Fittings,20130401,20150331,SSE,LABOV PLUMBING & HEATING SUPPLY INC,SS&E,212375,36,24,"$51,268.40"
S3Z59650,130324,Refrigerants & Substitutes,20130401,20150331,SSE,AIRGAS REFRIGERANTS INC,SS&E,140001,33,21,"$20,754.50"
S4Z60330,140227,"Receptacles, Trash Cans, Mops,and Buckets",20130401,20150331,SSE,ACCOMMODATION MOLLEN INC,SS&E,33512.24,36,36,"$19,773.00"
T3Z59030,130348,SIGN MATERIALS AND FLEET MARKINGS,20130401,20150331,SSE,GARDEN STATE HIGHWAY PRODUCTS,SS&E,868586.44,32,20,"$30,658.00"
S7D0191S,A70274,N E C CORPORATION OF AMERICABid # S7D0191S,20130109,20150331,SSE,N E C CORPORATION OF AMERICA,SS&E,700000,12,00,"$125,440.25"
B2VW480L,120304,Sigma Aldrich Reagent Cartridges,20120401,20150331,SSE,CEN MED ENTERPRISES,SS&E,68250,36,12,
S2OO2860,120311,"Slabs Concrete  64""",20120401,20150331,SSE,ALTOMARE PRECAST INC,SS&E,580000,36,12,
S2QM590S,120281,Qualtrax 4.X SSQL Base System With Training,20120401,20150331,SSE,QUALTRAX INC,SS&E,98600,36,12,
