Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Total_Transactions
00001837,140177,WHITMOYER FORD INCBid # 00001837,20131118,20140831,SSE,WHITMOYER FORD INC,SS&E,500000,,
00011831,140175,APPLE AUTOMOTIVE GROUP INCBid # 00011831,20131031,20140831,SSE,APPLE AUTOMOTIVE GROUP INC,SS&E,500000,,
00001183,140176,HERTRICH FLEET SERVICES INCBid # 00001183,20131001,20140831,SSE,HERTRICH FLEET SERVICES INC,SS&E,1600000,,
S1QG8260,B10122,BELL & HOWELL LLCBid # S1QG8260,20111127,20140831,SSE,BELL & HOWELL LLC,SS&E,557323,36,
00008515,120186,GOODYEAR TIRE & RUBBER COBid # 00008515,20110905,20140831,SSE,GOODYEAR TIRE & RUBBER CO,SS&E,250000,12,
S1Z56620,110017,Disposal of Construction Debris/Waste,20100901,20140831,SSE,RICHARD S BURNS & CO INC,SS&E,2290500,36,"$121,425.00"
T1Z56610,110111,Lockers,20100901,20140831,SSE,RABCO EQUIPMENT CORP,SS&E,202980,36,"$22,199.94"
T0XT6760,110118,Multi-Function Snow Removal Vehicles - Various Types,20100901,20140831,SSE,STEVES EQUIPMENT SERVICE,SS&E,4700000,36,
S0YC4680,100300,C-Post and Pedestal Poles,20100601,20140831,SSE,FLAGPOLES INC,SS&E,388583,36,
S0Z56240,H00179,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0Z56240,20131218,20140930,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,1349000,36,"$118,722.43"
S1Z56730,B10080,SYSTEMS MAINTENANCE SERVICESBid # S1Z56730,20111008,20140930,SSE,SYSTEMS MAINTENANCE SERVICES,SS&E,198112.25,36,"$26,271.00"
S1QM222S,A10039,LIFE TECHNOLOGIES CORPBid # S1QM222S,20110406,20140930,SSE,LIFE TECHNOLOGIES CORP,SS&E,650001,30,
T1YN1750,110204,Maint and Repair Service on the NS 1500 Car Wash System,20110101,20140930,SSE,V P INDUSTRIES INC,SS&E,60001,36,"$2,630.38"
S1WH4560,110124,Printing of Newsletter for Board of Pensions,20101004,20140930,SSE,PORTICO PRINTING LLC,SS&E,120001,36,"$9,935.04"
S1YB7300,110120,Sandwiches for Prisoners at CJC and 1801 Vine St,20101001,20140930,SSE,EVENT CATERERS INC,SS&E,332160,36,
S1Z56740,110081,Maintenance of Data Processing Equipment (Mainframe Channel Attached) - Hewlett Packard,20100701,20140930,SSE,MASON DEVELOPMENT CORP,SS&E,160000.01,36,"$4,955.27"
S1YL6690,110088,Intermediate Processing Services,20100701,20140930,SSE,BLUE MOUNTAIN RECYCLING,SS&E,30001,36,"$1,617.61"
T0XN666S,110091,Maint of Honeywell Temperature Control system,20100701,20140930,SSE,HONEYWELL INTERNATIONAL INC,SS&E,302848,36,"$25,770.00"
S1Z5654S,110092,800 MHZ Radio System Maintenance Services,20100701,20140930,SSE,MOTOROLA SOLUTIONS INC,SS&E,15440648.62,36,
T1YN1670,B10070,BAKER AERIAL LLCBid # T1YN1670,20100701,20140930,SSE,BAKER AERIAL LLC,SS&E,995035,36,"$75,905.51"
U0Z56240,100269,Office Automation,20100101,20140930,SSE,P C SPECIALISTS INC,SS&E,5100000,30,"$76,936.00"
S5810-10,D40439,DELL MARKETING L PBid # S5810-10,20031010,20140930,SSE,DELL MARKETING L P,SS&E,6000000,,
S4Z59790,C40067,P P C LUBRICANTSBid # S4Z59790,20141001,20141031,SSE,P P C LUBRICANTS,SS&E,32000.01,02,"$161,232.44"
S4Z60270,140222,Pump Repair Parts,20140301,20141031,SSE,AIRMATIC INC,SS&E,429460,36,
S1YC4690,A10168,ECONOLITE CONTROL PRODUCTS INCBid # S1YC4690,20140226,20141031,SSE,ECONOLITE CONTROL PRODUCTS INC,SS&E,200000,36,"$43,130.00"
S4Z60090,140022,Chain/Pipe Saw Sharpening Repairs,20131201,20141031,SSE,AIRMATIC INC,SS&E,30000.01,36,
00015283,140140,INTERNATIONAL SALT COMPANY LLCBid # 00015283,20130801,20141031,SSE,INTERNATIONAL SALT COMPANY LLC,SS&E,2335325,12,"$1,276,971.54"
S3Z59480,130375,Pneumatic Tools Repair Parts,20130401,20141031,SSE,AIRMATIC INC,SS&E,120919,35,"$2,775.57"
PR11-12,130307,LANDSCAPE STRUCTURES INCBid # PR11-12,20130130,20141031,SSE,LANDSCAPE STRUCTURES INC,SS&E,530000,00,
S3Z59260,130216,Hydrogritter Parts,20130101,20141031,SSE,AIRMATIC INC,SS&E,66400.5,36,
S2YN1910,120141,,20111001,20141031,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,51430,24,
S2Z57390,120154,"Aftermarket Replacement Parts for Passenger Cars, Minivans, Light, Medium and Heavy Duty Trucks",20111001,20141031,SSE,UNI SELECT USA INC,SS&E,1490000,36,"$1,136.14"
S1YN2800,110266,Portable Generators and Parts,20110501,20141031,SSE,AIRMATIC INC,SS&E,33001,36,
S1Z56640,110034,Prescription Safety Glasses,20101101,20141031,SSE,MANCINE OPTICAL CO INC,SS&E,200000,36,"$3,261.00"
T0XZ1500,110140,RFID Tags,20101101,20141031,SSE,RFID TAG SOURCE LLC,SS&E,75001,36,
S1WJ7650,110077,Restoration and Digitilzation of Library materials,20100820,20141031,SSE,H F GROUP LLC,SS&E,255250,36,
T1YD4990,110084,Fire Alarm Maint,20100801,20141031,SSE,FORTRESS PROTECTION LLC,SS&E,450001,36,"$16,002.17"
S1WV5270,110108,Provide Repair Services for Video Pipeline Inspection Equipment,20100701,20141031,SSE,U S MUNICIPAL SUPPLY CO,SS&E,457605,36,$150.00
00010547,A90425,UNITED PARCEL SERVICEBid # 00010547,20130618,20141110,SSE,UNITED PARCEL SERVICE,SS&E,100000,,$30.74
S2XW925S,120199,"ATI Equipment, Repairs and Parts",20111201,20141130,SSE,PDIR INC,SS&E,375000,36,$210.00
S2Z57140,120097,Tree and Tree Planting,20110901,20141130,SSE,M & M LAWN CARE EAST INC,SS&E,4500705,36,"$307,937.78"
U1YL4570,110237,Emergency Generator Maintenance,20110301,20141130,SSE,FM GENERATOR INC,SS&E,600980,36,$647.25
S1YL5180,A10238,ARORA SYSTEMS GROUP LLCBid # S1YL5180,20110301,20141130,SSE,ARORA SYSTEMS GROUP LLC,SS&E,80001,36,
T1YL5220,A10203,RUMSEY ELECTRIC COBid # T1YL5220,20101222,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,400000,36,"$3,190.84"
S1QM2250,110121,Ribbons & Paper Packs,20101201,20141130,SSE,H P I INTERNATIONAL INC,SS&E,455795.86,36,
T1YL5200,110139,Air Handler Repair Parts for the Philadelphia International Airport,20101201,20141130,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,615000,36,"$10,736.25"
T1Z56790,110174,"Fasteners, Washers, and Related Supplies",20101201,20141130,SSE,AUSTIN HARDWARE CO,SS&E,1273000,36,"$73,184.83"
S1YL523S,110177,Maintenance and Repair of Grinnell Fire Alarm System,20101201,20141130,SSE,SIMPLEXGRINNELL LP,SS&E,1234942,36,"$14,918.02"
S1YL5190,A10037,RUMSEY ELECTRIC COBid # S1YL5190,20101201,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,800000,36,"$2,443.60"
S1Z56690,110094,Maint & Monitoring of Burglar & Fire Alarm Systems  Schedule #152-03,20100901,20141130,SSE,FIDELITY BURGLAR & FIRE ALARM CO INC,SS&E,691120,36,"$22,085.76"
T9Z54880,A00188,P H & S PRODUCTS LLCBid # T9Z54880,20091201,20141130,SSE,P H & S PRODUCTS LLC,SS&E,810400,28,"$39,679.00"
T1YL5240,110199,Provide Runway & Taxiway De-icing/Anti-icing Fluid to the Philadelphia's International & Northeast Airport,20101210,20141209,SSE,CRYOTECH DEICING TECHNOLOGY,SS&E,4200637,36,"$888,481.18"
111309CD,140193,C D W GOVERNMENT INCBid # 111309CD,20131201,20141215,SSE,C D W GOVERNMENT INC,SS&E,500000,,
S1XN8830,110245,Street Lists Printing for Elections,20110401,20141216,SSE,BARTON & COONEY LLC,SS&E,230001,36,
S1XL8140,110216,HVAC Repair Service and Parts,20101224,20141224,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,32150,36,
T3YB6180,140228,Immunochemistry Analyzers - Infectious and Non Infectious Diseases,20140101,20141231,SSE,BECKMAN COULTER INC,SS&E,81312.74,36,
