Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Total_Transactions
S1WZ0350,110329,Rodney Hunt Parts,20110601,20140531,SSE,AIRMATIC INC,SS&E,362000,24,
S0Z56360,100297,Roofing Materials,20100601,20140531,SSE,MARVIC SUPPLY CO,SS&E,570563.45,36,"$13,490.84"
S0VW477S,100311,Beta-Attenuation Mass Monitor (BAM1020) for Continuous PM 10 Monitoring,20100601,20140531,SSE,MET ONE INSTRUMENTS,SS&E,249475,36,
S0QG821S,100321,Remittance System Hardware Maint and Software Support,20100601,20140531,SSE,BURROUGHS INC,SS&E,275105.2,36,
S0VW470S,100324,"Parts and Supplies for Partisol-Plus Model 2025, Sequential Air Sampler PM 2.5 System",20100601,20140531,SSE,THERMO ENVIRONMENTAL INSTRUMENTS INC,SS&E,60000.01,36,
S0OM7680,100320,Manilla & Printed Case Folder,20100517,20140531,SSE,VANGUARD DIRECT,SS&E,99001,36,
00003320,090339,INTERNATIONAL BUSINESS MACHINES CORPBid # 00003320,20090319,20140531,SSE,INTERNATIONAL BUSINESS MACHINES CORP,SS&E,450000,36,
00003260,090294,INTERNATIONAL BUSINESS MACHINES CORPBid # 00003260,20090122,20140531,SSE,INTERNATIONAL BUSINESS MACHINES CORP,SS&E,1310000,36,"$7,767.86"
E-ORDER,140257,BELLA TRUCKING INCBid # E-ORDER,20140211,20140630,SSE,BELLA TRUCKING INC,SS&E,95625,,
E-ORDER,140251,BAY HEAD INVESTMENTS INCBid # E-ORDER,20140201,20140630,SSE,BAY HEAD INVESTMENTS INC,SS&E,50000,03,
E-ORDER,140252,W CAMPBELL SUPPLY CO OF PENNA LLCBid # E-ORDER,20140201,20140630,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,50000,03,
S4Z0114F,140172,Groceries,20140101,20140630,SSE,MIVILA CORP,SS&E,32001,,"$88,079.98"
S4Z0102F,140179,"BREADS, BUNS, CAKES & PIES",20140101,20140630,SSE,PECHTERS OF SOUTHERN NEW JERSEY LLC,SS&E,45026,00,"$7,950.77"
S4Z0122F,140184,MILK,20140101,20140630,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,145000,00,"$30,876.95"
S4Z0101F,140187,CEREAL,20140101,20140630,SSE,MIVILA CORP,SS&E,32001,00,"$10,561.50"
S4Z0118F,140200,Poultry,20140101,20140630,SSE,WILLIAM MACMILLAN CO,SS&E,69110,,"$54,719.86"
S4Z0117F,140208,Meats,20140101,20140630,SSE,WILLIAM MACMILLAN CO,SS&E,72149.4,,"$35,911.10"
S4Z0121F,140211,Portion Controlled Foods,20140101,20140630,SSE,MIVILA CORP,SS&E,32001,00,"$37,135.64"
S4Z0108F,140213,"Eggs, Cheese & Oleo",20140101,20140630,SSE,MIVILA CORP,SS&E,39001,00,"$27,461.42"
S4Z0106F,140215,Cooked Foods,20140101,20140630,SSE,MIVILA CORP,SS&E,38961,00,"$12,062.05"
V4Z0111F,145014,FROZEN FRUITS & VEGETABLES,20140101,20140630,SSE,H SCHRIER & CO INC,SS&E,8360.5,00,"$3,802.30"
V4Z0195F,145017,JUICE,20140101,20140630,SSE,WHOLESALE LIQUIDATIONS LLC,SS&E,20322,00,"$9,099.00"
V4Z0107F,145020,SNACKS,20140101,20140630,SSE,KARETAS FOODS INC,SS&E,5877,00,"$4,653.60"
07F0038H,140169,SAFE BOATS INTERNATIONAL LLCBid # 07F0038H,20131021,20140630,SSE,SAFE BOATS INTERNATIONAL LLC,SS&E,528611.65,,
V4Z0715F,145000,Ice Cream,20130701,20140630,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,5330,00,
S1YN1680,120220,Fuel Credit Cards,20120101,20140630,SSE,WEX BANK,SS&E,350000,18,"$12,475.95"
S1YK0010,110247,23 Color Copiers,20110401,20140630,SSE,RICOH AMERICAS CORP,SS&E,250817,24,
S1Z56700,110246,"Janitorial Services - OFM, Public Health (AMS Lab) and Various Departments",20110201,20140630,SSE,INDUSTRIAL COMMERCIAL CLEANING GROUP INC,SS&E,516381.92,36,"$24,212.43"
S1YQ1020,110155,Mosquito Control Products,20101101,20140630,SSE,UNIVAR USA INC,SS&E,309595,36,"$50,131.35"
S1Z5652S,110040,Sanborn Maps,20101001,20140630,SSE,SANBORN MAP CO,SS&E,60001,33,
S1XW920S,110104,"YSI Equipment, Repairs & Parts",20100901,20140630,SSE,Y S I INC,SS&E,400000,36,
S1YB475S,110105,Service/Maintenance/Supplies for the Bactec MGIT 960,20100801,20140630,SSE,BECTON DICKINSON & CO,SS&E,290001,36,"$8,104.39"
S1YL6670,110001,Inspection & Repair of Two Stationary Hydraulic Compactor Systems,20100701,20140630,SSE,ADVANCED HYDRAULIC SYSTEMS INC,SS&E,170001,36,
S1WI1930,110002,"Ice Machine (Zamboni) Maint, Testing & Repairs",20100701,20140630,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,200150,36,"$2,532.17"
S1Z56500,110020,Radiation Badge Service,20100701,20140630,SSE,MIRION TECHNOLOGIES (GDS) INC,SS&E,60001,36,$197.10
T1YB4860,110023,Rental of Real Time PCR (HIV-1 & HCV) Analyzer & Reagents,20100701,20140630,SSE,ABBOTT LABORATORIES INC,SS&E,682823,36,"$92,264.00"
S1YN1710,110063,Windshield Repair Service,20100701,20140630,SSE,I T E I AUTO GLASS,SS&E,75001,36,"$6,680.00"
S1XY872S,110078,Versatile Enterprise Software Support,20100701,20140630,SSE,ZASIO ENTERPRISES INC,SS&E,60000.01,36,
T1WJ7660,110079,Filmmaking,20100701,20140630,SSE,INSTANT COPY & PRINTING CENTER INC,SS&E,95001,36,"$1,437.00"
S1YL5160,110089,Aqueous Film Foaming  Foam Concentrate,20100701,20140630,SSE,CHEMGUARD INC,SS&E,372315,36,"$3,731.25"
S0YL515S,110093,Maintenance & Repair of IED Terminal Accouncementl Control System,20100701,20140630,SSE,WASHINGTON PROFESSIONAL SYS,SS&E,655750,36,
S1YB474S,110103,GC/Chlamydia Automated Analyzer System & Assays,20100701,20140630,SSE,GEN PROBE SALES & SERVICE INC,SS&E,4800618,36,"$145,116.00"
S1XL7490,A10090,RUMSEY ELECTRIC COBid # S1XL7490,20100701,20140630,SSE,RUMSEY ELECTRIC CO,SS&E,105956,36,
S0YL5100,100260,"Boiler Service, Repair & Water Treatment to PHL & NE Airport",20100301,20140630,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,2867260,02,"$67,739.94"
S0Z55980,100173,New And Recycled Toner Cartridges,20090901,20140630,SSE,LASER JET DIRECT,SS&E,3666607.37,03,"$288,820.18"
00003909,090293,DELL MARKETING L PBid # 00003909,20090121,20140630,SSE,DELL MARKETING L P,SS&E,11426733,36,"$268,858.36"
S3Z58300,130071,Maintenance and Repair of Belt Conveyors Sch 2003,20120801,20140731,SSE,AIRMATIC INC,SS&E,190900,32,"$6,419.76"
S1YD481S,110024,"Testing, Inspection, Repair of Siemen's Fire Alarm Systems",20100801,20140731,SSE,SIEMENS INDUSTRY INC,SS&E,600161,36,"$2,369.20"
T0Z56490,110035,Best Locking Systems Maint/Repair  Sch 909-01,20100801,20140731,SSE,STANLEY SECURITY SOLUTIONS INC,SS&E,900825,36,"$3,861.32"
S4Z60440,140256,Lumber,20140301,20140831,SSE,TAGUE LUMBER INC,SS&E,246661.7,03,"$15,124.58"
00001837,140177,WHITMOYER FORD INCBid # 00001837,20131118,20140831,SSE,WHITMOYER FORD INC,SS&E,500000,,
00011831,140175,APPLE AUTOMOTIVE GROUP INCBid # 00011831,20131031,20140831,SSE,APPLE AUTOMOTIVE GROUP INC,SS&E,500000,,
00001183,140176,HERTRICH FLEET SERVICES INCBid # 00001183,20131001,20140831,SSE,HERTRICH FLEET SERVICES INC,SS&E,1600000,,"$698,144.00"
S1QG8260,B10122,BELL & HOWELL LLCBid # S1QG8260,20111127,20140831,SSE,BELL & HOWELL LLC,SS&E,557323,36,
00008515,120186,GOODYEAR TIRE & RUBBER COBid # 00008515,20110905,20140831,SSE,GOODYEAR TIRE & RUBBER CO,SS&E,250000,12,
S1Z56620,110017,Disposal of Construction Debris/Waste,20100901,20140831,SSE,RICHARD S BURNS & CO INC,SS&E,2290500,36,"$149,572.50"
T1Z56610,110111,Lockers,20100901,20140831,SSE,RABCO EQUIPMENT CORP,SS&E,202980,36,"$31,155.19"
T0XT6760,110118,Multi-Function Snow Removal Vehicles - Various Types,20100901,20140831,SSE,STEVES EQUIPMENT SERVICE,SS&E,4700000,36,
S0YC4680,100300,C-Post and Pedestal Poles,20100601,20140831,SSE,FLAGPOLES INC,SS&E,388583,36,"$70,776.25"
S0Z56240,H00179,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0Z56240,20131218,20140930,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,1349000,36,"$51,893.19"
S1Z56730,B10080,SYSTEMS MAINTENANCE SERVICESBid # S1Z56730,20111008,20140930,SSE,SYSTEMS MAINTENANCE SERVICES,SS&E,198112.25,36,
S1QM222S,A10039,LIFE TECHNOLOGIES CORPBid # S1QM222S,20110406,20140930,SSE,LIFE TECHNOLOGIES CORP,SS&E,650001,30,"$22,391.01"
T1YN1750,110204,Maint and Repair Service on the NS 1500 Car Wash System,20110101,20140930,SSE,V P INDUSTRIES INC,SS&E,60001,36,"$1,250.00"
S1WH4560,110124,Printing of Newsletter for Board of Pensions,20101004,20140930,SSE,PORTICO PRINTING LLC,SS&E,120001,36,
S1YB7300,110120,Sandwiches for Prisoners at CJC and 1801 Vine St,20101001,20140930,SSE,EVENT CATERERS INC,SS&E,332160,36,
S1Z56740,110081,Maintenance of Data Processing Equipment (Mainframe Channel Attached) - Hewlett Packard,20100701,20140930,SSE,MASON DEVELOPMENT CORP,SS&E,160000.01,36,"$7,279.27"
S1YL6690,110088,Intermediate Processing Services,20100701,20140930,SSE,BLUE MOUNTAIN RECYCLING,SS&E,30001,36,$339.57
T0XN666S,110091,Maint of Honeywell Temperature Control system,20100701,20140930,SSE,HONEYWELL INTERNATIONAL INC,SS&E,302848,36,"$15,462.00"
S1Z5654S,110092,800 MHZ Radio System Maintenance Services,20100701,20140930,SSE,MOTOROLA SOLUTIONS INC,SS&E,15440648.62,36,"$1,731,928.40"
T1YN1670,B10070,BAKER AERIAL LLCBid # T1YN1670,20100701,20140930,SSE,BAKER AERIAL LLC,SS&E,995035,36,"$46,305.28"
U0Z56240,100269,Office Automation,20100101,20140930,SSE,P C SPECIALISTS INC,SS&E,5100000,30,"$51,822.00"
S5810-10,D40439,DELL MARKETING L PBid # S5810-10,20031010,20140930,SSE,DELL MARKETING L P,SS&E,6000000,,$322.41
S4Z59790,C40067,P P C LUBRICANTSBid # S4Z59790,20141001,20141031,SSE,P P C LUBRICANTS,SS&E,32000.01,02,"$164,472.34"
S4Z60270,140222,Pump Repair Parts,20140301,20141031,SSE,AIRMATIC INC,SS&E,429460,36,
S1YC4690,A10168,ECONOLITE CONTROL PRODUCTS INCBid # S1YC4690,20140226,20141031,SSE,ECONOLITE CONTROL PRODUCTS INC,SS&E,200000,36,"$19,325.00"
S4Z60090,140022,Chain/Pipe Saw Sharpening Repairs,20131201,20141031,SSE,AIRMATIC INC,SS&E,30000.01,36,$395.52
00015283,140140,INTERNATIONAL SALT COMPANY LLCBid # 00015283,20130801,20141031,SSE,INTERNATIONAL SALT COMPANY LLC,SS&E,2335325,12,"$607,560.44"
S3Z59480,130375,Pneumatic Tools Repair Parts,20130401,20141031,SSE,AIRMATIC INC,SS&E,120919,35,$851.40
PR11-12,130307,LANDSCAPE STRUCTURES INCBid # PR11-12,20130130,20141031,SSE,LANDSCAPE STRUCTURES INC,SS&E,530000,00,"$89,664.44"
S3Z59260,130216,Hydrogritter Parts,20130101,20141031,SSE,AIRMATIC INC,SS&E,66400.5,36,
S2YN1910,120141,,20111001,20141031,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,51430,24,
S2Z57390,120154,"Aftermarket Replacement Parts for Passenger Cars, Minivans, Light, Medium and Heavy Duty Trucks",20111001,20141031,SSE,UNI SELECT USA INC,SS&E,1490000,36,"$3,142.58"
S1YN2800,110266,Portable Generators and Parts,20110501,20141031,SSE,AIRMATIC INC,SS&E,33001,36,
S1Z56640,110034,Prescription Safety Glasses,20101101,20141031,SSE,MANCINE OPTICAL CO INC,SS&E,200000,36,"$7,245.00"
T0XZ1500,110140,RFID Tags,20101101,20141031,SSE,RFID TAG SOURCE LLC,SS&E,75001,36,
S1WJ7650,110077,Restoration and Digitilzation of Library materials,20100820,20141031,SSE,H F GROUP LLC,SS&E,255250,36,
T1YD4990,110084,Fire Alarm Maint,20100801,20141031,SSE,FORTRESS PROTECTION LLC,SS&E,450001,36,"$53,442.61"
S1WV5270,110108,Provide Repair Services for Video Pipeline Inspection Equipment,20100701,20141031,SSE,U S MUNICIPAL SUPPLY CO,SS&E,457605,36,$974.79
00010547,A90425,UNITED PARCEL SERVICEBid # 00010547,20130618,20141110,SSE,UNITED PARCEL SERVICE,SS&E,100000,,"$7,345.09"
S2XW925S,120199,"ATI Equipment, Repairs and Parts",20111201,20141130,SSE,PDIR INC,SS&E,375000,36,"$4,700.00"
S2Z57140,120097,Tree and Tree Planting,20110901,20141130,SSE,M & M LAWN CARE EAST INC,SS&E,4500705,36,"$299,333.86"
U1YL4570,110237,Emergency Generator Maintenance,20110301,20141130,SSE,FM GENERATOR INC,SS&E,600980,36,"$8,764.14"
S1YL5180,A10238,ARORA SYSTEMS GROUP LLCBid # S1YL5180,20110301,20141130,SSE,ARORA SYSTEMS GROUP LLC,SS&E,80001,36,
T1YL5220,A10203,RUMSEY ELECTRIC COBid # T1YL5220,20101222,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,400000,36,"$18,339.75"
S1QM2250,110121,Ribbons & Paper Packs,20101201,20141130,SSE,H P I INTERNATIONAL INC,SS&E,455795.86,36,"$3,336.15"
T1YL5200,110139,Air Handler Repair Parts for the Philadelphia International Airport,20101201,20141130,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,615000,36,"$4,765.80"
T1Z56790,110174,"Fasteners, Washers, and Related Supplies",20101201,20141130,SSE,AUSTIN HARDWARE CO,SS&E,1273000,36,"$52,433.05"
S1YL523S,110177,Maintenance and Repair of Grinnell Fire Alarm System,20101201,20141130,SSE,SIMPLEXGRINNELL LP,SS&E,1234942,36,"$80,297.29"
S1YL5190,A10037,RUMSEY ELECTRIC COBid # S1YL5190,20101201,20141130,SSE,RUMSEY ELECTRIC CO,SS&E,800000,36,"$87,051.76"
S1Z56690,110094,Maint & Monitoring of Burglar & Fire Alarm Systems  Schedule #152-03,20100901,20141130,SSE,FIDELITY BURGLAR & FIRE ALARM CO INC,SS&E,691120,36,"$33,876.25"
T9Z54880,A00188,P H & S PRODUCTS LLCBid # T9Z54880,20091201,20141130,SSE,P H & S PRODUCTS LLC,SS&E,810400,28,"$5,419.00"
T1YL5240,110199,Provide Runway & Taxiway De-icing/Anti-icing Fluid to the Philadelphia's International & Northeast Airport,20101210,20141209,SSE,CRYOTECH DEICING TECHNOLOGY,SS&E,4200637,36,"$680,535.80"
111309CD,140193,C D W GOVERNMENT INCBid # 111309CD,20131201,20141215,SSE,C D W GOVERNMENT INC,SS&E,500000,,"$1,494.54"
S1XN8830,110245,Street Lists Printing for Elections,20110401,20141216,SSE,BARTON & COONEY LLC,SS&E,230001,36,
S1XL8140,110216,HVAC Repair Service and Parts,20101224,20141224,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,32150,36,
T3YB6180,140228,Immunochemistry Analyzers - Infectious and Non Infectious Diseases,20140101,20141231,SSE,BECKMAN COULTER INC,SS&E,81312.74,36,
S0XZ1420,A10019,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0XZ1420,20131217,20141231,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,795000,36,"$12,061.00"
10402225,140163,GRAYBAR ELECTRIC CO INCBid # 10402225,20131008,20141231,SSE,GRAYBAR ELECTRIC CO INC,SS&E,908000,,"$89,501.37"
S4Z60360,140145,Powdered Activated Carbon,20131001,20141231,SSE,CABOT NORIT AMERICAS INC,SS&E,5428440,03,"$438,915.40"
S4XL8490,140153,Cleaning Anaerobic Digesters,20131001,20141231,SSE,SYNAGRO CENTRAL LLC,SS&E,326170,36,
PEPPM201,140065,MYTHICS INCBid # PEPPM201,20130701,20141231,SSE,MYTHICS INC,SS&E,4700000,,
S3XL8280,130121,Inspect and Repair Sluice Tidegates,20130101,20141231,SSE,G M H ASSOCIATES OF AMERICA INC,SS&E,226226.9,36,"$33,373.86"
S2QM234S,120200,Maintenance on Identix TP3800 Tenprinter Fingerprinting Equipment,20120101,20141231,SSE,IDENTIX INC,SS&E,147648,36,"$22,294.00"
S2OO2960,120214,Dezurik Valve Repair Parts and Components,20120101,20141231,SSE,FERGUSON ENTERPRISES INC,SS&E,899977,36,"$64,221.00"
T1QG8230,A10193,INSTANT WEB LLCBid # T1QG8230,20111203,20141231,SSE,INSTANT WEB LLC,SS&E,195000,36,"$7,166.88"
T1Z56810,110295,"Aggregate, Coarse & Fine",20110501,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,521861,36,
S1Z57340,110311,Landscape maint Svc for various Phila Parks & Recreation Locations,20110421,20141231,SSE,ALL SEASONS LANDSCAPING CO INC,SS&E,1000168,24,"$10,891.60"
S1OO2730,110274,Repair Clamps,20110401,20141231,SSE,SMITH BLAIR INC,SS&E,500393.82,33,"$70,762.86"
S1Z56840,110115,Directory Services,20110101,20141231,SSE,COLE INFORMATION SERVICES INC,SS&E,90001,36,
S1Z56850,110132,"Work Gloves,  Schedule 1000",20110101,20141231,SSE,STAUFFER MANUFACTURING CO,SS&E,190000.01,36,"$69,458.65"
S1Z56810,110164,"Aggregate, Coarse & Fine",20110101,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,653630.8,36,"$179,252.94"
S1Z57310,110194,"Flags (International, National, City & State) and Related Items",20110101,20141231,SSE,HUMPHRYS FLAG CO,SS&E,473687.5,36,
S1Z56800,A10218,"Brick, Cement, Concrete and Masonry Materials",20110101,20141231,SSE,DONATO SPAVENTA & SONS INC,SS&E,249111,36,"$119,715.06"
T1YC2080,110059,"Emergency Sewer Excavations, Repair and Street Restoration",20101001,20141231,SSE,PETRONGOLO CONTRACTORS INC,SS&E,3338625,36,"$599,549.10"
S1VW476S,100308,"Teledyne Geotech & Met One Meterological Instrumentation, Parts and Labor",20100701,20141231,SSE,MET ONE INSTRUMENTS,SS&E,160000.01,36,
S1XR721S,110022,CME Software Annual Maintenenace,20100701,20141231,SSE,VERTIQ SOFTWARE L L C,SS&E,100001,36,
T0Z54940,100164,Wireless Phone Equipment and Service - Schedule 500,20091001,20141231,SSE,SPRINT SOLUTIONS INC,SS&E,650224,03,"$714,400.82"
S0YB5030,090418,"Rental of Immunochemistry Analyzer System & Reagents, Consumables & Supplies",20090601,20141231,SSE,SIEMENS HEALTHCARE DIAGNOSTICS INC,SS&E,1350220.5,36,"$50,403.50"
T2VZ6010,120256,"Provision of Video Surveillance Cameras, Maintenance/Service, Supplies and Installation",20120125,20150124,SSE,CARR & DUFF INC,SS&E,3629180,36,
S1YN293S,110289,Mainenance and Repair of Cutters Edge Saws,20110328,20150131,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,100000,36,"$9,121.85"
S1Z56960,110125,"Electrical Repair Parts for ""In House Use""",20110201,20150131,SSE,ELECTRICAL SYSTEMS & CONSTRUCTION SUPPLY,SS&E,1599700,36,"$64,434.70"
S1Z56930,110147,Building Materials,20110201,20150131,SSE,DONATO SPAVENTA & SONS INC,SS&E,999370.83,36,"$33,065.88"
S1Z56870,110149,"Maint Svc, Repair, Supplies & Parts for X-Ray Auto Processors & X-ray Machines",20110201,20150131,SSE,GARDEN STATE IMAGING INC,SS&E,385840,36,"$25,631.05"
T1Z56950,110159,Liberty Bells & Boxes  Sch 523,20110201,20150131,SSE,SPIKES TROPHIES LTD,SS&E,90000.01,36,$283.55
S1Z56900,110182,Fire Extinguisher Service,20110201,20150131,SSE,PHILA & PA FIRE PROTECTION CO INC,SS&E,745033.03,36,"$14,643.15"
S1YN2590,110189,Direct Replacement Parts for Firefighting Equipment,20110201,20150131,SSE,MUNICIPAL EMERGENCY SERVICES INC,SS&E,195455,36,"$10,666.45"
S1WJ7700,110195,Monthly Maintenance of Central Library HVAC System,20110201,20150131,SSE,ELLIOTT LEWIS CORP,SS&E,753410,36,"$51,486.55"
