Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Remaining_Contract_Months,Total_Transactions
2399,134130,"Reconstruction of Sewer in Susquehanna Ave, 15th St & Boston Street. Relay of Water Main in Diamond St &  Carlisle St. Phila. PA",20130807,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$3,105,040.00",,,528440.35
2501,A44038,"PHILIP PIO CONSTRUCTION, INC. Bid# 2501",20150107,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$20,000.00",,,20825.76
2503,144092,"Reconstruction of Sewers and Relay of Water Mains in Var Locations, Phila PA",20140422,,PW,J P C GROUP INC,WATER,"$2,551,500.00",,,461966.55
2511,144091,"Relay of Water Mains in Various Locations,",20140224,,PW,SERAVALLI INCORPORATED,WATER,"$1,491,950.00",,,37731.3
2515,154018,"Reconstruction of Sewers amd Relay of Water Mains in Various Locations, Est $1M-$2M, In lieu of PreBid Mtg email questions to Jessica.Musti@phila.gov 7/01/14 by 5pm",20141112,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$2,119,700.00",,,236480.4
2517,144121,"Water Main Relay in Various Locations, Phila PA",20140724,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,523,610.00",,,316288.83
2518,144035,"Reconstruct of Sewers & Relay Water Mains at Various Locations, Phila PA",20131101,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,863,350.00",,,436042.28
2536,134031,"Green Infrastruct Projects at Various Locations, Phila PA (Fed Funded)",20121109,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,059,450.00",,,30637.5
2539,154055,"Relay of Water Mains at Various Locations, Phila PA",20141110,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$729,390.00",,,1328658
2548,A44152,SERAVALLI INCORPORATED Bid# 2548,20141112,,PW,SERAVALLI INCORPORATED,WATER,"$1,535,100.00",,,363845.88
2553,154037,Relay of Water Mains Relay of Water Mains in 54th St from Chester Ave to Woodland Ave. Greenway Ave from 52nd st to 54th st. Phila PA,20140822,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$898,600.00",,,65480.48
2554,144113,"Water Main Relay in Various Locations,",20140617,,PW,SERAVALLI INCORPORATED,WATER,"$1,481,550.00",,,794241.31
2555,144036,"Relay of Water Mains at Various Locations, Phila PA",20131104,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,601,170.00",,,548182.96
2556,154014,"Relay of Water Mains in Calvert St from Winchester Ave to Woodward St, Welsh Rd from marshall St to Roosevelt Blvd, EST $500K-$1M, In lieu of PreBid Mtg, email questions to Jessica.Musti@phila.gov 7/1/14 by 5pm",20141027,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$826,570.00",,,130147.69
2559,154053,"Relay of Water Mains at Various Locations, Philadelphia PA",20141110,,PW,SERAVALLI INCORPORATED,WATER,"$1,214,850.00",,,503922.14
2575,144122,"Reconstructions of Sewers and Relay of Water Mains in Various Locations, Phila PA",20140808,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,200,030.00",,,382224.82
2580,144046,"Northern Liberties Flood Relief Program Phases II & IV Laurel St Regulating Chamber D-45 and Laurel St from Canal St to Front St and Germantown Ave from Front St to Allen St Phila, Pa",20131224,,PW,A P CONSTRUCTION INCORPORATION,WATER,"$20,339,684.00",,,1700353.36
2581,144059,"""Relay of Water Mains and Abandonment of of 20"""" Water Main Var Locations,""",20140305,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$960,650.00",,,168172
2584,154016,"Relay of Water Mains in Penrose Ave from Moyamensing Ave W to 22nd St South, Hartfranft from Penrose Ave to Penrose Ferry Rd, Est $1-$2M, In lieu of PreBid Mtg, email questions to Jessica.Musti@phila.gov 7/1/14 by 5pm",20141027,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,197,020.00",,,140045.53
2591,144156,"Reconstruction of Sewers and Relay of Water Mains in Various Locations,",20141016,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$2,487,270.00",,,589054.31
2592,144058,"Reconstruction of Sewers and Relay of Water Mains in Var Locations,",20140207,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$2,037,040.00",,,542608.34
2593,144094,"Construction of Green Infrastructure in Various Locations, Phila PA",20140314,,PW,A P CONSTRUCTION INCORPORATION,WATER,"$2,698,250.00",,,205750.3
2594,144093,"Construction of Green Infrastructure in Various Locations,",20140224,,PW,SERAVALLI INCORPORATED,WATER,"$2,360,400.00",,,845345.55
2596,144055,"Reconstruction of Sewers, Relay of Water Mains & Construction of Green Infrastructure Var Locations",20131219,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,865,270.00",,,369481.7
2597,144056,Trenchless Sewer Rehab Lining of the Sewer & Relay of Water Main Var Locations,20140305,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,123,120.00",,,97781.59
2599,154039,"Relay of Water Mains and Construction of Green Infrastructure in 56th st from Greenway Ave to Woodland from 60th St to 63rd, Phila PA",20140923,,PW,CARUSONE CONSTRUCTION INC,WATER,"$3,369,130.00",,,498862.37
2702,144112,"Water Main Relay in Various Locations,",20140630,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$690,950.00",,,30137.44
2711,144158,"Relay of Water Mains in Ridge Ave from Hermit St to Walnut Lane and other locations, Phila PA",20140804,,PW,A P CONSTRUCTION INCORPORATION,WATER,"$2,830,880.00",,,869317.72
2716,154033,"Reconst. of Sewers & Relay of Water Mains in Haverford Ave from 52nd to Paxon & Reconst of Sewers in Terrace St from Salaignact St to Dawson St, Phila PA",20141112,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,444,075.00",,,1429172.12
2718,154054,"Stormwater Renovations & Step Repair in Fountain St between Umbria St & the Manayunk Canal, Phila PA",20141118,,PW,A P CONSTRUCTION INCORPORATION,WATER,"$625,900.00",,,433236.6
2816,134113,New Polyurethane/Silicone Roofing System at Admin/Maintenance Blding at SouthEast  WPCP (25 E. Pattison Ave),20130719,,PW,WEST ROOFING SYSTEMS INC,WATER,"$473,000.00",,,93296.25
2835,124067,"Replacement of Medium & Low Voltage Switchgears at SWWPCP Phila, PA",20120113,,PW,E J ELECTRIC INCORPORATED,WATER,"$2,211,300.00",,,43500
2836,A94114,J P C GROUP INC Bid# 2836,20130926,,PW,J P C GROUP INC,WATER,"$680,000.00",,,59787.77
2840,134037,"Improvements to Belmont Raw Water Basin at Belmont WTP, Belmont Ave & Ford Rd, Philadelphia, PA",20121123,,PW,J P C GROUP INC,WATER,"$19,476,000.00",,,3485966.22
2841,144088,Rehabilitation of Pipe Bridge at Fowler Street Main Crossing at Fowler Street at Harmon Road,20140401,,PW,QUAD CONSTRUCTION CO,WATER,"$1,119,300.00",,,170355.15
2842,124064,"Replacement of 15kV Primary Switchgear at NEWPCP, Phila, PA",20120113,,PW,E J ELECTRIC INCORPORATED,WATER,"$2,282,700.00",,,316430.75
2843,144049,"Belmont Repaving Phase 1@ Belmont Water Plant, Phila. PA",20131126,,PW,TONY DEPAUL AND SON,WATER,"$889,600.00",,,281601.76
2861,144090,"Concrete Repairs in Filters and Rebuild Filter Nos. 7 & 16 at Queen Lane WTP, Phila PA",20140318,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$941,000.00",,,232530.3
2868,144061,Process Air Valve System Improve (MECH) @ NorthEast Water Plant,20131203,,PW,FIVE STAR INC,WATER,"$832,700.00",,,100681
2869,144054,"Process Air Valve System Improve (ELEC) @ NorthEast Water Plant, Phila PA",20131211,,PW,MULHERN ELECTRIC COMPANY,WATER,"$180,320.00",,,34246.15
2874,114139,"Manayunk Sewer Basin Construction & Venice Island Recreation Center Reconstruction Projects, Phila PA",20110722,,PW,DANIEL J KEATING COMPANY,WATER,"$39,970,400.00",,,136597
2876,114137,"Plumbing- Manayunk Sewer Basin Construct & Venice Island Rec Ctr Reconstruct Project Phila, PA",20110727,,PW,FIVE STAR INC,WATER,"$304,700.00",,,4650
2880,134127,"Site and Security Improvemrents @ Central Lab, 1500 E Hunting Pk Ave, Phila PA",20131016,,PW,RIGGS DISTLER & CO INC,WATER,"$488,000.00",,,69352.65
2887,134067,"Restor of Raw Water Basin Embankment Liner @ Queen Lane WTP, Queen Lane & Fox St., Phila PA",20130304,,PW,ANTHONY BIDDLE CONTRACTORS INC,WATER,"$2,602,300.00",,,162365.4
2897,144133,Plant Water System Rehabilitation at NorthEast WPCP.,20140808,,PW,STONE HILL CONTRACTING CO INC,WATER,"$6,024,500.00",,,58880.47
3695,144051,"NE Incinerator Building Reconditioning Phase III, Phila PA",20140110,,PW,THOMAS P CARNEY INC,STREETS,"$2,043,240.49",,,459225
3735,144024,Upgrade ADA Ramps and Related Work Citywide. Phila. PA,20130920,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,WATER,"$15,346,808.00",,,2086084.6
3743,D34074,ZONE STRIPING INC Bid# 3743,20141205,,PW,ZONE STRIPING INC,STREETS,"$234,389.89",,,27788.87
3758,144149,"Battery Backup Installation of Traffic Signals, Phila PA",20141006,,PW,CARR & DUFF INCORPORATED,STREETS,"$260,000.00",,,28675.8
3759,144135,"School Flashers for Franklin Towne Charter, Phila PA",20141024,,PW,WAMPOLE MILLER INC,DIRECTOR OF FINANCE,"$33,902.18",,,64598.36
3766,B44115,RAMOS AND ASSOCIATES INCORPORATED Bid# 3766,20141009,,PW,RAMOS AND ASSOCIATES INCORPORATED,STREETS,"$670,725.17",,,128675.05
3767,154001,Northeast Incinerator - Phase IV,20140911,,PW,MILESTONE CONSTRUCTION MANAGEMENT INC,STREETS,"$1,600,000.00",,,429595.38
3774,144109,"Casting and Manhole Adjustments for Milling & Water Prep, EST $2.3M-$2.7M, In lieu of PreBid, email questions to Steve.Mottershead@phila.gov by 5:00pm 02/25/14, Specs Avail 02/11/14",20140610,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,WATER,"$2,687,048.00",,,537339.46
3779,A54045,JAMES J ANDERSON CONSTRUCTION CO INC Bid# 3779,20141126,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,STREETS,"$369,011.00",,,500351.12
6909,D14017,DOLAN MECHANICAL Bid# 6909,20140818,,PW,DOLAN MECHANICAL,COMMERCE,"$320,531.00",,,52869.87
6910,A14016,JERVIS B WEBB CO Bid# 6910,20140909,,PW,JERVIS B WEBB CO,COMMERCE,"$1,440,820.00",,,282875.74
6930,Z24008,E J ELECTRIC INCORPORATED Bid# 6930,20141217,,PW,E J ELECTRIC INCORPORATED,COMMERCE,"$30,069.00",,,32369.97
6937,A24017,A P CONSTRUCTION COMPANY Bid# 6937,20121224,,PW,A P CONSTRUCTION COMPANY,COMMERCE,"$10,862,431.00",,,611894.39
6948,A44016,JAMES J ANDERSON CONSTRUCTION CO INC Bid# 6948,20140728,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,COMMERCE,"$9,271,384.00",,,1335419.76
6953,144159,"Replacement of Salt Dome Facility, Phila PA",20140930,,PW,GROUND PENETRATION & RESTORATION INC,COMMERCE,"$1,079,844.00",,,280066.11
6954,B44138,TONY DEPAUL AND SON Bid# 6954,20150203,,PW,TONY DEPAUL AND SON,COMMERCE,"$800,000.00",,,1375980.28
6956,B34094,TRI STATE DREDGING Bid# 6956,20131024,,PW,TRI STATE DREDGING,COMMERCE,"$645,892.00",,,39311.64
6958,F44030,GROUND PENETRATION & RESTORATION INC Bid# 6958,20141126,,PW,GROUND PENETRATION & RESTORATION INC,COMMERCE,"$450,000.00",,,802474.49
6962,144021,"Electrical Work Associated with Signage Upgrade to Modernize & Standardize Wayfinding & Info Signs, Phila International Airport, Phila. PA",20130904,,PW,E J ELECTRIC INCORPORATED,COMMERCE,"$237,600.00",,,127927.5
6963,A44025,EDWARD J MELONEY INCORPORATED Bid# 6963,20140117,,PW,EDWARD J MELONEY INCORPORATED,COMMERCE,"$2,575,100.00",,,268390.2
6964,144020,"GCON Work Associated with Signage Upgrade to Modernize & Standardize Wayfinding & Info Signs, Phila PA",20130904,,PW,ROCKPORT CONSTRUCTION COMPANY INC,COMMERCE,"$3,051,070.00",,,307855.65
6965,A44103,HUNTER ROBERTS CONSTRUCTION GROUP Bid# 6965,20141231,,PW,HUNTER ROBERTS CONSTRUCTION GROUP,COMMERCE,"$87,126.00",,,429508.84
6969,154041,"GCON - Replacement of Multi-User Flight Information Display Systems, Phila, PA",20141120,,PW,DANIEL J KEATING COMPANY,COMMERCE,"$1,612,300.00",,,457826.4
6970,154040,"ELEC - Replacement of Multi-User Flight Information Display Systems, Phila PA",20141120,,PW,E J ELECTRIC INCORPORATED,COMMERCE,"$1,351,250.00",,,328050
00007199,B10129,DELL MARKETING L P Bid # 00007199,20101001,20150930,SSE,DELL MARKETING L P,SS&E,7873000,,,"$497,783.19"
00007363,120165,INTERNATIONAL BUSINESS MACHINES CORP Bid # 00007363,20101001,20150930,SSE,INTERNATIONAL BUSINESS MACHINES CORP,SS&E,775000,36,12,"$123,505.40"
00008560,120252,EMERGING POWER INC Bid # 00008560,20111001,20150930,SSE,EMERGING POWER INC,SS&E,125000,,,
00009408,120355,TRANSAMERICAN OFFICE FURNITURE INC Bid # 00009408,20120618,20150430,SSE,TRANSAMERICAN OFFICE FURNITURE INC,SS&E,2000000,,,"$115,418.51"
00009413,130122,HUMANSCALE CORP Bid # 00009413,20120919,20150430,SSE,HUMANSCALE CORP,SS&E,450000,,,"$33,453.15"
00009635,120356,TRANSAMERICAN OFFICE FURNITURE INC Bid # 00009635,20120618,20150531,SSE,TRANSAMERICAN OFFICE FURNITURE INC,SS&E,2928000,,,"$426,976.09"
00010452,150099,HALIFAX SECURITY INC Bid # 00010452,20141106,20151031,SSE,HALIFAX SECURITY INC,SS&E,250000,24,24,
00011350,140292,U S MUNICIPAL SUPPLY CO Bid # 00011350,20140505,20150531,SSE,U S MUNICIPAL SUPPLY CO,SS&E,1000000,18,18,
00011357,140300,BANDIT INDUSTRIES INC Bid # 00011357,20140521,20150531,SSE,BANDIT INDUSTRIES INC,SS&E,200000,,,
00011369,150066,DEERE & COMPANY Bid # 00011369,20141003,20150930,SSE,DEERE & COMPANY,SS&E,200000,36,36,
00011412,150158,A & H EQUIPMENT CO Bid # 00011412,20140121,20150930,SSE,A & H EQUIPMENT CO,SS&E,900000,36,36,
00011413,140301,ALTEC INDUSTRIES INC Bid # 00011413,20140521,20150531,SSE,ALTEC INDUSTRIES INC,SS&E,800000,,,
00011414,150064,BEST LINE LEASING INC Bid # 00011414,20140925,20150930,SSE,BEST LINE LEASING INC,SS&E,200000,36,36,
00011420,140289,CLEVELAND BROTHERS EQUIPMENT CO Bid # 00011420,20140422,20150422,SSE,CLEVELAND BROTHERS EQUIPMENT CO,SS&E,400000,36,36,
00011426,140302,EAGLE POWER & EQUIPMENT CORP Bid # 00011426,20140521,20150531,SSE,EAGLE POWER & EQUIPMENT CORP,SS&E,332000,,,
00011431,140290,GROFF TRACTOR & EQUIPMENT INC Bid # 00011431,20140422,20150422,SSE,GROFF TRACTOR & EQUIPMENT INC,SS&E,1000000,36,36,
00011432,150063,H A DEHART & SON Bid # 00011432,20140925,20150930,SSE,H A DEHART & SON,SS&E,1700000,36,36,
00011433,150065,HIGHWAY EQUIPMENT & SUPPLY CO Bid # 00011433,20141001,20150930,SSE,HIGHWAY EQUIPMENT & SUPPLY CO,SS&E,200000,36,36,
00011459,140291,U S MUNICIPAL SUPPLY CO Bid # 00011459,20140422,20150422,SSE,U S MUNICIPAL SUPPLY CO,SS&E,3175000,36,36,
00013080,150165,BEST LINE LEASING INC Bid # 00013080,20150130,20160130,SSE,BEST LINE LEASING INC,SS&E,150000,36,36,
00013622,150103,UNITED PARCEL SERVICE Bid # 00013622,20141115,20151031,SSE,UNITED PARCEL SERVICE,SS&E,100000,24,24,"$17,178.69"
00013673,150083,HERTRICH FLEET SERVICES INC Bid # 00013673,20141021,20150831,SSE,HERTRICH FLEET SERVICES INC,SS&E,250000,36,36,
00013674,150084,WESTGATE CHEVROLET Bid # 00013674,20141021,20150831,SSE,WESTGATE CHEVROLET,SS&E,250000,36,36,
00013677,150085,WHITMOYER BUICK CHEVROLET INC Bid # 00013677,20141028,20150831,SSE,WHITMOYER BUICK CHEVROLET INC,SS&E,790000,36,36,
00013679,150086,MCCAFFERTY FORD Bid # 00013679,20141028,20150831,SSE,MCCAFFERTY FORD,SS&E,250000,36,36,
00015440,150082,MORTON SALT INC Bid # 00015440,20141001,20150731,SSE,MORTON SALT INC,SS&E,2000000,36,36,"$448,262.87"
526524,150031,INNOVATIVE PRINTING SYSTEMS INC Bid # 526524,20140701,20150630,SSE,INNOVATIVE PRINTING SYSTEMS INC,SS&E,1792190,,,"$373,310.68"
000358-1,130181,EN POINTE TECHNOLOGIES Bid # 000358-1,20130101,20150602,SSE,EN POINTE TECHNOLOGIES,SS&E,1000000,36,36,"$22,353.88"
000358-2,130089,INSIGHT PUBLIC SECTOR INC Bid # 000358-2,20120920,20150602,SSE,INSIGHT PUBLIC SECTOR INC,SS&E,1500000,36,36,"$14,913.75"
000358-3,130180,S H I INTERNATIONAL CORP Bid # 000358-3,20130101,20150602,SSE,S H I INTERNATIONAL CORP,SS&E,2655769,36,36,"$111,786.35"
031210NJ,120152,STAPLES CONTRACT & COMMERCIAL INC Bid # 031210NJ,20110701,20150531,SSE,STAPLES CONTRACT & COMMERCIAL INC,SS&E,5940000,24,24,"$446,953.41"
2032ELB,144107,"Rehab of Existing Gear Drives @Sedimentation Tanks, Baxter Waer Treatment Plant (Emergency Letter Bid),",20140428,,PW,QUAD CONSTRUCTION CO,WATER,"$1,488,900.00",,,150145.6
22113FZC,150122,J & C ICE TECHNOLOGIES INC Bid # 22113FZC,20150101,20151231,SSE,J & C ICE TECHNOLOGIES INC,SS&E,210000,24,24,
22113LTS,140107,PLAYPOWER LT FARMINGTON INC Bid # 22113LTS,20130423,20150423,SSE,PLAYPOWER LT FARMINGTON INC,SS&E,1200000,36,24,
2690R2,144134,"New Polyrethane/Elastomeric Roof System at Central Laboratory Facility,",20140910,,PW,"J.J.D. URETHANE CO., INC.",WATER,"$539,000.00",,,250344.52
2707ELB,144102,"""Sewer Reconstruction and Water Main Relay in """"G"""" Street from Allegheny Ave to Ontario St. (Emergency Letter Bid)""",20140317,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,306,200.00",,,294559.83
2712ELB,144145,Sewer Reconstruction & Water Main Relay in Race Street from 62nd St to 63rd St and Diamond St from 11th St to Broad St. (Emergency Letter Bid),20140724,,PW,J P C GROUP INC,WATER,"$1,965,075.00",,,335299.26
2713ELB,144146,Gorgas Lane Bridge Repairs (Emergency Letter Bid),20140808,,PW,SERAVALLI INCORPORATED,WATER,"$377,300.00",,,84035
3682ECMS,E04080,C. ABBONIZIO CONTRUCTION INCORPORATED Bid# 3682ECMS,20140404,,PW,C. ABBONIZIO CONTRUCTION INCORPORATED,STREETS,"$1,944,000.00",,,269027.73
3684ECMS,B04068,TONY DEPAUL AND SON Bid# 3684ECMS,20150224,,PW,TONY DEPAUL AND SON,STREETS,"$118,200.00",,,118200
3699ECMS,B14092,MECO CONSTRUCTION INC Bid# 3699ECMS,20130930,,PW,MECO CONSTRUCTION INC,STREETS,"$588,042.99",,,124442.07
3722ECMS,D24087,"CROSSING CONSTRUCTION COMPANY, INC. Bid# 3722ECMS",20141126,,PW,"CROSSING CONSTRUCTION COMPANY, INC.",STREETS,"$511,000.00",,,480235.04
3725EC,B34002,SCOTT BUILDING CORP Bid# 3725EC,20131203,,PW,SCOTT BUILDING CORP,STREETS,"$300,000.00",,,26618.55
3748ECMS,144080,North Delaware Avenue Extension (MPMS #46956)  (Federally Funded),20140404,,PW,BUCKLEY & COMPANY INCORPORATED,STREETS,"$11,522,246.96",,,2839545.54
3749ECMS,144099,Manayunk Bridge Trail MPMS# 92413 (Fed Funded),20150108,,PW,A P CONSTRUCTION INCORPORATION,STREETS,"$4,248,267.00",,,318050.13
3754ECMS,144031,"Gateway Torresdale.  Eng Est: $2M - $4,999,999. Bidders are required to Follow instructs and submit Quests on PA Dot website Spec Avail 06/07/13  (www.dot14.state.pa.us/ECMS).",20131126,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,STREETS,"$1,905,023.62",,,553576.4
3760ECMS,134136,"Bustleton Avenue North Signals, Phila P A (Federal Funded)",20131003,,PW,SERAVALLI INCORPORATED,STREETS,"$6,441,256.00",,,599890.82
3761ECMS,144045,Bustleton Ave South (TIGER) Design activities limited to ADA ramps (95452),20131126,,PW,WAMPOLE MILLER INC,WATER,"$6,325,649.37",,,3711510.54
3762ECMS,144043,Woodland Avenue Signals (Tiger) MPMS #95450,20131126,,PW,KUCHARCHIK CONSTRUCTION INC,STREETS,"$6,479,374.40",,,4503244.44
3765ECMS,144044,"Avenue of the Arts, North Broad St, Phila, PA  ADA Ramps",20131126,,PW,TONY DEPAUL AND SON,STREETS,"$8,678,983.00",,,2366275.32
3770ECMS,144148,Haverford Ave: 40th St to US 1  (MPMS # 57897),20140919,,PW,ARMOUR & SONS ELECTRIC INC,STREETS,"$9,103,453.25",,,823741.06
3771ECMS,144141,"Center City North East Quadrant, Phila PA (Federal Funded) (ECMS 70014)",20140919,,PW,SERAVALLI INCORPORATED,STREETS,"$10,568,072.00",,,981461.45
3787ECMS,154051,"Construction of Willow Grove Avenue Bridge, MPMS #76870 (Fed Funded)",20141217,,PW,LOFTUS CONSTRUCTION INC,STREETS,"$3,199,905.00",,,433494.94
4025MECH,134053,"Rehabilitation of Letitia House, 3400 W Girard Ave,  Phila PA  (Partial Certification)",20130306,,PW,FIVE STAR INC,RECREATION,"$103,940.00",,,5265
4047ECMS,144164,N Delaware Riverfront Greenway/Heritage Trail: Section 4 - Baxter  MPMS #79833 (Fed Funded),20140917,,PW,BUCKLEY & COMPANY INCORPORATED,COMMERCE,"$5,332,034.00",,,1407562.52
4055ELEC,144106,"Impala Caf? Exterior Restoration, Philadelphia Zoo Garden, Phila PA",20140501,,PW,HYDE ELECTRIC CORPORATION,FAIRMOUNT PARK COMMISSION,"$73,475.00",,,16669.92
4055GCON,A44101,A P CONSTRUCTION INCORPORATION Bid# 4055GCON,20140910,,PW,A P CONSTRUCTION INCORPORATION,FAIRMOUNT PARK COMMISSION,"$3,242.64",,,830179.35
4064GCON,AI4082,"PANNULLA CONSTRUCTION CO., INC. Bid# 4064GCON",20141006,,PW,"PANNULLA CONSTRUCTION CO., INC.",PUBLIC PROPERTY,"$10,476.02",,,9684.19
4065ELB,144100,Bay Window Replacement at Woodstock Women's Shelter (Emergency Letter Bid),20140317,,PW,MURPHY QUIGLEY COMPANY,OFFICE OF SUPPORTIVE HOUSING,"$875,160.00",,,319045.71
4080ELEC,V24018,MULHERN ELECTRIC COMPANY Bid# 4080ELEC,20140917,,PW,MULHERN ELECTRIC COMPANY,LICENSES & INSPECTIONS,"$17,738.42",,,13803.35
4097ELEC,A34040,FIDELITY BURGLAR & FIRE ALARM CO INC Bid# 4097ELEC,20140428,,PW,FIDELITY BURGLAR & FIRE ALARM CO INC,RECREATION,"$32,426.00",,,21592.35
